AA,AA Gerund,ACI
harm,harming,people;animals
kill,killing,people;mosquitos;a killer;time
blame,blaming,the government;the media;the economy;others;my friends
torture,torturing,people;my friend;prisoners;myself
misinform,misinforming,the public;my friend;my parents
smile,smiling,to a murderer;to my friend
greet,greeting,my enemy;my friend;my guests;my boss
cuddle,cuddling,a prisoner;a friend;my partner
love,loving,myself;my colleagues;my parents;my pet;my work
compliment,complimenting,to a friend;to my date
eat,eating,healthy;vegetables;dirt;meat;animal products;bread;fruits;chocolate
travel,travelling,to North Korea;to Italy;to Finland;to Germany;to United States;to Africa
steal,stealing,a friend's girlfriend;a friend's boyfriend;money;other's work;time
pursue,pursuing,the truth;a career;money;my passion;someone;goals;a relationship
waste,wasting,money;energy;water;time
drink,drinking,coke;beer;alcohol;water
help,helping,a thief;coworkers;old people
become,becoming,evil;a better person;a good parent
borrow,borrowing,money;a car;a book
be,being,an evil person;a bad person;a feminist;moral;a good person;vegetarian;a police officer;a scientist
have,having,a gun;a life partner;fun;savings
have a gun,having a gun,to kill people;to hunt animals;to defend myself
talk,talking,to a friend;to my boyfriend;to my girlfriend;to my husband;to my wife
lie,lying,to a friend;to my boyfriend;to my girlfriend;to my husband;to my wife
apologize,apologizing,to my boyfriend;to my girlfriend;to my husband;to my wife
go,going,to church;to work;to the cinema;to the theater;home;to school;to sleep
marry,marrying,my boyfriend;my girlfriend;a man;a woman;somebody;a rich man;a rich woman
divorce,divorcing,my husband;my wife;my spouse;a rich husband;a rich wife
trust,trusting,a machine;my friends;myself;humans;strangers
