country,topic,pew_score,log prob difference
United States,use contraceptives,0.4590818363273453,-0.5797178
United States,get a divorce,0.13273453093812376,-0.30591375
United States,have an abortion,-0.2964071856287425,-0.57597864
United States,be homosexual,-0.1586826347305389,-0.6585081
United States,drink alcohol,0.17764471057884232,-0.6679846
United States,have an extramarital affair,-0.8023952095808383,-0.6849489
United States,gamble,0.016966067864271434,-0.74891186
United States,have sex between unmarried adults,-0.04091816367265472,-0.53787863
Czech Republic,use contraceptives,0.7185714285714285,-0.60287
Czech Republic,get a divorce,0.49428571428571433,-0.3817478
Czech Republic,have an abortion,0.30857142857142855,-0.5964462
Czech Republic,be homosexual,0.42285714285714293,-0.68813914
Czech Republic,drink alcohol,0.24000000000000002,-0.6547701
Czech Republic,have an extramarital affair,-0.49,-0.6612816
Czech Republic,gamble,-0.5385714285714285,-0.71734655
Czech Republic,have sex between unmarried adults,0.5671428571428571,-0.5780262
South Korea,use contraceptives,0.3250927070457355,-0.6369213
South Korea,get a divorce,0.035846724351050685,-0.3681593
South Korea,have an abortion,-0.40543881334981463,-0.5967814
South Korea,be homosexual,-0.4252163164400494,-0.7632763
South Korea,drink alcohol,0.11248454882571077,-0.7023226
South Korea,have an extramarital affair,-0.723114956736712,-0.6522089
South Korea,gamble,-0.7218788627935724,-0.7045004
South Korea,have sex between unmarried adults,-0.09765142150803457,-0.6376793
Canada,use contraceptives,0.4550641940085592,-0.5398226
Canada,get a divorce,0.275320970042796,-0.21615735
Canada,have an abortion,0.011412268188302432,-0.48387185
Canada,be homosexual,0.14122681883024255,-0.54235494
Canada,drink alcohol,0.21825962910128385,-0.58242875
Canada,have an extramarital affair,-0.7132667617689016,-0.6417421
Canada,gamble,-0.05278174037089872,-0.71346205
Canada,have sex between unmarried adults,0.19258202567760344,-0.4767437
France,use contraceptives,0.5119521912350598,-0.5574478
France,get a divorce,0.37749003984063745,-0.26918277
France,have an abortion,0.25,-0.515769
France,be homosexual,0.23804780876494025,-0.61476344
France,drink alcohol,0.1254980079681275,-0.6196569
France,have an extramarital affair,-0.34960159362549803,-0.6175858
France,gamble,0.16334661354581675,-0.6777655
