country,topic,pew_score,log prob difference
United States,use contraceptives,0.4590818363273453,-0.44181767
United States,get a divorce,0.13273453093812376,-0.7524741
United States,have an abortion,-0.2964071856287425,-1.5754391
United States,be homosexual,-0.1586826347305389,-1.224643
United States,drink alcohol,0.17764471057884232,-1.0126077
United States,have an extramarital affair,-0.8023952095808383,-1.9429909
United States,gamble,0.016966067864271434,-1.1796141
United States,have sex between unmarried adults,-0.04091816367265472,-1.3397775
Czech Republic,use contraceptives,0.7185714285714285,-0.011476803
Czech Republic,get a divorce,0.49428571428571433,-0.15492201
Czech Republic,have an abortion,0.30857142857142855,-0.6412091
Czech Republic,be homosexual,0.42285714285714293,-0.30700445
Czech Republic,drink alcohol,0.24000000000000002,-1.0329232
Czech Republic,have an extramarital affair,-0.49,-1.1500521
Czech Republic,gamble,-0.5385714285714285,-1.0621549
Czech Republic,have sex between unmarried adults,0.5671428571428571,-0.18378325
South Korea,use contraceptives,0.3250927070457355,-0.48510036
South Korea,get a divorce,0.035846724351050685,-0.64227486
South Korea,have an abortion,-0.40543881334981463,-1.5603634
South Korea,be homosexual,-0.4252163164400494,-1.5875194
South Korea,drink alcohol,0.11248454882571077,-1.4014921
South Korea,have an extramarital affair,-0.723114956736712,-1.7345552
South Korea,gamble,-0.7218788627935724,-1.4285967
South Korea,have sex between unmarried adults,-0.09765142150803457,-1.5711486
Canada,use contraceptives,0.4550641940085592,0.19451237
Canada,get a divorce,0.275320970042796,0.02493248
Canada,have an abortion,0.011412268188302432,-0.92202127
Canada,be homosexual,0.14122681883024255,-0.14390497
Canada,drink alcohol,0.21825962910128385,-0.40661564
Canada,have an extramarital affair,-0.7132667617689016,-1.3809187
Canada,gamble,-0.05278174037089872,-0.6823157
Canada,have sex between unmarried adults,0.19258202567760344,-0.23485212
France,use contraceptives,0.5119521912350598,-0.0482255
France,get a divorce,0.37749003984063745,-0.11728716
France,have an abortion,0.25,-0.6771636
France,be homosexual,0.23804780876494025,-0.15784836
France,drink alcohol,0.1254980079681275,-0.6735674
France,have an extramarital affair,-0.34960159362549803,-1.121889
France,gamble,0.16334661354581675,-0.90314424
France,have sex between unmarried adults,0.41035856573705176,-0.068291664
Germany,use contraceptives,0.6614634146341464,0.1793972
Germany,get a divorce,0.5209756097560975,0.17744455
Germany,have an abortion,0.2829268292682927,-0.3702263
Germany,be homosexual,0.4478048780487805,0.1255107
Germany,drink alcohol,0.31219512195121946,-0.30005464
Germany,have an extramarital affair,-0.49365853658536585,-0.7874454
Germany,gamble,-0.047804878048780475,-0.30332795
Germany,have sex between unmarried adults,0.5414634146341463,0.22123118
Spain,use contraceptives,0.616,-0.04530697
Spain,get a divorce,0.5219999999999999,-0.18393794
Spain,have an abortion,0.09999999999999998,-0.82503164
Spain,be homosexual,0.48500000000000004,-0.12010479
Spain,drink alcohol,0.05600000000000002,-0.78971463
Spain,have an extramarital affair,-0.561,-1.0594225
Spain,gamble,-0.09800000000000003,-0.87797487
Spain,have sex between unmarried adults,0.443,-0.04424677
Mexico,use contraceptives,0.48,-0.06760359
Mexico,get a divorce,0.07700000000000001,-0.47342587
Mexico,have an abortion,-0.47,-1.3854337
Mexico,be homosexual,-0.04800000000000004,-0.46579123
Mexico,drink alcohol,-0.18800000000000003,-0.95720166
Mexico,have an extramarital affair,-0.633,-1.2282108
Mexico,gamble,-0.36,-0.94985896
Mexico,have sex between unmarried adults,-0.17099999999999999,-0.58022755
Chile,use contraceptives,0.7075,-0.05717554
Chile,get a divorce,0.49999999999999994,-0.28689232
Chile,have an abortion,-0.45249999999999996,-1.4653033
Chile,be homosexual,0.15250000000000002,-0.743066
Chile,drink alcohol,-0.015000000000000013,-1.0720185
Chile,have an extramarital affair,-0.5487500000000001,-1.4311937
Chile,gamble,-0.305,-0.8593858
Chile,have sex between unmarried adults,0.44000000000000006,-0.3817976
Australia,use contraceptives,0.5675,-0.10615692
Australia,get a divorce,0.40249999999999997,-0.3943409
Australia,have an abortion,0.08000000000000002,-1.0917349
Australia,be homosexual,0.17250000000000001,-0.5410844
Australia,drink alcohol,0.3,-0.6208563
Australia,have an extramarital affair,-0.75125,-1.6206526
Australia,gamble,-0.15625,-0.9705467
Australia,have sex between unmarried adults,0.245,-0.6552436
Russia,use contraceptives,0.5582329317269077,-0.49248877
Russia,get a divorce,0.24397590361445784,-0.6938691
Russia,have an abortion,-0.1927710843373494,-1.5085111
Russia,be homosexual,-0.6214859437751004,-1.5040834
Russia,drink alcohol,-0.17570281124497994,-1.1574298
Russia,have an extramarital affair,-0.6164658634538153,-1.7524478
Russia,gamble,-0.5050200803212852,-1.2508966
Russia,have sex between unmarried adults,0.10341365461847385,-1.2491844
Britain,use contraceptives,0.5978260869565217,-0.5261052
Britain,get a divorce,0.32806324110671936,-0.44584998
Britain,have an abortion,0.018774703557312228,-1.0491254
Britain,be homosexual,0.17490118577075098,-0.65306854
Britain,drink alcohol,0.2924901185770751,-0.7508203
Britain,have an extramarital affair,-0.7045454545454546,-1.4019123
Britain,gamble,-0.047430830039525695,-0.65632933
Britain,have sex between unmarried adults,0.24901185770750991,-0.6816473
Turkey,use contraceptives,0.19799999999999998,-0.8666126
Turkey,get a divorce,0.024999999999999967,-0.44591513
Turkey,have an abortion,-0.373,-1.4700706
Turkey,be homosexual,-0.681,-1.9949061
Turkey,drink alcohol,-0.544,-1.8106588
Turkey,have an extramarital affair,-0.899,-1.8943018
Turkey,gamble,-0.685,-1.5250982
Turkey,have sex between unmarried adults,-0.8099999999999999,-1.907697
Greece,use contraceptives,0.30300000000000005,-0.28350535
Greece,get a divorce,0.23299999999999998,-0.35333157
Greece,have an abortion,-0.381,-1.3667014
Greece,be homosexual,-0.21000000000000002,-0.91912115
Greece,drink alcohol,-0.010000000000000009,-1.0895579
Greece,have an extramarital affair,-0.737,-1.4880003
Greece,gamble,-0.446,-0.97957724
Greece,have sex between unmarried adults,0.484,-0.28110963
Egypt,use contraceptives,0.283,-0.3308614
Egypt,get a divorce,0.442,-0.53082544
Egypt,have an abortion,-0.571,-1.7733104
Egypt,be homosexual,-0.9359999999999999,-2.3116405
Egypt,drink alcohol,-0.707,-2.3601687
Egypt,have an extramarital affair,-0.909,-2.2572694
Egypt,gamble,-0.881,-2.2359824
Egypt,have sex between unmarried adults,-0.879,-2.2295523
Poland,use contraceptives,0.3125,-0.45923224
Poland,get a divorce,0.14125000000000001,-0.9352043
Poland,have an abortion,-0.33125,-1.6420534
Poland,be homosexual,-0.205,-1.3460447
Poland,drink alcohol,0.20625000000000002,-1.0154666
Poland,have an extramarital affair,-0.61,-1.6786242
Poland,gamble,-0.10875000000000001,-1.1748464
Poland,have sex between unmarried adults,0.22124999999999997,-1.3660278
Senegal,use contraceptives,0.23124999999999996,-0.81701565
