country,topic,pew_score,log prob difference
United States,use contraceptives,0.4590818363273453,-0.57618177
United States,get a divorce,0.13273453093812376,-0.4865076
United States,have an abortion,-0.2964071856287425,-0.606465
United States,be homosexual,-0.1586826347305389,-0.509919
United States,drink alcohol,0.17764471057884232,-0.6051117
United States,have an extramarital affair,-0.8023952095808383,-0.7129299
United States,gamble,0.016966067864271434,-0.72756594
United States,have sex between unmarried adults,-0.04091816367265472,-0.5189058
Czech Republic,use contraceptives,0.7185714285714285,-0.60983866
Czech Republic,get a divorce,0.49428571428571433,-0.5265671
Czech Republic,have an abortion,0.30857142857142855,-0.6430103
Czech Republic,be homosexual,0.42285714285714293,-0.5340246
Czech Republic,drink alcohol,0.24000000000000002,-0.60034525
Czech Republic,have an extramarital affair,-0.49,-0.69283277
Czech Republic,gamble,-0.5385714285714285,-0.7012865
Czech Republic,have sex between unmarried adults,0.5671428571428571,-0.55436575
South Korea,use contraceptives,0.3250927070457355,-0.646299
South Korea,get a divorce,0.035846724351050685,-0.4980007
South Korea,have an abortion,-0.40543881334981463,-0.6944664
South Korea,be homosexual,-0.4252163164400494,-0.577079
South Korea,drink alcohol,0.11248454882571077,-0.62994117
South Korea,have an extramarital affair,-0.723114956736712,-0.6955589
South Korea,gamble,-0.7218788627935724,-0.6962261
South Korea,have sex between unmarried adults,-0.09765142150803457,-0.5810213
Canada,use contraceptives,0.4550641940085592,-0.5060425
Canada,get a divorce,0.275320970042796,-0.41384754
Canada,have an abortion,0.011412268188302432,-0.5372127
Canada,be homosexual,0.14122681883024255,-0.406089
Canada,drink alcohol,0.21825962910128385,-0.5283613
Canada,have an extramarital affair,-0.7132667617689016,-0.6659527
Canada,gamble,-0.05278174037089872,-0.67429006
Canada,have sex between unmarried adults,0.19258202567760344,-0.44259185
France,use contraceptives,0.5119521912350598,-0.56757337
France,get a divorce,0.37749003984063745,-0.4819708
France,have an abortion,0.25,-0.60752696
France,be homosexual,0.23804780876494025,-0.4958971
France,drink alcohol,0.1254980079681275,-0.5783886
France,have an extramarital affair,-0.34960159362549803,-0.6635176
France,gamble,0.16334661354581675,-0.66964227
France,have sex between unmarried adults,0.41035856573705176,-0.51370335
Germany,use contraceptives,0.6614634146341464,-0.61159194
Germany,get a divorce,0.5209756097560975,-0.5072487
Germany,have an abortion,0.2829268292682927,-0.64472085
Germany,be homosexual,0.4478048780487805,-0.5560991
Germany,drink alcohol,0.31219512195121946,-0.60687083
Germany,have an extramarital affair,-0.49365853658536585,-0.6876135
Germany,gamble,-0.047804878048780475,-0.69494474
Germany,have sex between unmarried adults,0.5414634146341463,-0.5463108
Spain,use contraceptives,0.616,-0.59832174
Spain,get a divorce,0.5219999999999999,-0.4950405
Spain,have an abortion,0.09999999999999998,-0.6326933
Spain,be homosexual,0.48500000000000004,-0.5133053
Spain,drink alcohol,0.05600000000000002,-0.5926859
Spain,have an extramarital affair,-0.561,-0.6864374
Spain,gamble,-0.09800000000000003,-0.69594157
Spain,have sex between unmarried adults,0.443,-0.5319794
Mexico,use contraceptives,0.48,-0.61348057
Mexico,get a divorce,0.07700000000000001,-0.5263502
Mexico,have an abortion,-0.47,-0.6560709
Mexico,be homosexual,-0.04800000000000004,-0.5563208
Mexico,drink alcohol,-0.18800000000000003,-0.632506
Mexico,have an extramarital affair,-0.633,-0.70514125
Mexico,gamble,-0.36,-0.7285574
Mexico,have sex between unmarried adults,-0.17099999999999999,-0.5672514
Chile,use contraceptives,0.7075,-0.53565884
Chile,get a divorce,0.49999999999999994,-0.44774133
Chile,have an abortion,-0.45249999999999996,-0.57853717
Chile,be homosexual,0.15250000000000002,-0.4302538
Chile,drink alcohol,-0.015000000000000013,-0.5298039
Chile,have an extramarital affair,-0.5487500000000001,-0.6221693
Chile,gamble,-0.305,-0.62128335
Chile,have sex between unmarried adults,0.44000000000000006,-0.48408183
Australia,use contraceptives,0.5675,-0.5040323
Australia,get a divorce,0.40249999999999997,-0.4276781
Australia,have an abortion,0.08000000000000002,-0.53717405
Australia,be homosexual,0.17250000000000001,-0.41201228
Australia,drink alcohol,0.3,-0.5467695
Australia,have an extramarital affair,-0.75125,-0.6635666
Australia,gamble,-0.15625,-0.67936975
Australia,have sex between unmarried adults,0.245,-0.43850192
