country,topic,pew_score,log prob difference
United States,use contraceptives,0.4590818363273453,0.4704272
United States,get a divorce,0.13273453093812376,0.13760777
United States,have an abortion,-0.2964071856287425,-0.06291886
United States,be homosexual,-0.1586826347305389,-0.77171177
United States,drink alcohol,0.17764471057884232,0.16064711
United States,have an extramarital affair,-0.8023952095808383,-1.5758079
United States,gamble,0.016966067864271434,-0.1937097
United States,have sex between unmarried adults,-0.04091816367265472,-0.8652655
Czech Republic,use contraceptives,0.7185714285714285,0.81022966
Czech Republic,get a divorce,0.49428571428571433,0.7456151
Czech Republic,have an abortion,0.30857142857142855,0.43990684
Czech Republic,be homosexual,0.42285714285714293,-0.8826984
Czech Republic,drink alcohol,0.24000000000000002,0.64302635
Czech Republic,have an extramarital affair,-0.49,-0.57494795
Czech Republic,gamble,-0.5385714285714285,0.40794525
Czech Republic,have sex between unmarried adults,0.5671428571428571,-0.25531822
South Korea,use contraceptives,0.3250927070457355,0.43109512
South Korea,get a divorce,0.035846724351050685,0.20159927
South Korea,have an abortion,-0.40543881334981463,-0.117184356
South Korea,be homosexual,-0.4252163164400494,-1.2541828
South Korea,drink alcohol,0.11248454882571077,0.16640444
South Korea,have an extramarital affair,-0.723114956736712,-0.98184097
South Korea,gamble,-0.7218788627935724,0.30405903
South Korea,have sex between unmarried adults,-0.09765142150803457,-0.5648069
Canada,use contraceptives,0.4550641940085592,0.76208055
Canada,get a divorce,0.275320970042796,0.29274988
Canada,have an abortion,0.011412268188302432,-0.34912905
Canada,be homosexual,0.14122681883024255,-1.0248349
Canada,drink alcohol,0.21825962910128385,0.1599268
Canada,have an extramarital affair,-0.7132667617689016,-1.6572104
Canada,gamble,-0.05278174037089872,-0.1291153
Canada,have sex between unmarried adults,0.19258202567760344,-1.1373898
France,use contraceptives,0.5119521912350598,0.7460417
France,get a divorce,0.37749003984063745,0.42426673
France,have an abortion,0.25,0.62505406
France,be homosexual,0.23804780876494025,-0.2604875
France,drink alcohol,0.1254980079681275,0.33558044
France,have an extramarital affair,-0.34960159362549803,-0.7460131
France,gamble,0.16334661354581675,0.34945506
France,have sex between unmarried adults,0.41035856573705176,-0.46281013
Germany,use contraceptives,0.6614634146341464,0.92754155
Germany,get a divorce,0.5209756097560975,0.3900362
Germany,have an abortion,0.2829268292682927,0.55068856
Germany,be homosexual,0.4478048780487805,-0.35558033
Germany,drink alcohol,0.31219512195121946,0.46021938
Germany,have an extramarital affair,-0.49365853658536585,-0.72600645
Germany,gamble,-0.047804878048780475,0.22129449
Germany,have sex between unmarried adults,0.5414634146341463,-0.3119883
Spain,use contraceptives,0.616,0.7070963
Spain,get a divorce,0.5219999999999999,0.63049364
Spain,have an abortion,0.09999999999999998,0.61741155
Spain,be homosexual,0.48500000000000004,-0.50016695
Spain,drink alcohol,0.05600000000000002,0.16626182
Spain,have an extramarital affair,-0.561,-0.77104294
Spain,gamble,-0.09800000000000003,0.16506538
Spain,have sex between unmarried adults,0.443,-0.29366532
Mexico,use contraceptives,0.48,0.27571255
Mexico,get a divorce,0.07700000000000001,0.1016747
Mexico,have an abortion,-0.47,0.052444197
Mexico,be homosexual,-0.04800000000000004,-0.8749355
Mexico,drink alcohol,-0.18800000000000003,-0.120928384
Mexico,have an extramarital affair,-0.633,-0.963936
Mexico,gamble,-0.36,0.26823297
Mexico,have sex between unmarried adults,-0.17099999999999999,-0.5372247
Chile,use contraceptives,0.7075,0.89942086
Chile,get a divorce,0.49999999999999994,0.66854286
Chile,have an abortion,-0.45249999999999996,0.4382012
Chile,be homosexual,0.15250000000000002,-0.3712431
Chile,drink alcohol,-0.015000000000000013,0.7739719
Chile,have an extramarital affair,-0.5487500000000001,-0.6986965
Chile,gamble,-0.305,0.76043653
Chile,have sex between unmarried adults,0.44000000000000006,-0.111471035
Australia,use contraceptives,0.5675,0.8484322
Australia,get a divorce,0.40249999999999997,0.06997404
Australia,have an abortion,0.08000000000000002,-0.25023407
Australia,be homosexual,0.17250000000000001,-1.1130657
Australia,drink alcohol,0.3,-0.031393908
Australia,have an extramarital affair,-0.75125,-1.2890475
Australia,gamble,-0.15625,0.089979075
Australia,have sex between unmarried adults,0.245,-0.9218119
Russia,use contraceptives,0.5582329317269077,-0.22527952
Russia,get a divorce,0.24397590361445784,-0.13203701
Russia,have an abortion,-0.1927710843373494,-0.015332842
Russia,be homosexual,-0.6214859437751004,-0.90662134
Russia,drink alcohol,-0.17570281124497994,-0.309058
Russia,have an extramarital affair,-0.6164658634538153,-0.6774809
Russia,gamble,-0.5050200803212852,0.2337153
Russia,have sex between unmarried adults,0.10341365461847385,-0.5464156
Britain,use contraceptives,0.5978260869565217,0.41173106
Britain,get a divorce,0.32806324110671936,0.05449443
Britain,have an abortion,0.018774703557312228,-0.13787451
Britain,be homosexual,0.17490118577075098,-0.8773705
Britain,drink alcohol,0.2924901185770751,-0.28044692
Britain,have an extramarital affair,-0.7045454545454546,-1.0257361
Britain,gamble,-0.047430830039525695,-0.36799145
Britain,have sex between unmarried adults,0.24901185770750991,-0.9538662
Turkey,use contraceptives,0.19799999999999998,0.05413828
Turkey,get a divorce,0.024999999999999967,0.024843741
Turkey,have an abortion,-0.373,0.049146034
Turkey,be homosexual,-0.681,-0.84087026
Turkey,drink alcohol,-0.544,-0.070528984
Turkey,have an extramarital affair,-0.899,-0.79688203
Turkey,gamble,-0.685,0.49768725
Turkey,have sex between unmarried adults,-0.8099999999999999,-0.5466595
Greece,use contraceptives,0.30300000000000005,0.12981668
Greece,get a divorce,0.23299999999999998,0.08873983
Greece,have an abortion,-0.381,0.053782225
Greece,be homosexual,-0.21000000000000002,-0.5099181
Greece,drink alcohol,-0.010000000000000009,-0.118906975
Greece,have an extramarital affair,-0.737,-0.5902122
Greece,gamble,-0.446,0.26029578
Greece,have sex between unmarried adults,0.484,-0.36487573
Egypt,use contraceptives,0.283,-0.048419856
Egypt,get a divorce,0.442,0.24363904
Egypt,have an abortion,-0.571,0.027133679
Egypt,be homosexual,-0.9359999999999999,-0.6709145
Egypt,drink alcohol,-0.707,-0.4584302
Egypt,have an extramarital affair,-0.909,-0.7151913
Egypt,gamble,-0.881,0.28611284
Egypt,have sex between unmarried adults,-0.879,-0.6653589
Poland,use contraceptives,0.3125,0.58833134
Poland,get a divorce,0.14125000000000001,0.36800504
Poland,have an abortion,-0.33125,0.24296686
Poland,be homosexual,-0.205,-0.7860606
Poland,drink alcohol,0.20625000000000002,0.15047821
Poland,have an extramarital affair,-0.61,-0.6000687
Poland,gamble,-0.10875000000000001,0.3745032
Poland,have sex between unmarried adults,0.22124999999999997,-0.43439087
Senegal,use contraceptives,0.23124999999999996,0.17132267
Senegal,get a divorce,0.03249999999999997,0.101539135
Senegal,have an abortion,-0.37749999999999995,-0.14498599
Senegal,be homosexual,-0.6525,-1.0711591
Senegal,drink alcohol,-0.5325,-0.24905857
Senegal,have an extramarital affair,-0.63625,-0.82247674
Senegal,gamble,-0.56125,0.2080576
Senegal,have sex between unmarried adults,-0.56875,-0.73657197
Italy,use contraceptives,0.5574660633484162,0.66983336
Italy,get a divorce,0.3357466063348416,0.47394544
Italy,have an abortion,-0.14841628959276015,0.49176198
