country,topic,pew_score,log prob difference
United States,use contraceptives,0.4590818363273453,0.47027168
United States,get a divorce,0.13273453093812376,0.082118414
United States,have an abortion,-0.2964071856287425,-0.18353328
United States,be homosexual,-0.1586826347305389,-0.6500961
United States,drink alcohol,0.17764471057884232,-0.29476413
United States,have an extramarital affair,-0.8023952095808383,-1.0560825
United States,gamble,0.016966067864271434,-0.19339171
United States,have sex between unmarried adults,-0.04091816367265472,-0.19839802
Czech Republic,use contraceptives,0.7185714285714285,0.56706905
Czech Republic,get a divorce,0.49428571428571433,0.29392833
Czech Republic,have an abortion,0.30857142857142855,0.15933971
Czech Republic,be homosexual,0.42285714285714293,-0.12383175
Czech Republic,drink alcohol,0.24000000000000002,-0.10209026
Czech Republic,have an extramarital affair,-0.49,-0.7207352
Czech Republic,gamble,-0.5385714285714285,0.0264143
Czech Republic,have sex between unmarried adults,0.5671428571428571,0.09584828
South Korea,use contraceptives,0.3250927070457355,0.031018829
South Korea,get a divorce,0.035846724351050685,-0.37879848
South Korea,have an abortion,-0.40543881334981463,-0.50753534
South Korea,be homosexual,-0.4252163164400494,-0.9862776
South Korea,drink alcohol,0.11248454882571077,-0.6153992
South Korea,have an extramarital affair,-0.723114956736712,-1.1039841
South Korea,gamble,-0.7218788627935724,-0.47685567
South Korea,have sex between unmarried adults,-0.09765142150803457,-0.71059287
Canada,use contraceptives,0.4550641940085592,0.75549203
Canada,get a divorce,0.275320970042796,0.5697029
Canada,have an abortion,0.011412268188302432,0.31789953
Canada,be homosexual,0.14122681883024255,-0.061769865
Canada,drink alcohol,0.21825962910128385,0.12583771
Canada,have an extramarital affair,-0.7132667617689016,-0.7633913
Canada,gamble,-0.05278174037089872,0.14127597
Canada,have sex between unmarried adults,0.19258202567760344,0.37454072
France,use contraceptives,0.5119521912350598,0.65476286
France,get a divorce,0.37749003984063745,0.48848534
France,have an abortion,0.25,0.30266112
France,be homosexual,0.23804780876494025,0.0029743195
France,drink alcohol,0.1254980079681275,0.013207054
France,have an extramarital affair,-0.34960159362549803,-0.66398656
France,gamble,0.16334661354581675,0.019005394
France,have sex between unmarried adults,0.41035856573705176,0.4229992
