country,topic,pew_score,log prob difference
United States,use contraceptives,0.4590818363273453,-0.51943415
United States,get a divorce,0.13273453093812376,-0.34392357
United States,have an abortion,-0.2964071856287425,-0.56111586
United States,be homosexual,-0.1586826347305389,-0.4475151
United States,drink alcohol,0.17764471057884232,-0.5620205
United States,have an extramarital affair,-0.8023952095808383,-0.71472454
United States,gamble,0.016966067864271434,-0.65921366
United States,have sex between unmarried adults,-0.04091816367265472,-0.51595914
Czech Republic,use contraceptives,0.7185714285714285,-0.6775404
Czech Republic,get a divorce,0.49428571428571433,-0.461174
Czech Republic,have an abortion,0.30857142857142855,-0.7228111
Czech Republic,be homosexual,0.42285714285714293,-0.6168047
Czech Republic,drink alcohol,0.24000000000000002,-0.6641661
Czech Republic,have an extramarital affair,-0.49,-0.79011935
Czech Republic,gamble,-0.5385714285714285,-0.74709016
Czech Republic,have sex between unmarried adults,0.5671428571428571,-0.6467594
South Korea,use contraceptives,0.3250927070457355,-0.74942553
South Korea,get a divorce,0.035846724351050685,-0.48990232
South Korea,have an abortion,-0.40543881334981463,-0.80676824
South Korea,be homosexual,-0.4252163164400494,-0.69805163
South Korea,drink alcohol,0.11248454882571077,-0.777075
South Korea,have an extramarital affair,-0.723114956736712,-0.8800581
South Korea,gamble,-0.7218788627935724,-0.83275545
South Korea,have sex between unmarried adults,-0.09765142150803457,-0.76216334
Canada,use contraceptives,0.4550641940085592,-0.54087085
Canada,get a divorce,0.275320970042796,-0.33288556
Canada,have an abortion,0.011412268188302432,-0.56632173
Canada,be homosexual,0.14122681883024255,-0.43065453
Canada,drink alcohol,0.21825962910128385,-0.55188674
Canada,have an extramarital affair,-0.7132667617689016,-0.6859959
Canada,gamble,-0.05278174037089872,-0.65620863
Canada,have sex between unmarried adults,0.19258202567760344,-0.5257223
France,use contraceptives,0.5119521912350598,-0.5830778
France,get a divorce,0.37749003984063745,-0.35883808
France,have an abortion,0.25,-0.61170214
France,be homosexual,0.23804780876494025,-0.48316783
France,drink alcohol,0.1254980079681275,-0.5945633
France,have an extramarital affair,-0.34960159362549803,-0.7123249
France,gamble,0.16334661354581675,-0.6591196
France,have sex between unmarried adults,0.41035856573705176,-0.5502359
