country,topic,pew_score,log prob difference
United States,use contraceptives,0.4590818363273453,-1.2220007
United States,get a divorce,0.13273453093812376,-1.424872
United States,have an abortion,-0.2964071856287425,-3.0128396
United States,be homosexual,-0.1586826347305389,-2.1258323
United States,drink alcohol,0.17764471057884232,-1.5918472
United States,have an extramarital affair,-0.8023952095808383,-3.4874203
United States,gamble,0.016966067864271434,-1.7493061
United States,have sex between unmarried adults,-0.04091816367265472,-1.9052022
Czech Republic,use contraceptives,0.7185714285714285,-0.4797229
Czech Republic,get a divorce,0.49428571428571433,-0.49557787
Czech Republic,have an abortion,0.30857142857142855,-1.5577831
Czech Republic,be homosexual,0.42285714285714293,-0.8337127
Czech Republic,drink alcohol,0.24000000000000002,-0.90041846
Czech Republic,have an extramarital affair,-0.49,-2.8041003
Czech Republic,gamble,-0.5385714285714285,-0.9884936
Czech Republic,have sex between unmarried adults,0.5671428571428571,-0.9760922
South Korea,use contraceptives,0.3250927070457355,-1.5518852
South Korea,get a divorce,0.035846724351050685,-1.616898
South Korea,have an abortion,-0.40543881334981463,-3.4178536
South Korea,be homosexual,-0.4252163164400494,-2.3542755
South Korea,drink alcohol,0.11248454882571077,-1.9321935
South Korea,have an extramarital affair,-0.723114956736712,-3.470967
South Korea,gamble,-0.7218788627935724,-2.1026108
South Korea,have sex between unmarried adults,-0.09765142150803457,-2.070147
Canada,use contraceptives,0.4550641940085592,-0.65771276
Canada,get a divorce,0.275320970042796,-0.8046789
Canada,have an abortion,0.011412268188302432,-1.7056099
Canada,be homosexual,0.14122681883024255,-1.0899369
Canada,drink alcohol,0.21825962910128385,-1.0536301
Canada,have an extramarital affair,-0.7132667617689016,-3.1527758
Canada,gamble,-0.05278174037089872,-1.4233284
Canada,have sex between unmarried adults,0.19258202567760344,-1.075688
France,use contraceptives,0.5119521912350598,-0.70652676
France,get a divorce,0.37749003984063745,-0.79062194
France,have an abortion,0.25,-1.371944
France,be homosexual,0.23804780876494025,-0.9320866
France,drink alcohol,0.1254980079681275,-1.0644296
France,have an extramarital affair,-0.34960159362549803,-2.0906322
France,gamble,0.16334661354581675,-1.1547077
France,have sex between unmarried adults,0.41035856573705176,-1.0547228
