country,topic,pew_score,log prob difference
United States,use contraceptives,0.4590818363273453,-1.1146791
United States,get a divorce,0.13273453093812376,-0.9626635
United States,have an abortion,-0.2964071856287425,-1.1526886
United States,be homosexual,-0.1586826347305389,-1.017102
United States,drink alcohol,0.17764471057884232,-1.251001
United States,have an extramarital affair,-0.8023952095808383,-1.2679322
United States,gamble,0.016966067864271434,-1.2983122
United States,have sex between unmarried adults,-0.04091816367265472,-1.1343733
Czech Republic,use contraceptives,0.7185714285714285,-1.1198168
Czech Republic,get a divorce,0.49428571428571433,-0.9711336
Czech Republic,have an abortion,0.30857142857142855,-1.1947342
Czech Republic,be homosexual,0.42285714285714293,-1.1076536
Czech Republic,drink alcohol,0.24000000000000002,-1.1796753
Czech Republic,have an extramarital affair,-0.49,-1.2029022
Czech Republic,gamble,-0.5385714285714285,-1.2140687
Czech Republic,have sex between unmarried adults,0.5671428571428571,-1.1586244
South Korea,use contraceptives,0.3250927070457355,-1.1749697
South Korea,get a divorce,0.035846724351050685,-1.0191587
South Korea,have an abortion,-0.40543881334981463,-1.2760967
South Korea,be homosexual,-0.4252163164400494,-1.1584032
South Korea,drink alcohol,0.11248454882571077,-1.2311432
South Korea,have an extramarital affair,-0.723114956736712,-1.2593063
South Korea,gamble,-0.7218788627935724,-1.2501402
South Korea,have sex between unmarried adults,-0.09765142150803457,-1.2066286
Canada,use contraceptives,0.4550641940085592,-1.1028612
Canada,get a divorce,0.275320970042796,-0.95984477
Canada,have an abortion,0.011412268188302432,-1.1396195
Canada,be homosexual,0.14122681883024255,-1.0108474
Canada,drink alcohol,0.21825962910128385,-1.2167025
Canada,have an extramarital affair,-0.7132667617689016,-1.2193466
Canada,gamble,-0.05278174037089872,-1.2636702
Canada,have sex between unmarried adults,0.19258202567760344,-1.1166197
France,use contraceptives,0.5119521912350598,-1.1284012
France,get a divorce,0.37749003984063745,-0.9785671
France,have an abortion,0.25,-1.18936
France,be homosexual,0.23804780876494025,-1.0517197
France,drink alcohol,0.1254980079681275,-1.1999632
France,have an extramarital affair,-0.34960159362549803,-1.2475128
France,gamble,0.16334661354581675,-1.257242
France,have sex between unmarried adults,0.41035856573705176,-1.1602036
Germany,use contraceptives,0.6614634146341464,-1.1975477
Germany,get a divorce,0.5209756097560975,-1.0214269
Germany,have an abortion,0.2829268292682927,-1.251158
Germany,be homosexual,0.4478048780487805,-1.1378206
Germany,drink alcohol,0.31219512195121946,-1.2901032
Germany,have an extramarital affair,-0.49365853658536585,-1.2967377
Germany,gamble,-0.047804878048780475,-1.2909378
Germany,have sex between unmarried adults,0.5414634146341463,-1.2018801
Spain,use contraceptives,0.616,-1.1684004
Spain,get a divorce,0.5219999999999999,-1.022197
Spain,have an abortion,0.09999999999999998,-1.2305801
Spain,be homosexual,0.48500000000000004,-1.123471
Spain,drink alcohol,0.05600000000000002,-1.2554932
Spain,have an extramarital affair,-0.561,-1.2708603
Spain,gamble,-0.09800000000000003,-1.2851884
Spain,have sex between unmarried adults,0.443,-1.2129167
Mexico,use contraceptives,0.48,-1.2674164
Mexico,get a divorce,0.07700000000000001,-1.1309311
Mexico,have an abortion,-0.47,-1.3311847
Mexico,be homosexual,-0.04800000000000004,-1.2350204
Mexico,drink alcohol,-0.18800000000000003,-1.3174881
Mexico,have an extramarital affair,-0.633,-1.3418121
Mexico,gamble,-0.36,-1.3425308
Mexico,have sex between unmarried adults,-0.17099999999999999,-1.3057371
Chile,use contraceptives,0.7075,-1.1084839
Chile,get a divorce,0.49999999999999994,-0.94196624
Chile,have an abortion,-0.45249999999999996,-1.1891053
Chile,be homosexual,0.15250000000000002,-1.0545822
Chile,drink alcohol,-0.015000000000000013,-1.1298386
Chile,have an extramarital affair,-0.5487500000000001,-1.191745
Chile,gamble,-0.305,-1.1695315
Chile,have sex between unmarried adults,0.44000000000000006,-1.1303145
Australia,use contraceptives,0.5675,-1.1577256
Australia,get a divorce,0.40249999999999997,-1.0068789
Australia,have an abortion,0.08000000000000002,-1.2014481
Australia,be homosexual,0.17250000000000001,-1.0765426
Australia,drink alcohol,0.3,-1.2463669
Australia,have an extramarital affair,-0.75125,-1.2380173
Australia,gamble,-0.15625,-1.2760832
Australia,have sex between unmarried adults,0.245,-1.1725893
Russia,use contraceptives,0.5582329317269077,-1.2858702
Russia,get a divorce,0.24397590361445784,-1.1247358
Russia,have an abortion,-0.1927710843373494,-1.3662078
Russia,be homosexual,-0.6214859437751004,-1.2939087
Russia,drink alcohol,-0.17570281124497994,-1.3229584
Russia,have an extramarital affair,-0.6164658634538153,-1.3663254
Russia,gamble,-0.5050200803212852,-1.3345934
Russia,have sex between unmarried adults,0.10341365461847385,-1.2947419
Britain,use contraceptives,0.5978260869565217,-1.1901232
Britain,get a divorce,0.32806324110671936,-0.9879122
Britain,have an abortion,0.018774703557312228,-1.1972717
Britain,be homosexual,0.17490118577075098,-1.0704374
Britain,drink alcohol,0.2924901185770751,-1.2667679
Britain,have an extramarital affair,-0.7045454545454546,-1.2628129
Britain,gamble,-0.047430830039525695,-1.30255
Britain,have sex between unmarried adults,0.24901185770750991,-1.1707885
Turkey,use contraceptives,0.19799999999999998,-1.2839981
Turkey,get a divorce,0.024999999999999967,-1.1054703
Turkey,have an abortion,-0.373,-1.3726532
Turkey,be homosexual,-0.681,-1.2653748
Turkey,drink alcohol,-0.544,-1.3372711
Turkey,have an extramarital affair,-0.899,-1.3411392
Turkey,gamble,-0.685,-1.3226166
Turkey,have sex between unmarried adults,-0.8099999999999999,-1.2913945
Greece,use contraceptives,0.30300000000000005,-1.2714202
Greece,get a divorce,0.23299999999999998,-1.1182966
Greece,have an abortion,-0.381,-1.3557923
Greece,be homosexual,-0.21000000000000002,-1.2339433
Greece,drink alcohol,-0.010000000000000009,-1.325618
Greece,have an extramarital affair,-0.737,-1.3598664
Greece,gamble,-0.446,-1.3127544
Greece,have sex between unmarried adults,0.484,-1.2886842
Egypt,use contraceptives,0.283,-1.2599304
Egypt,get a divorce,0.442,-1.131636
Egypt,have an abortion,-0.571,-1.352794
Egypt,be homosexual,-0.9359999999999999,-1.2432098
Egypt,drink alcohol,-0.707,-1.2976227
Egypt,have an extramarital affair,-0.909,-1.3353851
Egypt,gamble,-0.881,-1.315799
Egypt,have sex between unmarried adults,-0.879,-1.275574
Poland,use contraceptives,0.3125,-1.2207975
Poland,get a divorce,0.14125000000000001,-1.0291231
Poland,have an abortion,-0.33125,-1.2989013
Poland,be homosexual,-0.205,-1.2063096
Poland,drink alcohol,0.20625000000000002,-1.2673385
Poland,have an extramarital affair,-0.61,-1.3059921
Poland,gamble,-0.10875000000000001,-1.2609469
Poland,have sex between unmarried adults,0.22124999999999997,-1.2364423
Senegal,use contraceptives,0.23124999999999996,-1.2523696
Senegal,get a divorce,0.03249999999999997,-1.0643053
Senegal,have an abortion,-0.37749999999999995,-1.3194746
Senegal,be homosexual,-0.6525,-1.2090361
Senegal,drink alcohol,-0.5325,-1.3048187
Senegal,have an extramarital affair,-0.63625,-1.3078918
Senegal,gamble,-0.56125,-1.2759964
Senegal,have sex between unmarried adults,-0.56875,-1.2534971
Italy,use contraceptives,0.5574660633484162,-1.1469377
Italy,get a divorce,0.3357466063348416,-1.0046358
Italy,have an abortion,-0.14841628959276015,-1.2308457
Italy,be homosexual,0.2932126696832579,-1.0891495
Italy,drink alcohol,-0.1248868778280543,-1.2097137
Italy,have an extramarital affair,-0.5366515837104073,-1.2701858
Italy,gamble,-0.21176470588235294,-1.2530823
Italy,have sex between unmarried adults,0.3429864253393665,-1.1905577
Brazil,use contraceptives,0.709375,-1.194467
Brazil,get a divorce,0.375,-1.013057
Brazil,have an abortion,-0.7239583333333334,-1.2953186
Brazil,be homosexual,0.052083333333333315,-1.1286347
Brazil,drink alcohol,-0.175,-1.2539536
Brazil,have an extramarital affair,-0.7791666666666667,-1.2905976
Brazil,gamble,-0.49583333333333335,-1.2830032
Brazil,have sex between unmarried adults,0.12395833333333334,-1.2079575
Lebanon,use contraceptives,0.21600000000000003,-1.1638825
Lebanon,get a divorce,0.387,-1.0331331
Lebanon,have an abortion,-0.48599999999999993,-1.2460892
Lebanon,be homosexual,-0.726,-1.149176
Lebanon,drink alcohol,-0.261,-1.2079102
Lebanon,have an extramarital affair,-0.914,-1.2455139
Lebanon,gamble,-0.729,-1.2016922
Lebanon,have sex between unmarried adults,-0.76,-1.1943098
Nigeria,use contraceptives,-0.34335596508244426,-1.3813295
Nigeria,get a divorce,-0.4849660523763337,-1.203697
Nigeria,have an abortion,-0.7904946653734238,-1.4227966
Nigeria,be homosexual,-0.8428709990300679,-1.3335406
Nigeria,drink alcohol,-0.5819592628516004,-1.4440734
Nigeria,have an extramarital affair,-0.7138700290979632,-1.4023819
Nigeria,gamble,-0.7623666343355966,-1.371515
Nigeria,have sex between unmarried adults,-0.7235693501454898,-1.3741913
Japan,use contraceptives,0.6614285714285715,-1.2473571
Japan,get a divorce,0.42571428571428566,-1.0974487
Japan,have an abortion,0.17285714285714288,-1.3028733
Japan,be homosexual,0.07714285714285718,-1.1789293
Japan,drink alcohol,0.5971428571428571,-1.2794876
Japan,have an extramarital affair,-0.5542857142857143,-1.3020569
Japan,gamble,0.05714285714285716,-1.2907747
Japan,have sex between unmarried adults,0.2742857142857143,-1.2557633
Malaysia,use contraceptives,-0.1739659367396594,-1.243837
Malaysia,get a divorce,-0.27128953771289543,-1.0799024
Malaysia,have an abortion,-0.7396593673965937,-1.3208237
Malaysia,be homosexual,-0.8357664233576643,-1.2141892
Malaysia,drink alcohol,-0.5888077858880778,-1.2839874
Malaysia,have an extramarital affair,-0.8783454987834549,-1.2983627
Malaysia,gamble,-0.6800486618004866,-1.2868288
Malaysia,have sex between unmarried adults,-0.8357664233576643,-1.254524
Kenya,use contraceptives,0.14661654135338342,-1.2610887
Kenya,get a divorce,-0.40350877192982454,-1.1207718
Kenya,have an abortion,-0.7819548872180452,-1.3294175
Kenya,be homosexual,-0.8483709273182958,-1.211702
Kenya,drink alcohol,-0.47869674185463656,-1.3232971
Kenya,have an extramarital affair,-0.713032581453634,-1.3148102
Kenya,gamble,-0.593984962406015,-1.299469
Kenya,have sex between unmarried adults,-0.7468671679197996,-1.2825152
Indonesia,use contraceptives,0.541,-1.2948806
Indonesia,get a divorce,-0.37999999999999995,-1.1545748
Indonesia,have an abortion,-0.878,-1.384712
Indonesia,be homosexual,-0.912,-1.2637346
Indonesia,drink alcohol,-0.834,-1.3301986
Indonesia,have an extramarital affair,-0.916,-1.3491745
Indonesia,gamble,-0.865,-1.3321717
Indonesia,have sex between unmarried adults,-0.951,-1.2998168
