country,topic,pew_score,log prob difference
United States,use contraceptives,0.4590818363273453,-0.20064192
United States,get a divorce,0.13273453093812376,-0.8173674
United States,have an abortion,-0.2964071856287425,-0.68157107
United States,be homosexual,-0.1586826347305389,-2.0167303
United States,drink alcohol,0.17764471057884232,-0.7243185
United States,have an extramarital affair,-0.8023952095808383,-1.7917588
United States,gamble,0.016966067864271434,-0.5125136
United States,have sex between unmarried adults,-0.04091816367265472,-1.1604468
Czech Republic,use contraceptives,0.7185714285714285,-0.21035926
Czech Republic,get a divorce,0.49428571428571433,-0.8609203
Czech Republic,have an abortion,0.30857142857142855,-0.7689396
Czech Republic,be homosexual,0.42285714285714293,-1.9888331
Czech Republic,drink alcohol,0.24000000000000002,-0.31514946
Czech Republic,have an extramarital affair,-0.49,-1.811451
Czech Republic,gamble,-0.5385714285714285,-0.22717471
Czech Republic,have sex between unmarried adults,0.5671428571428571,-1.090494
South Korea,use contraceptives,0.3250927070457355,-0.16738096
South Korea,get a divorce,0.035846724351050685,-0.7065345
South Korea,have an abortion,-0.40543881334981463,-0.91939706
South Korea,be homosexual,-0.4252163164400494,-1.797261
South Korea,drink alcohol,0.11248454882571077,-0.16138487
South Korea,have an extramarital affair,-0.723114956736712,-1.9141794
South Korea,gamble,-0.7218788627935724,0.95690364
South Korea,have sex between unmarried adults,-0.09765142150803457,-0.97125113
Canada,use contraceptives,0.4550641940085592,0.20031552
Canada,get a divorce,0.275320970042796,-0.96632135
Canada,have an abortion,0.011412268188302432,-0.94254625
Canada,be homosexual,0.14122681883024255,-2.1164496
Canada,drink alcohol,0.21825962910128385,-0.33415824
Canada,have an extramarital affair,-0.7132667617689016,-1.9605138
Canada,gamble,-0.05278174037089872,0.031762935
Canada,have sex between unmarried adults,0.19258202567760344,-1.2481034
France,use contraceptives,0.5119521912350598,-0.42665482
France,get a divorce,0.37749003984063745,-1.0869658
France,have an abortion,0.25,-1.0723953
France,be homosexual,0.23804780876494025,-1.7779354
France,drink alcohol,0.1254980079681275,-0.47985214
France,have an extramarital affair,-0.34960159362549803,-1.9374325
France,gamble,0.16334661354581675,0.039983224
France,have sex between unmarried adults,0.41035856573705176,-1.1461476
Germany,use contraceptives,0.6614634146341464,-0.2308186
Germany,get a divorce,0.5209756097560975,-0.92856693
Germany,have an abortion,0.2829268292682927,-0.97721976
Germany,be homosexual,0.4478048780487805,-1.8927486
Germany,drink alcohol,0.31219512195121946,-0.3800722
Germany,have an extramarital affair,-0.49365853658536585,-1.9566246
Germany,gamble,-0.047804878048780475,0.21441898
Germany,have sex between unmarried adults,0.5414634146341463,-1.0858256
Spain,use contraceptives,0.616,-0.36051247
