country,topic,pew_score,log prob difference
United States,use contraceptives,0.4590818363273453,-1.2976092
United States,get a divorce,0.13273453093812376,-1.3368652
United States,have an abortion,-0.2964071856287425,-1.7724463
United States,be homosexual,-0.1586826347305389,-2.299694
United States,drink alcohol,0.17764471057884232,-1.9978721
United States,have an extramarital affair,-0.8023952095808383,-3.3259945
United States,gamble,0.016966067864271434,-1.6349347
United States,have sex between unmarried adults,-0.04091816367265472,-2.0873413
Czech Republic,use contraceptives,0.7185714285714285,-0.88449526
Czech Republic,get a divorce,0.49428571428571433,-0.7491614
Czech Republic,have an abortion,0.30857142857142855,-1.1303799
Czech Republic,be homosexual,0.42285714285714293,-1.2833917
Czech Republic,drink alcohol,0.24000000000000002,-1.1279446
Czech Republic,have an extramarital affair,-0.49,-2.8792481
Czech Republic,gamble,-0.5385714285714285,-0.93477315
Czech Republic,have sex between unmarried adults,0.5671428571428571,-1.1557785
South Korea,use contraceptives,0.3250927070457355,-1.7210038
South Korea,get a divorce,0.035846724351050685,-1.8163141
South Korea,have an abortion,-0.40543881334981463,-2.2061648
South Korea,be homosexual,-0.4252163164400494,-2.9184582
South Korea,drink alcohol,0.11248454882571077,-2.2124088
South Korea,have an extramarital affair,-0.723114956736712,-3.369573
South Korea,gamble,-0.7218788627935724,-1.8057629
South Korea,have sex between unmarried adults,-0.09765142150803457,-2.3886669
Canada,use contraceptives,0.4550641940085592,-0.9342079
Canada,get a divorce,0.275320970042796,-0.9696951
Canada,have an abortion,0.011412268188302432,-1.31118
Canada,be homosexual,0.14122681883024255,-1.6538212
Canada,drink alcohol,0.21825962910128385,-1.4196151
Canada,have an extramarital affair,-0.7132667617689016,-3.0640578
Canada,gamble,-0.05278174037089872,-1.2899699
Canada,have sex between unmarried adults,0.19258202567760344,-1.5194261
France,use contraceptives,0.5119521912350598,-0.7947397
France,get a divorce,0.37749003984063745,-0.6442363
France,have an abortion,0.25,-1.0053735
France,be homosexual,0.23804780876494025,-1.1367779
France,drink alcohol,0.1254980079681275,-1.1134459
France,have an extramarital affair,-0.34960159362549803,-2.6245103
France,gamble,0.16334661354581675,-0.9559938
France,have sex between unmarried adults,0.41035856573705176,-1.0717779
Germany,use contraceptives,0.6614634146341464,-0.78131676
Germany,get a divorce,0.5209756097560975,-0.66670734
Germany,have an abortion,0.2829268292682927,-1.0102088
Germany,be homosexual,0.4478048780487805,-1.1145288
Germany,drink alcohol,0.31219512195121946,-1.0250266
Germany,have an extramarital affair,-0.49365853658536585,-2.73864
Germany,gamble,-0.047804878048780475,-0.8221097
Germany,have sex between unmarried adults,0.5414634146341463,-1.0113109
Spain,use contraceptives,0.616,-0.9487053
Spain,get a divorce,0.5219999999999999,-0.75062525
Spain,have an abortion,0.09999999999999998,-1.2217374
Spain,be homosexual,0.48500000000000004,-1.4092792
Spain,drink alcohol,0.05600000000000002,-1.3317951
Spain,have an extramarital affair,-0.561,-2.8141322
Spain,gamble,-0.09800000000000003,-1.0406134
Spain,have sex between unmarried adults,0.443,-1.2861582
Mexico,use contraceptives,0.48,-1.3782388
Mexico,get a divorce,0.07700000000000001,-1.726561
Mexico,have an abortion,-0.47,-1.8600693
Mexico,be homosexual,-0.04800000000000004,-2.4515529
Mexico,drink alcohol,-0.18800000000000003,-2.1440856
Mexico,have an extramarital affair,-0.633,-3.2115302
Mexico,gamble,-0.36,-1.7206357
Mexico,have sex between unmarried adults,-0.17099999999999999,-2.173373
Chile,use contraceptives,0.7075,-1.116905
Chile,get a divorce,0.49999999999999994,-1.3484628
Chile,have an abortion,-0.45249999999999996,-1.593577
Chile,be homosexual,0.15250000000000002,-1.7596428
Chile,drink alcohol,-0.015000000000000013,-1.5776123
Chile,have an extramarital affair,-0.5487500000000001,-2.9674983
Chile,gamble,-0.305,-1.1374342
Chile,have sex between unmarried adults,0.44000000000000006,-1.5974506
Australia,use contraceptives,0.5675,-1.2070776
Australia,get a divorce,0.40249999999999997,-1.2958972
Australia,have an abortion,0.08000000000000002,-1.5631336
Australia,be homosexual,0.17250000000000001,-1.9259636
Australia,drink alcohol,0.3,-1.598846
Australia,have an extramarital affair,-0.75125,-3.1566818
Australia,gamble,-0.15625,-1.4167532
Australia,have sex between unmarried adults,0.245,-1.7421961
Russia,use contraceptives,0.5582329317269077,-1.576854
Russia,get a divorce,0.24397590361445784,-1.4933827
Russia,have an abortion,-0.1927710843373494,-2.2237735
Russia,be homosexual,-0.6214859437751004,-3.2729707
Russia,drink alcohol,-0.17570281124497994,-2.6276503
Russia,have an extramarital affair,-0.6164658634538153,-3.3693376
Russia,gamble,-0.5050200803212852,-1.5116352
Russia,have sex between unmarried adults,0.10341365461847385,-2.9270685
Britain,use contraceptives,0.5978260869565217,-1.1330112
Britain,get a divorce,0.32806324110671936,-0.9235916
Britain,have an abortion,0.018774703557312228,-1.4559222
Britain,be homosexual,0.17490118577075098,-1.7735697
Britain,drink alcohol,0.2924901185770751,-1.5494964
Britain,have an extramarital affair,-0.7045454545454546,-3.2097688
Britain,gamble,-0.047430830039525695,-1.2073339
Britain,have sex between unmarried adults,0.24901185770750991,-1.6412518
Turkey,use contraceptives,0.19799999999999998,-1.6189625
Turkey,get a divorce,0.024999999999999967,-1.1943388
