country,topic,pew_score,log prob difference
United States,use contraceptives,0.4590818363273453,-0.12474332
United States,get a divorce,0.13273453093812376,-0.7797479
United States,have an abortion,-0.2964071856287425,-1.355819
United States,be homosexual,-0.1586826347305389,-1.0099541
United States,drink alcohol,0.17764471057884232,-0.821603
United States,have an extramarital affair,-0.8023952095808383,-1.7748598
United States,gamble,0.016966067864271434,-0.9623413
United States,have sex between unmarried adults,-0.04091816367265472,-0.95469743
Czech Republic,use contraceptives,0.7185714285714285,-0.24161105
Czech Republic,get a divorce,0.49428571428571433,-0.881065
Czech Republic,have an abortion,0.30857142857142855,-1.6574786
Czech Republic,be homosexual,0.42285714285714293,-1.1433458
Czech Republic,drink alcohol,0.24000000000000002,-0.89903414
Czech Republic,have an extramarital affair,-0.49,-1.903719
Czech Republic,gamble,-0.5385714285714285,-1.0602839
Czech Republic,have sex between unmarried adults,0.5671428571428571,-1.2605966
South Korea,use contraceptives,0.3250927070457355,-0.47195846
South Korea,get a divorce,0.035846724351050685,-1.0482111
South Korea,have an abortion,-0.40543881334981463,-1.7594669
South Korea,be homosexual,-0.4252163164400494,-1.2814257
South Korea,drink alcohol,0.11248454882571077,-1.1712921
South Korea,have an extramarital affair,-0.723114956736712,-1.8914795
South Korea,gamble,-0.7218788627935724,-1.1469469
South Korea,have sex between unmarried adults,-0.09765142150803457,-1.3720988
Canada,use contraceptives,0.4550641940085592,0.13792649
Canada,get a divorce,0.275320970042796,-0.4404463
Canada,have an abortion,0.011412268188302432,-0.9811093
Canada,be homosexual,0.14122681883024255,-0.49898705
Canada,drink alcohol,0.21825962910128385,-0.36966807
Canada,have an extramarital affair,-0.7132667617689016,-1.5465275
Canada,gamble,-0.05278174037089872,-0.62217295
Canada,have sex between unmarried adults,0.19258202567760344,-0.58522403
France,use contraceptives,0.5119521912350598,0.17632136
France,get a divorce,0.37749003984063745,-0.3733346
France,have an abortion,0.25,-0.9372196
France,be homosexual,0.23804780876494025,-0.45118076
France,drink alcohol,0.1254980079681275,-0.3113802
France,have an extramarital affair,-0.34960159362549803,-1.4495075
France,gamble,0.16334661354581675,-0.52128327
