country,topic,pew_score,log prob difference
United States,use contraceptives,0.4590818363273453,-1.4474713
United States,get a divorce,0.13273453093812376,-0.9790756
United States,have an abortion,-0.2964071856287425,-1.4202709
United States,be homosexual,-0.1586826347305389,-1.2181854
United States,drink alcohol,0.17764471057884232,-1.5269667
United States,have an extramarital affair,-0.8023952095808383,-1.5907133
United States,gamble,0.016966067864271434,-1.5169189
United States,have sex between unmarried adults,-0.04091816367265472,-1.1054167
Czech Republic,use contraceptives,0.7185714285714285,-1.3127197
Czech Republic,get a divorce,0.49428571428571433,-0.988031
Czech Republic,have an abortion,0.30857142857142855,-1.390291
Czech Republic,be homosexual,0.42285714285714293,-1.1260027
Czech Republic,drink alcohol,0.24000000000000002,-1.2982525
Czech Republic,have an extramarital affair,-0.49,-1.5081692
Czech Republic,gamble,-0.5385714285714285,-1.3788421
Czech Republic,have sex between unmarried adults,0.5671428571428571,-0.97017974
South Korea,use contraceptives,0.3250927070457355,-1.3833132
South Korea,get a divorce,0.035846724351050685,-1.0709839
South Korea,have an abortion,-0.40543881334981463,-1.4183775
South Korea,be homosexual,-0.4252163164400494,-1.1094668
South Korea,drink alcohol,0.11248454882571077,-1.3545992
South Korea,have an extramarital affair,-0.723114956736712,-1.4835386
South Korea,gamble,-0.7218788627935724,-1.3778595
South Korea,have sex between unmarried adults,-0.09765142150803457,-1.0584577
Canada,use contraceptives,0.4550641940085592,-1.1997799
Canada,get a divorce,0.275320970042796,-0.6909574
Canada,have an abortion,0.011412268188302432,-1.1474578
Canada,be homosexual,0.14122681883024255,-0.79342973
Canada,drink alcohol,0.21825962910128385,-1.2171799
Canada,have an extramarital affair,-0.7132667617689016,-1.46792
Canada,gamble,-0.05278174037089872,-1.4540863
Canada,have sex between unmarried adults,0.19258202567760344,-0.7790068
France,use contraceptives,0.5119521912350598,-1.242822
France,get a divorce,0.37749003984063745,-0.85295236
France,have an abortion,0.25,-1.2674345
France,be homosexual,0.23804780876494025,-0.92075044
France,drink alcohol,0.1254980079681275,-1.2593632
France,have an extramarital affair,-0.34960159362549803,-1.4396785
France,gamble,0.16334661354581675,-1.3270366
France,have sex between unmarried adults,0.41035856573705176,-0.8928801
Germany,use contraceptives,0.6614634146341464,-1.4657732
Germany,get a divorce,0.5209756097560975,-1.1739047
Germany,have an abortion,0.2829268292682927,-1.5662203
Germany,be homosexual,0.4478048780487805,-1.3020493
Germany,drink alcohol,0.31219512195121946,-1.4404831
Germany,have an extramarital affair,-0.49365853658536585,-1.5546665
Germany,gamble,-0.047804878048780475,-1.4391844
Germany,have sex between unmarried adults,0.5414634146341463,-1.2204802
Spain,use contraceptives,0.616,-1.3334582
Spain,get a divorce,0.5219999999999999,-0.9361311
Spain,have an abortion,0.09999999999999998,-1.444429
Spain,be homosexual,0.48500000000000004,-1.1081021
