country,topic,pew_score,log prob difference
United States,use contraceptives,0.4590818363273453,-0.97944957
United States,get a divorce,0.13273453093812376,-1.0668366
United States,have an abortion,-0.2964071856287425,-1.0252613
United States,be homosexual,-0.1586826347305389,-1.4303478
United States,drink alcohol,0.17764471057884232,-0.28857908
United States,have an extramarital affair,-0.8023952095808383,-1.6251767
United States,gamble,0.016966067864271434,-0.66623604
United States,have sex between unmarried adults,-0.04091816367265472,-1.4833151
Czech Republic,use contraceptives,0.7185714285714285,-0.7890689
Czech Republic,get a divorce,0.49428571428571433,-0.9426683
Czech Republic,have an abortion,0.30857142857142855,-1.0979344
Czech Republic,be homosexual,0.42285714285714293,-1.4638821
Czech Republic,drink alcohol,0.24000000000000002,-0.34679994
Czech Republic,have an extramarital affair,-0.49,-1.2224859
Czech Republic,gamble,-0.5385714285714285,-0.29179794
Czech Republic,have sex between unmarried adults,0.5671428571428571,-1.4448743
South Korea,use contraceptives,0.3250927070457355,-0.7353048
South Korea,get a divorce,0.035846724351050685,-0.6112365
South Korea,have an abortion,-0.40543881334981463,-0.8714708
South Korea,be homosexual,-0.4252163164400494,-1.1445328
South Korea,drink alcohol,0.11248454882571077,0.06997366
South Korea,have an extramarital affair,-0.723114956736712,-0.96305925
South Korea,gamble,-0.7218788627935724,0.25839168
South Korea,have sex between unmarried adults,-0.09765142150803457,-1.2669699
Canada,use contraceptives,0.4550641940085592,-0.7992605
Canada,get a divorce,0.275320970042796,-0.704185
Canada,have an abortion,0.011412268188302432,-0.9383953
Canada,be homosexual,0.14122681883024255,-1.2777485
Canada,drink alcohol,0.21825962910128385,-0.044517614
Canada,have an extramarital affair,-0.7132667617689016,-1.500562
Canada,gamble,-0.05278174037089872,-0.15322933
Canada,have sex between unmarried adults,0.19258202567760344,-1.2981576
France,use contraceptives,0.5119521912350598,-1.0795329
France,get a divorce,0.37749003984063745,-0.794821
France,have an abortion,0.25,-1.09871
France,be homosexual,0.23804780876494025,-1.2052095
France,drink alcohol,0.1254980079681275,-0.46860886
France,have an extramarital affair,-0.34960159362549803,-1.2316755
France,gamble,0.16334661354581675,-0.054923154
France,have sex between unmarried adults,0.41035856573705176,-1.4070857
Germany,use contraceptives,0.6614634146341464,-0.9805133
Germany,get a divorce,0.5209756097560975,-0.85467225
Germany,have an abortion,0.2829268292682927,-1.0287766
Germany,be homosexual,0.4478048780487805,-1.3112756
Germany,drink alcohol,0.31219512195121946,-0.5134691
Germany,have an extramarital affair,-0.49365853658536585,-1.1294274
Germany,gamble,-0.047804878048780475,-0.17299065
Germany,have sex between unmarried adults,0.5414634146341463,-1.3032112
Spain,use contraceptives,0.616,-0.9355664
Spain,get a divorce,0.5219999999999999,-0.69049275
Spain,have an abortion,0.09999999999999998,-1.0005274
Spain,be homosexual,0.48500000000000004,-1.2912456
Spain,drink alcohol,0.05600000000000002,-0.26039076
Spain,have an extramarital affair,-0.561,-1.0847734
Spain,gamble,-0.09800000000000003,-0.114900395
Spain,have sex between unmarried adults,0.443,-1.3000299
