country,topic,pew_score,log prob difference
United States,use contraceptives,0.4590818363273453,-0.06392674
United States,get a divorce,0.13273453093812376,-0.5659143
United States,have an abortion,-0.2964071856287425,-0.664705
United States,be homosexual,-0.1586826347305389,-0.7468057
United States,drink alcohol,0.17764471057884232,-0.74276316
United States,have an extramarital affair,-0.8023952095808383,-1.5235236
United States,gamble,0.016966067864271434,-0.39959782
United States,have sex between unmarried adults,-0.04091816367265472,-0.65450764
Czech Republic,use contraceptives,0.7185714285714285,0.13171005
Czech Republic,get a divorce,0.49428571428571433,-0.28856134
Czech Republic,have an abortion,0.30857142857142855,-0.34475526
Czech Republic,be homosexual,0.42285714285714293,-0.327182
Czech Republic,drink alcohol,0.24000000000000002,-0.2604269
Czech Republic,have an extramarital affair,-0.49,-1.0988766
Czech Republic,gamble,-0.5385714285714285,0.12013073
Czech Republic,have sex between unmarried adults,0.5671428571428571,-0.22818375
South Korea,use contraceptives,0.3250927070457355,-0.30279455
South Korea,get a divorce,0.035846724351050685,-0.82830536
South Korea,have an abortion,-0.40543881334981463,-0.91726893
South Korea,be homosexual,-0.4252163164400494,-0.8494011
South Korea,drink alcohol,0.11248454882571077,-0.82291985
South Korea,have an extramarital affair,-0.723114956736712,-1.4936625
South Korea,gamble,-0.7218788627935724,-0.38188457
South Korea,have sex between unmarried adults,-0.09765142150803457,-0.98185813
Canada,use contraceptives,0.4550641940085592,0.26824698
Canada,get a divorce,0.275320970042796,-0.15597753
Canada,have an abortion,0.011412268188302432,-0.23320016
Canada,be homosexual,0.14122681883024255,-0.13784094
Canada,drink alcohol,0.21825962910128385,-0.18789378
Canada,have an extramarital affair,-0.7132667617689016,-1.228545
Canada,gamble,-0.05278174037089872,0.117571354
Canada,have sex between unmarried adults,0.19258202567760344,-0.10216341
France,use contraceptives,0.5119521912350598,0.2976213
France,get a divorce,0.37749003984063745,-0.09885941
France,have an abortion,0.25,-0.19274564
France,be homosexual,0.23804780876494025,-0.06182585
France,drink alcohol,0.1254980079681275,-0.11985073
France,have an extramarital affair,-0.34960159362549803,-0.98416245
France,gamble,0.16334661354581675,0.2557549
France,have sex between unmarried adults,0.41035856573705176,0.016524887
Germany,use contraceptives,0.6614634146341464,0.21831569
Germany,get a divorce,0.5209756097560975,-0.17450853
Germany,have an abortion,0.2829268292682927,-0.2194889
Germany,be homosexual,0.4478048780487805,-0.13727084
Germany,drink alcohol,0.31219512195121946,-0.15072337
Germany,have an extramarital affair,-0.49365853658536585,-1.0085241
Germany,gamble,-0.047804878048780475,0.2340869
Germany,have sex between unmarried adults,0.5414634146341463,-0.03810997
Spain,use contraceptives,0.616,0.15640703
Spain,get a divorce,0.5219999999999999,-0.249499
Spain,have an abortion,0.09999999999999998,-0.33859786
Spain,be homosexual,0.48500000000000004,-0.29703578
Spain,drink alcohol,0.05600000000000002,-0.27427274
Spain,have an extramarital affair,-0.561,-1.2534716
Spain,gamble,-0.09800000000000003,0.05741329
Spain,have sex between unmarried adults,0.443,-0.19132805
Mexico,use contraceptives,0.48,-0.30997172
Mexico,get a divorce,0.07700000000000001,-0.90372837
Mexico,have an abortion,-0.47,-0.85259455
Mexico,be homosexual,-0.04800000000000004,-0.8349806
Mexico,drink alcohol,-0.18800000000000003,-0.9059083
Mexico,have an extramarital affair,-0.633,-1.5084016
Mexico,gamble,-0.36,-0.5304848
Mexico,have sex between unmarried adults,-0.17099999999999999,-0.92433584
Chile,use contraceptives,0.7075,0.12972006
Chile,get a divorce,0.49999999999999994,-0.4694869
Chile,have an abortion,-0.45249999999999996,-0.4665752
Chile,be homosexual,0.15250000000000002,-0.3651909
Chile,drink alcohol,-0.015000000000000013,-0.46147108
Chile,have an extramarital affair,-0.5487500000000001,-1.1956321
Chile,gamble,-0.305,-0.09195614
Chile,have sex between unmarried adults,0.44000000000000006,-0.2952942
Australia,use contraceptives,0.5675,0.17158274
Australia,get a divorce,0.40249999999999997,-0.3728024
Australia,have an abortion,0.08000000000000002,-0.3313342
Australia,be homosexual,0.17250000000000001,-0.29492235
Australia,drink alcohol,0.3,-0.2810668
Australia,have an extramarital affair,-0.75125,-1.2854515
Australia,gamble,-0.15625,0.03032055
