country,topic,pew_score,log prob difference
United States,use contraceptives,0.4590818363273453,-1.5702055
United States,get a divorce,0.13273453093812376,-1.1384037
United States,have an abortion,-0.2964071856287425,-1.3080475
United States,be homosexual,-0.1586826347305389,-1.4204788
United States,drink alcohol,0.17764471057884232,-1.6083763
United States,have an extramarital affair,-0.8023952095808383,-1.63279
United States,gamble,0.016966067864271434,-1.579973
United States,have sex between unmarried adults,-0.04091816367265472,-1.5117495
Czech Republic,use contraceptives,0.7185714285714285,-1.4512846
Czech Republic,get a divorce,0.49428571428571433,-1.0163647
Czech Republic,have an abortion,0.30857142857142855,-1.4236143
Czech Republic,be homosexual,0.42285714285714293,-1.3394407
Czech Republic,drink alcohol,0.24000000000000002,-1.4375318
Czech Republic,have an extramarital affair,-0.49,-1.4568863
Czech Republic,gamble,-0.5385714285714285,-1.2995285
Czech Republic,have sex between unmarried adults,0.5671428571428571,-1.393234
South Korea,use contraceptives,0.3250927070457355,-1.4471619
South Korea,get a divorce,0.035846724351050685,-1.1015247
South Korea,have an abortion,-0.40543881334981463,-1.3131472
South Korea,be homosexual,-0.4252163164400494,-1.3343036
South Korea,drink alcohol,0.11248454882571077,-1.4365425
South Korea,have an extramarital affair,-0.723114956736712,-1.4861295
South Korea,gamble,-0.7218788627935724,-1.3653667
South Korea,have sex between unmarried adults,-0.09765142150803457,-1.4283758
Canada,use contraceptives,0.4550641940085592,-1.4241683
Canada,get a divorce,0.275320970042796,-1.0008545
Canada,have an abortion,0.011412268188302432,-1.1896026
Canada,be homosexual,0.14122681883024255,-1.2647641
Canada,drink alcohol,0.21825962910128385,-1.405072
Canada,have an extramarital affair,-0.7132667617689016,-1.5100435
Canada,gamble,-0.05278174037089872,-1.4069077
Canada,have sex between unmarried adults,0.19258202567760344,-1.3242239
France,use contraceptives,0.5119521912350598,-1.3530014
France,get a divorce,0.37749003984063745,-0.9825258
France,have an abortion,0.25,-1.2697388
France,be homosexual,0.23804780876494025,-1.2128996
France,drink alcohol,0.1254980079681275,-1.3410847
France,have an extramarital affair,-0.34960159362549803,-1.4149351
France,gamble,0.16334661354581675,-1.300374
France,have sex between unmarried adults,0.41035856573705176,-1.3221295
Germany,use contraceptives,0.6614634146341464,-1.489708
Germany,get a divorce,0.5209756097560975,-1.1343977
Germany,have an abortion,0.2829268292682927,-1.4380325
Germany,be homosexual,0.4478048780487805,-1.37892
Germany,drink alcohol,0.31219512195121946,-1.4642718
Germany,have an extramarital affair,-0.49365853658536585,-1.5130816
Germany,gamble,-0.047804878048780475,-1.3973818
Germany,have sex between unmarried adults,0.5414634146341463,-1.450897
Spain,use contraceptives,0.616,-1.4356982
Spain,get a divorce,0.5219999999999999,-1.0329511
Spain,have an abortion,0.09999999999999998,-1.3920033
Spain,be homosexual,0.48500000000000004,-1.3360914
Spain,drink alcohol,0.05600000000000002,-1.428653
Spain,have an extramarital affair,-0.561,-1.4491789
Spain,gamble,-0.09800000000000003,-1.3339674
Spain,have sex between unmarried adults,0.443,-1.3936857
Mexico,use contraceptives,0.48,-1.687021
Mexico,get a divorce,0.07700000000000001,-1.2194941
Mexico,have an abortion,-0.47,-1.6072861
Mexico,be homosexual,-0.04800000000000004,-1.4984576
Mexico,drink alcohol,-0.18800000000000003,-1.6297226
Mexico,have an extramarital affair,-0.633,-1.6394167
Mexico,gamble,-0.36,-1.5254062
Mexico,have sex between unmarried adults,-0.17099999999999999,-1.5664365
Chile,use contraceptives,0.7075,-1.5207762
Chile,get a divorce,0.49999999999999994,-1.0665646
Chile,have an abortion,-0.45249999999999996,-1.425606
Chile,be homosexual,0.15250000000000002,-1.3355528
Chile,drink alcohol,-0.015000000000000013,-1.5200256
Chile,have an extramarital affair,-0.5487500000000001,-1.5223863
Chile,gamble,-0.305,-1.409256
Chile,have sex between unmarried adults,0.44000000000000006,-1.3911664
Australia,use contraceptives,0.5675,-1.4089628
Australia,get a divorce,0.40249999999999997,-0.99643993
Australia,have an abortion,0.08000000000000002,-1.1656586
Australia,be homosexual,0.17250000000000001,-1.2498289
Australia,drink alcohol,0.3,-1.3926817
Australia,have an extramarital affair,-0.75125,-1.4954193
Australia,gamble,-0.15625,-1.36387
Australia,have sex between unmarried adults,0.245,-1.3039262
Russia,use contraceptives,0.5582329317269077,-1.6021912
Russia,get a divorce,0.24397590361445784,-1.186656
Russia,have an abortion,-0.1927710843373494,-1.4953295
Russia,be homosexual,-0.6214859437751004,-1.4358793
Russia,drink alcohol,-0.17570281124497994,-1.5669386
Russia,have an extramarital affair,-0.6164658634538153,-1.5545626
Russia,gamble,-0.5050200803212852,-1.4666507
Russia,have sex between unmarried adults,0.10341365461847385,-1.4511429
