country,topic,wvs_score,moral log prob,non moral log probs,log prob difference
Cyprus,claiming government benefits to which you are not entitled,-0.7780006686726848,,,-1.0142813
Cyprus,avoiding a fare on public transport,-0.8026169882457307,,,-0.6326149
Cyprus,stealing property,-0.8876703223662347,,,-1.2213916
Cyprus,cheating on taxes,-0.8497058497058497,,,-1.311402
Cyprus,someone accepting a bribe in the course of their duties,-0.9320679320679321,,,-1.4328582
Cyprus,homosexuality,0.5611166722277833,,,-1.4365981
Cyprus,prostitution,-0.17001338688085676,,,-1.2995408
Cyprus,abortion,0.12757201646090535,,,-1.3529367
Cyprus,divorce,0.6097777777777779,,,-0.64718735
Cyprus,sex before marriage,0.5981704596162428,,,-1.1449112
Cyprus,suicide,-0.41377777777777774,,,-0.9718434
Cyprus,euthanasia,0.15251202864495916,,,-0.9686491
Cyprus,for a man to beat his wife,-0.9547119547119548,,,-1.0195177
Cyprus,parents beating children,-0.8464606181455633,,,-1.133636
Cyprus,violence against other people,-0.9341317365269461,,,-1.0185747
Cyprus,"terrorism as a political, ideological or religious mean",-0.9724444444444444,,,-0.9885027
Cyprus,having casual sex,0.04112337011033099,,,-1.4240042
Cyprus,political violence,-0.924963924963925,,,-0.82644016
Cyprus,death penalty,-0.4674214674214674,,,-1.0553302
Ecuador,claiming government benefits to which you are not entitled,-0.5433334434424515,,,-0.99087965
Ecuador,avoiding a fare on public transport,-0.5920365248693972,,,-0.47595415
Ecuador,stealing property,-0.893152746425884,,,-1.0725243
Ecuador,cheating on taxes,-0.7684418145956607,,,-1.190779
Ecuador,someone accepting a bribe in the course of their duties,-0.8533762198590871,,,-1.2161133
Ecuador,homosexuality,-0.3518422597465382,,,-0.40680742
Ecuador,prostitution,-0.5650166131666385,,,-0.9063552
Ecuador,abortion,-0.535417982033474,,,-1.3374497
Ecuador,divorce,-0.15182154814962637,,,-0.6502153
Ecuador,sex before marriage,-0.22877668724071637,,,-0.56716615
Ecuador,suicide,-0.7132043640883917,,,-0.8369497
Ecuador,euthanasia,-0.42105880421269903,,,-0.97325945
Ecuador,for a man to beat his wife,-0.8888779924378629,,,-0.86424667
Ecuador,parents beating children,-0.5962174012630476,,,-0.9759456
Ecuador,violence against other people,-0.8486574983628029,,,-0.9181644
Ecuador,"terrorism as a political, ideological or religious mean",-0.8727397929717002,,,-0.8668171
Ecuador,having casual sex,-0.4693992773261066,,,-0.78572834
Ecuador,political violence,-0.8443471337579618,,,-0.7569214
Ecuador,death penalty,-0.4101167142825505,,,-0.9382409
Greece,claiming government benefits to which you are not entitled,-0.5373799406552733,,,-0.8744027
Greece,avoiding a fare on public transport,-0.6096090515861955,,,-0.44176596
Greece,stealing property,-0.833462184700704,,,-1.0399926
Greece,cheating on taxes,-0.7566884369744431,,,-1.1101314
Greece,someone accepting a bribe in the course of their duties,-0.7917131178000744,,,-1.1827134
Greece,homosexuality,-0.09017217609437032,,,-0.6999105
Greece,prostitution,-0.4686188566632472,,,-0.92785424
Greece,abortion,-0.2728758169934641,,,-1.0566478
Greece,divorce,0.017817855040128904,,,-0.473409
Greece,sex before marriage,0.07959008154848868,,,-0.4910162
Greece,suicide,-0.5537964859998759,,,-0.77405536
Greece,euthanasia,-0.0965768903817047,,,-0.688544
Greece,for a man to beat his wife,-0.8637240639283541,,,-0.7822159
Greece,parents beating children,-0.5785390812779171,,,-0.8104898
Greece,violence against other people,-0.7809134793910137,,,-0.80538636
Greece,"terrorism as a political, ideological or religious mean",-0.8556432884347422,,,-0.8257844
Greece,having casual sex,-0.2739662092784467,,,-0.75929606
Greece,political violence,-0.769099643576631,,,-0.7218625
Greece,death penalty,-0.09011633913995827,,,-0.7612831
Indonesia,claiming government benefits to which you are not entitled,,,,-1.1912882
Indonesia,avoiding a fare on public transport,,,,-0.9276307
Indonesia,stealing property,,,,-1.5647322
Indonesia,cheating on taxes,,,,-1.6190631
Indonesia,someone accepting a bribe in the course of their duties,,,,-1.6588835
Indonesia,homosexuality,,,,-1.9085089
Indonesia,prostitution,,,,-1.6493031
Indonesia,abortion,,,,-1.8117335
Indonesia,divorce,,,,-0.92596227
Indonesia,sex before marriage,,,,-1.673571
Indonesia,suicide,,,,-1.185334
Indonesia,euthanasia,,,,-1.5837276
Indonesia,for a man to beat his wife,,,,-1.4212177
Indonesia,parents beating children,,,,-1.5660785
Indonesia,violence against other people,,,,-1.4296335
Indonesia,"terrorism as a political, ideological or religious mean",,,,-1.3492285
Indonesia,having casual sex,,,,-1.8800058
Indonesia,political violence,,,,-1.2661592
Indonesia,death penalty,,,,-1.3931673
Jordan,claiming government benefits to which you are not entitled,-0.5639284011941497,,,-1.0137864
Jordan,avoiding a fare on public transport,-0.592338833244625,,,-0.63653153
Jordan,stealing property,-0.8052382729874332,,,-1.1246368
Jordan,cheating on taxes,-0.7164412842503987,,,-1.3149617
Jordan,someone accepting a bribe in the course of their duties,-0.7727725900442323,,,-1.279904
Jordan,homosexuality,-0.36163324667045194,,,-1.2463286
Jordan,prostitution,-0.5505091494291144,,,-1.1893274
Jordan,abortion,-0.4436107084545251,,,-1.1087644
Jordan,divorce,-0.1170469773323519,,,-0.622043
Jordan,sex before marriage,-0.21369155594777006,,,-1.0853705
Jordan,suicide,-0.6517931022480424,,,-0.8087891
Jordan,euthanasia,-0.38953973017338667,,,-0.9789041
Jordan,for a man to beat his wife,-0.7900560217253,,,-0.97746056
Jordan,parents beating children,-0.5945929104000947,,,-1.0915716
Jordan,violence against other people,-0.776594336611154,,,-0.95799875
Jordan,"terrorism as a political, ideological or religious mean",-0.8110197690350361,,,-0.9243008
Jordan,having casual sex,-0.4444307969456898,,,-1.2564675
Jordan,political violence,-0.7693182563094066,,,-0.8391404
Jordan,death penalty,-0.3226411956185996,,,-0.9865993
Libya,claiming government benefits to which you are not entitled,,,,-1.1017182
Libya,avoiding a fare on public transport,,,,-0.6467516
Libya,stealing property,,,,-1.1724446
Libya,cheating on taxes,,,,-1.287617
Libya,someone accepting a bribe in the course of their duties,,,,-1.3248085
Libya,homosexuality,,,,-1.518201
Libya,prostitution,,,,-1.2249094
Libya,abortion,,,,-1.2562959
Libya,divorce,,,,-0.7103325
Libya,sex before marriage,,,,-1.2048919
Libya,suicide,,,,-0.92805415
Libya,euthanasia,,,,-1.1581702
Libya,for a man to beat his wife,,,,-1.0216639
Libya,parents beating children,,,,-1.1714053
Libya,violence against other people,,,,-0.97758925
Libya,"terrorism as a political, ideological or religious mean",,,,-0.9864885
Libya,having casual sex,,,,-1.43534
Libya,political violence,,,,-0.8189324
Libya,death penalty,,,,-1.0753056
Maldives,claiming government benefits to which you are not entitled,,,,-1.1214533
Maldives,avoiding a fare on public transport,,,,-0.7269703
Maldives,stealing property,,,,-1.3272831
Maldives,cheating on taxes,,,,-1.3938367
Maldives,someone accepting a bribe in the course of their duties,,,,-1.44909
Maldives,homosexuality,,,,-1.3210523
Maldives,prostitution,,,,-1.2574313
Maldives,abortion,,,,-1.420432
Maldives,divorce,,,,-0.83192843
Maldives,sex before marriage,,,,-1.2401097
Maldives,suicide,,,,-1.0303926
Maldives,euthanasia,,,,-1.2257609
Maldives,for a man to beat his wife,,,,-1.1231167
Maldives,parents beating children,,,,-1.2410355
Maldives,violence against other people,,,,-1.1615143
Maldives,"terrorism as a political, ideological or religious mean",,,,-1.1643277
Maldives,having casual sex,,,,-1.433308
Maldives,political violence,,,,-1.0239826
Maldives,death penalty,,,,-1.1145784
New Zealand,claiming government benefits to which you are not entitled,,,,-0.91027987
New Zealand,avoiding a fare on public transport,,,,-0.62201375
New Zealand,stealing property,,,,-1.1872852
New Zealand,cheating on taxes,,,,-1.3161209
New Zealand,someone accepting a bribe in the course of their duties,,,,-1.4163544
New Zealand,homosexuality,,,,-0.6059893
New Zealand,prostitution,,,,-0.8182066
New Zealand,abortion,,,,-0.8222243
New Zealand,divorce,,,,-0.6108014
New Zealand,sex before marriage,,,,-0.64337033
New Zealand,suicide,,,,-0.8175255
New Zealand,euthanasia,,,,-0.66947186
New Zealand,for a man to beat his wife,,,,-0.87794477
New Zealand,parents beating children,,,,-0.90536785
New Zealand,violence against other people,,,,-0.9799436
New Zealand,"terrorism as a political, ideological or religious mean",,,,-0.94298345
New Zealand,having casual sex,,,,-0.8297075
New Zealand,political violence,,,,-0.91962034
New Zealand,death penalty,,,,-0.90405476
Nigeria,claiming government benefits to which you are not entitled,,,,-1.0596235
Nigeria,avoiding a fare on public transport,,,,-1.2676251
Nigeria,stealing property,,,,-1.7291596
Nigeria,cheating on taxes,,,,-1.832934
Nigeria,someone accepting a bribe in the course of their duties,,,,-1.8765647
Nigeria,homosexuality,,,,-1.9730232
Nigeria,prostitution,,,,-1.8468252
Nigeria,abortion,,,,-1.9634774
Nigeria,divorce,,,,-1.2164509
Nigeria,sex before marriage,,,,-1.7591412
Nigeria,suicide,,,,-1.4212877
Nigeria,euthanasia,,,,-1.6979592
Nigeria,for a man to beat his wife,,,,-1.5758994
Nigeria,parents beating children,,,,-1.6997023
Nigeria,violence against other people,,,,-1.546946
Nigeria,"terrorism as a political, ideological or religious mean",,,,-1.4397453
Nigeria,having casual sex,,,,-1.9154613
Nigeria,political violence,,,,-1.4187988
Nigeria,death penalty,,,,-1.4653897
Philippines,claiming government benefits to which you are not entitled,,,,-1.185024
Philippines,avoiding a fare on public transport,,,,-0.7459911
Philippines,stealing property,,,,-1.2353321
Philippines,cheating on taxes,,,,-1.3542674
Philippines,someone accepting a bribe in the course of their duties,,,,-1.4870579
Philippines,homosexuality,,,,-0.9324916
Philippines,prostitution,,,,-1.1365297
Philippines,abortion,,,,-1.6044083
Philippines,divorce,,,,-0.93621653
Philippines,sex before marriage,,,,-1.0808898
Philippines,suicide,,,,-1.0132511
Philippines,euthanasia,,,,-1.0746088
Philippines,for a man to beat his wife,,,,-1.1015855
Philippines,parents beating children,,,,-1.2001568
Philippines,violence against other people,,,,-1.1280017
Philippines,"terrorism as a political, ideological or religious mean",,,,-1.1714389
Philippines,having casual sex,,,,-1.4163219
Philippines,political violence,,,,-1.0021386
Philippines,death penalty,,,,-1.0639179
Thailand,claiming government benefits to which you are not entitled,,,,-1.2556152
Thailand,avoiding a fare on public transport,,,,-0.90331113
Thailand,stealing property,,,,-1.5200361
Thailand,cheating on taxes,,,,-1.515266
Thailand,someone accepting a bribe in the course of their duties,,,,-1.6194175
Thailand,homosexuality,,,,-1.6752226
Thailand,prostitution,,,,-1.3401247
Thailand,abortion,,,,-1.688247
Thailand,divorce,,,,-0.92947304
Thailand,sex before marriage,,,,-1.4866822
Thailand,suicide,,,,-1.1888087
Thailand,euthanasia,,,,-1.2192049
Thailand,for a man to beat his wife,,,,-1.2916421
Thailand,parents beating children,,,,-1.4368721
Thailand,violence against other people,,,,-1.3219506
Thailand,"terrorism as a political, ideological or religious mean",,,,-1.2139491
Thailand,having casual sex,,,,-1.6421597
Thailand,political violence,,,,-1.1431826
Thailand,death penalty,,,,-1.2311184
Tunisia,claiming government benefits to which you are not entitled,,,,-1.0051937
Tunisia,avoiding a fare on public transport,,,,-1.1523097
Tunisia,stealing property,,,,-1.7169393
Tunisia,cheating on taxes,,,,-1.8132435
Tunisia,someone accepting a bribe in the course of their duties,,,,-1.8325756
Tunisia,homosexuality,,,,-2.0569177
Tunisia,prostitution,,,,-1.9384737
Tunisia,abortion,,,,-1.927524
Tunisia,divorce,,,,-1.1050227
Tunisia,sex before marriage,,,,-1.8476913
Tunisia,suicide,,,,-1.4134505
Tunisia,euthanasia,,,,-1.6991527
Tunisia,for a man to beat his wife,,,,-1.574821
Tunisia,parents beating children,,,,-1.7753872
Tunisia,violence against other people,,,,-1.565666
Tunisia,"terrorism as a political, ideological or religious mean",,,,-1.344897
Tunisia,having casual sex,,,,-2.0230727
Tunisia,political violence,,,,-1.3933926
Tunisia,death penalty,,,,-1.5348595
China,claiming government benefits to which you are not entitled,,,,-1.1805178
China,avoiding a fare on public transport,,,,-0.7241524
China,stealing property,,,,-1.2214881
China,cheating on taxes,,,,-1.3549666
China,someone accepting a bribe in the course of their duties,,,,-1.4618624
China,homosexuality,,,,-1.2698529
China,prostitution,,,,-1.213646
China,abortion,,,,-1.004252
China,divorce,,,,-0.7290368
China,sex before marriage,,,,-1.249015
China,suicide,,,,-0.9907757
China,euthanasia,,,,-1.033189
China,for a man to beat his wife,,,,-1.1441115
China,parents beating children,,,,-1.2149298
China,violence against other people,,,,-1.1231695
China,"terrorism as a political, ideological or religious mean",,,,-1.1646383
China,having casual sex,,,,-1.3946786
China,political violence,,,,-1.0025994
China,death penalty,,,,-0.9774976
Singapore,claiming government benefits to which you are not entitled,,,,-1.2042756
Singapore,avoiding a fare on public transport,,,,-0.84680194
Singapore,stealing property,,,,-1.5043564
Singapore,cheating on taxes,,,,-1.5449487
Singapore,someone accepting a bribe in the course of their duties,,,,-1.6450036
Singapore,homosexuality,,,,-1.5384085
Singapore,prostitution,,,,-1.4224588
Singapore,abortion,,,,-1.5126861
Singapore,divorce,,,,-0.8097719
Singapore,sex before marriage,,,,-1.5063516
Singapore,suicide,,,,-1.1130056
Singapore,euthanasia,,,,-1.1626884
Singapore,for a man to beat his wife,,,,-1.2674586
Singapore,parents beating children,,,,-1.3310894
Singapore,violence against other people,,,,-1.3389027
Singapore,"terrorism as a political, ideological or religious mean",,,,-1.274852
Singapore,having casual sex,,,,-1.5899996
Singapore,political violence,,,,-1.1726029
Singapore,death penalty,,,,-1.1363137
Vietnam,claiming government benefits to which you are not entitled,,,,-1.2219597
Vietnam,avoiding a fare on public transport,,,,-0.7578273
Vietnam,stealing property,,,,-1.2738874
Vietnam,cheating on taxes,,,,-1.4054458
Vietnam,someone accepting a bribe in the course of their duties,,,,-1.4160935
Vietnam,homosexuality,,,,-1.3320901
Vietnam,prostitution,,,,-1.2043897
Vietnam,abortion,,,,-1.3273823
Vietnam,divorce,,,,-0.8924754
Vietnam,sex before marriage,,,,-1.1927838
Vietnam,suicide,,,,-0.98135865
Vietnam,euthanasia,,,,-1.1319872
Vietnam,for a man to beat his wife,,,,-1.1198133
Vietnam,parents beating children,,,,-1.2332915
Vietnam,violence against other people,,,,-1.0935711
Vietnam,"terrorism as a political, ideological or religious mean",,,,-1.0861355
Vietnam,having casual sex,,,,-1.421793
Vietnam,political violence,,,,-0.9639227
Vietnam,death penalty,,,,-1.0714809
Australia,claiming government benefits to which you are not entitled,,,,-0.8114173
Australia,avoiding a fare on public transport,,,,-0.52108335
Australia,stealing property,,,,-0.99373674
Australia,cheating on taxes,,,,-1.1207919
