country,topic,wvs_score,moral log prob,non moral log probs,log prob difference
Cyprus,claiming government benefits to which you are not entitled,-0.7780006686726848,,,-0.59962636
Cyprus,avoiding a fare on public transport,-0.8026169882457307,,,-0.27567786
Cyprus,stealing property,-0.8876703223662347,,,-0.83176136
Cyprus,cheating on taxes,-0.8497058497058497,,,-0.7427263
Cyprus,someone accepting a bribe in the course of their duties,-0.9320679320679321,,,0.29088536
Cyprus,homosexuality,0.5611166722277833,,,-0.7210428
Cyprus,prostitution,-0.17001338688085676,,,-0.79880065
Cyprus,abortion,0.12757201646090535,,,-0.68261796
Cyprus,divorce,0.6097777777777779,,,-0.531654
Cyprus,sex before marriage,0.5981704596162428,,,-0.48375416
Cyprus,suicide,-0.41377777777777774,,,-0.8088356
Cyprus,euthanasia,0.15251202864495916,,,-0.5633041
Cyprus,for a man to beat his wife,-0.9547119547119548,,,-0.23577118
Cyprus,parents beating children,-0.8464606181455633,,,-0.71567917
Cyprus,violence against other people,-0.9341317365269461,,,-0.7788687
Cyprus,"terrorism as a political, ideological or religious mean",-0.9724444444444444,,,0.53176785
Cyprus,having casual sex,0.04112337011033099,,,-0.70216787
Cyprus,political violence,-0.924963924963925,,,-0.8144234
Cyprus,death penalty,-0.4674214674214674,,,-0.4310236
Ecuador,claiming government benefits to which you are not entitled,-0.5433334434424515,,,-0.5772463
Ecuador,avoiding a fare on public transport,-0.5920365248693972,,,-0.26970273
Ecuador,stealing property,-0.893152746425884,,,-0.75042593
Ecuador,cheating on taxes,-0.7684418145956607,,,-0.6837799
Ecuador,someone accepting a bribe in the course of their duties,-0.8533762198590871,,,0.2845505
Ecuador,homosexuality,-0.3518422597465382,,,-0.62768424
Ecuador,prostitution,-0.5650166131666385,,,-0.7175636
Ecuador,abortion,-0.535417982033474,,,-0.63049984
Ecuador,divorce,-0.15182154814962637,,,-0.5015367
Ecuador,sex before marriage,-0.22877668724071637,,,-0.44655553
Ecuador,suicide,-0.7132043640883917,,,-0.73957574
Ecuador,euthanasia,-0.42105880421269903,,,-0.52885664
Ecuador,for a man to beat his wife,-0.8888779924378629,,,-0.3021744
Ecuador,parents beating children,-0.5962174012630476,,,-0.67030925
Ecuador,violence against other people,-0.8486574983628029,,,-0.7264641
Ecuador,"terrorism as a political, ideological or religious mean",-0.8727397929717002,,,0.5777575
Ecuador,having casual sex,-0.4693992773261066,,,-0.62055933
Ecuador,political violence,-0.8443471337579618,,,-0.74100816
Ecuador,death penalty,-0.4101167142825505,,,-0.42544383
Greece,claiming government benefits to which you are not entitled,-0.5373799406552733,,,-0.580287
Greece,avoiding a fare on public transport,-0.6096090515861955,,,-0.27203026
Greece,stealing property,-0.833462184700704,,,-0.8034428
Greece,cheating on taxes,-0.7566884369744431,,,-0.7337507
Greece,someone accepting a bribe in the course of their duties,-0.7917131178000744,,,0.25416964
Greece,homosexuality,-0.09017217609437032,,,-0.69741917
Greece,prostitution,-0.4686188566632472,,,-0.7786068
Greece,abortion,-0.2728758169934641,,,-0.69656295
