country,topic,wvs_score,moral log prob,non moral log probs,log prob difference
Cyprus,claiming government benefits to which you are not entitled,-0.7780006686726848,,,-1.0615703
Cyprus,avoiding a fare on public transport,-0.8026169882457307,,,-0.84102356
Cyprus,stealing property,-0.8876703223662347,,,-1.3864973
Cyprus,cheating on taxes,-0.8497058497058497,,,-1.376311
Cyprus,someone accepting a bribe in the course of their duties,-0.9320679320679321,,,-1.7263277
Cyprus,homosexuality,0.5611166722277833,,,-1.7114327
Cyprus,prostitution,-0.17001338688085676,,,-1.5609119
Cyprus,abortion,0.12757201646090535,,,-1.5552248
Cyprus,divorce,0.6097777777777779,,,-0.47539553
Cyprus,sex before marriage,0.5981704596162428,,,-1.5021127
Cyprus,suicide,-0.41377777777777774,,,-1.2108533
Cyprus,euthanasia,0.15251202864495916,,,-1.2283068
Cyprus,for a man to beat his wife,-0.9547119547119548,,,-1.2064433
Cyprus,parents beating children,-0.8464606181455633,,,-1.2778728
Cyprus,violence against other people,-0.9341317365269461,,,-1.2262514
Cyprus,"terrorism as a political, ideological or religious mean",-0.9724444444444444,,,-1.4736197
Cyprus,having casual sex,0.04112337011033099,,,-1.5719769
Cyprus,political violence,-0.924963924963925,,,-0.7335447
Cyprus,death penalty,-0.4674214674214674,,,-1.3032835
Ecuador,claiming government benefits to which you are not entitled,-0.5433334434424515,,,-0.99416494
Ecuador,avoiding a fare on public transport,-0.5920365248693972,,,-0.76638204
Ecuador,stealing property,-0.893152746425884,,,-1.2347987
Ecuador,cheating on taxes,-0.7684418145956607,,,-1.2979226
Ecuador,someone accepting a bribe in the course of their duties,-0.8533762198590871,,,-1.6652005
Ecuador,homosexuality,-0.3518422597465382,,,-0.96918803
Ecuador,prostitution,-0.5650166131666385,,,-1.253946
Ecuador,abortion,-0.535417982033474,,,-1.5538256
Ecuador,divorce,-0.15182154814962637,,,-0.78799355
Ecuador,sex before marriage,-0.22877668724071637,,,-0.91828287
Ecuador,suicide,-0.7132043640883917,,,-1.0998875
Ecuador,euthanasia,-0.42105880421269903,,,-1.1179798
Ecuador,for a man to beat his wife,-0.8888779924378629,,,-0.9584025
Ecuador,parents beating children,-0.5962174012630476,,,-1.1812794
Ecuador,violence against other people,-0.8486574983628029,,,-1.193496
Ecuador,"terrorism as a political, ideological or religious mean",-0.8727397929717002,,,-1.258961
Ecuador,having casual sex,-0.4693992773261066,,,-1.1206397
Ecuador,political violence,-0.8443471337579618,,,-0.9377783
Ecuador,death penalty,-0.4101167142825505,,,-1.3153238
Greece,claiming government benefits to which you are not entitled,-0.5373799406552733,,,-0.75391924
Greece,avoiding a fare on public transport,-0.6096090515861955,,,-0.58616084
Greece,stealing property,-0.833462184700704,,,-1.2259171
Greece,cheating on taxes,-0.7566884369744431,,,-1.189886
Greece,someone accepting a bribe in the course of their duties,-0.7917131178000744,,,-1.3560113
Greece,homosexuality,-0.09017217609437032,,,-0.8695696
Greece,prostitution,-0.4686188566632472,,,-1.1798427
Greece,abortion,-0.2728758169934641,,,-1.1242917
Greece,divorce,0.017817855040128904,,,-0.384293
Greece,sex before marriage,0.07959008154848868,,,-0.36257687
Greece,suicide,-0.5537964859998759,,,-0.8715417
Greece,euthanasia,-0.0965768903817047,,,-0.85978156
Greece,for a man to beat his wife,-0.8637240639283541,,,-0.85423213
Greece,parents beating children,-0.5785390812779171,,,-0.8653616
Greece,violence against other people,-0.7809134793910137,,,-0.9249247
Greece,"terrorism as a political, ideological or religious mean",-0.8556432884347422,,,-1.1751215
Greece,having casual sex,-0.2739662092784467,,,-0.7917224
Greece,political violence,-0.769099643576631,,,-0.73764694
Greece,death penalty,-0.09011633913995827,,,-0.893044
Indonesia,claiming government benefits to which you are not entitled,,,,-0.9671806
Indonesia,avoiding a fare on public transport,,,,-1.5202188
Indonesia,stealing property,,,,-2.130544
Indonesia,cheating on taxes,,,,-1.9884437
Indonesia,someone accepting a bribe in the course of their duties,,,,-2.0967689
Indonesia,homosexuality,,,,-2.3721795
Indonesia,prostitution,,,,-2.2402284
Indonesia,abortion,,,,-2.3952425
Indonesia,divorce,,,,-1.058385
Indonesia,sex before marriage,,,,-2.2838173
Indonesia,suicide,,,,-1.7874149
Indonesia,euthanasia,,,,-2.1000667
Indonesia,for a man to beat his wife,,,,-1.8331535
Indonesia,parents beating children,,,,-1.9177758
Indonesia,violence against other people,,,,-1.7088377
Indonesia,"terrorism as a political, ideological or religious mean",,,,-1.9547333
Indonesia,having casual sex,,,,-2.1625156
Indonesia,political violence,,,,-1.3103055
Indonesia,death penalty,,,,-1.7400061
Jordan,claiming government benefits to which you are not entitled,-0.5639284011941497,,,-0.30730456
Jordan,avoiding a fare on public transport,-0.592338833244625,,,-0.47875795
Jordan,stealing property,-0.8052382729874332,,,-1.792799
Jordan,cheating on taxes,-0.7164412842503987,,,-2.1038656
Jordan,someone accepting a bribe in the course of their duties,-0.7727725900442323,,,-1.8540016
Jordan,homosexuality,-0.36163324667045194,,,-2.2870812
Jordan,prostitution,-0.5505091494291144,,,-2.3129933
Jordan,abortion,-0.4436107084545251,,,-1.1077324
Jordan,divorce,-0.1170469773323519,,,-0.024115229
Jordan,sex before marriage,-0.21369155594777006,,,-1.847842
Jordan,suicide,-0.6517931022480424,,,-1.3460188
Jordan,euthanasia,-0.38953973017338667,,,-1.0281537
Jordan,for a man to beat his wife,-0.7900560217253,,,-1.2260687
Jordan,parents beating children,-0.5945929104000947,,,-1.5942281
Jordan,violence against other people,-0.776594336611154,,,-1.2817703
Jordan,"terrorism as a political, ideological or religious mean",-0.8110197690350361,,,-1.4380833
Jordan,having casual sex,-0.4444307969456898,,,-2.1530042
Jordan,political violence,-0.7693182563094066,,,-1.1719431
Jordan,death penalty,-0.3226411956185996,,,-1.2270136
Libya,claiming government benefits to which you are not entitled,,,,-0.981846
Libya,avoiding a fare on public transport,,,,-0.9548969
Libya,stealing property,,,,-1.5207841
Libya,cheating on taxes,,,,-1.6569536
Libya,someone accepting a bribe in the course of their duties,,,,-1.8740914
Libya,homosexuality,,,,-2.158169
Libya,prostitution,,,,-1.69678
Libya,abortion,,,,-1.5216669
Libya,divorce,,,,-0.74487746
Libya,sex before marriage,,,,-1.955898
Libya,suicide,,,,-1.3645853
Libya,euthanasia,,,,-1.4599234
Libya,for a man to beat his wife,,,,-1.4346262
Libya,parents beating children,,,,-1.586655
Libya,violence against other people,,,,-1.3908167
Libya,"terrorism as a political, ideological or religious mean",,,,-1.4832582
Libya,having casual sex,,,,-1.8910967
Libya,political violence,,,,-0.9574704
Libya,death penalty,,,,-1.4287355
Maldives,claiming government benefits to which you are not entitled,,,,-1.1221579
Maldives,avoiding a fare on public transport,,,,-1.094366
Maldives,stealing property,,,,-1.6162087
Maldives,cheating on taxes,,,,-1.5987669
Maldives,someone accepting a bribe in the course of their duties,,,,-1.9381001
Maldives,homosexuality,,,,-2.0270705
Maldives,prostitution,,,,-1.6881107
Maldives,abortion,,,,-1.7845118
Maldives,divorce,,,,-0.9853345
Maldives,sex before marriage,,,,-1.8718656
Maldives,suicide,,,,-1.421251
Maldives,euthanasia,,,,-1.6351731
Maldives,for a man to beat his wife,,,,-1.4318883
Maldives,parents beating children,,,,-1.5401485
Maldives,violence against other people,,,,-1.5966282
Maldives,"terrorism as a political, ideological or religious mean",,,,-1.8648813
Maldives,having casual sex,,,,-1.752655
Maldives,political violence,,,,-1.2936238
Maldives,death penalty,,,,-1.5871933
New Zealand,claiming government benefits to which you are not entitled,,,,-0.82429135
New Zealand,avoiding a fare on public transport,,,,-0.53979254
New Zealand,stealing property,,,,-1.1859524
New Zealand,cheating on taxes,,,,-1.358274
New Zealand,someone accepting a bribe in the course of their duties,,,,-1.6545875
New Zealand,homosexuality,,,,-0.7103513
New Zealand,prostitution,,,,-1.0293493
New Zealand,abortion,,,,-1.2198865
New Zealand,divorce,,,,-0.5155781
New Zealand,sex before marriage,,,,-0.79435694
New Zealand,suicide,,,,-0.75182027
New Zealand,euthanasia,,,,-0.824568
New Zealand,for a man to beat his wife,,,,-0.9257599
New Zealand,parents beating children,,,,-0.8761468
New Zealand,violence against other people,,,,-1.0813634
New Zealand,"terrorism as a political, ideological or religious mean",,,,-1.2564532
New Zealand,having casual sex,,,,-1.1626256
New Zealand,political violence,,,,-0.9579461
New Zealand,death penalty,,,,-1.0839005
Nigeria,claiming government benefits to which you are not entitled,,,,-1.3871725
Nigeria,avoiding a fare on public transport,,,,-1.2222917
Nigeria,stealing property,,,,-1.2459605
Nigeria,cheating on taxes,,,,-1.3182019
Nigeria,someone accepting a bribe in the course of their duties,,,,-1.7172501
Nigeria,homosexuality,,,,-1.6860592
Nigeria,prostitution,,,,-1.4296901
Nigeria,abortion,,,,-1.3798634
Nigeria,divorce,,,,-1.2820166
Nigeria,sex before marriage,,,,-1.5255339
Nigeria,suicide,,,,-1.1418997
Nigeria,euthanasia,,,,-1.4177234
Nigeria,for a man to beat his wife,,,,-1.3157997
Nigeria,parents beating children,,,,-1.2621675
Nigeria,violence against other people,,,,-1.0904686
Nigeria,"terrorism as a political, ideological or religious mean",,,,-1.5266054
Nigeria,having casual sex,,,,-1.5388495
Nigeria,political violence,,,,-0.80907834
Nigeria,death penalty,,,,-1.32591
Philippines,claiming government benefits to which you are not entitled,,,,-1.0734782
Philippines,avoiding a fare on public transport,,,,-0.81526375
Philippines,stealing property,,,,-1.2301704
Philippines,cheating on taxes,,,,-1.2512031
Philippines,someone accepting a bribe in the course of their duties,,,,-1.621385
Philippines,homosexuality,,,,-1.1642268
Philippines,prostitution,,,,-1.1546314
Philippines,abortion,,,,-1.553855
Philippines,divorce,,,,-1.0397761
Philippines,sex before marriage,,,,-1.2411051
Philippines,suicide,,,,-1.1198008
Philippines,euthanasia,,,,-1.1982666
Philippines,for a man to beat his wife,,,,-1.1481115
Philippines,parents beating children,,,,-1.1811856
Philippines,violence against other people,,,,-1.2217188
Philippines,"terrorism as a political, ideological or religious mean",,,,-1.530728
Philippines,having casual sex,,,,-1.4091864
Philippines,political violence,,,,-0.99679613
Philippines,death penalty,,,,-1.24175
Thailand,claiming government benefits to which you are not entitled,,,,-1.2542589
Thailand,avoiding a fare on public transport,,,,-1.1708261
Thailand,stealing property,,,,-1.6676018
Thailand,cheating on taxes,,,,-1.6399078
Thailand,someone accepting a bribe in the course of their duties,,,,-2.0060072
Thailand,homosexuality,,,,-1.9257463
Thailand,prostitution,,,,-1.5695584
Thailand,abortion,,,,-1.993784
Thailand,divorce,,,,-1.2661027
Thailand,sex before marriage,,,,-1.698827
Thailand,suicide,,,,-1.467667
Thailand,euthanasia,,,,-1.5110228
Thailand,for a man to beat his wife,,,,-1.510051
Thailand,parents beating children,,,,-1.6165062
Thailand,violence against other people,,,,-1.5757297
Thailand,"terrorism as a political, ideological or religious mean",,,,-1.8046122
Thailand,having casual sex,,,,-1.7302864
Thailand,political violence,,,,-1.2819091
Thailand,death penalty,,,,-1.5818373
Tunisia,claiming government benefits to which you are not entitled,,,,-0.8048817
Tunisia,avoiding a fare on public transport,,,,-1.2138069
Tunisia,stealing property,,,,-1.5200697
Tunisia,cheating on taxes,,,,-1.7758989
Tunisia,someone accepting a bribe in the course of their duties,,,,-1.9189112
Tunisia,homosexuality,,,,-2.0873253
Tunisia,prostitution,,,,-1.8005617
Tunisia,abortion,,,,-1.6620483
Tunisia,divorce,,,,-0.8153095
Tunisia,sex before marriage,,,,-1.8104362
Tunisia,suicide,,,,-1.3415089
Tunisia,euthanasia,,,,-1.6028051
Tunisia,for a man to beat his wife,,,,-1.452166
Tunisia,parents beating children,,,,-1.51822
