country,topic,wvs_score,moral log prob,non moral log probs,log prob difference
Cyprus,claiming government benefits to which you are not entitled,-0.7780006686726848,,,-0.88220996
Cyprus,avoiding a fare on public transport,-0.8026169882457307,,,-0.79820365
Cyprus,stealing property,-0.8876703223662347,,,-0.7679907
Cyprus,cheating on taxes,-0.8497058497058497,,,-0.8347454
Cyprus,someone accepting a bribe in the course of their duties,-0.9320679320679321,,,-0.7763754
Cyprus,homosexuality,0.5611166722277833,,,-0.5364216
Cyprus,prostitution,-0.17001338688085676,,,-0.71964073
Cyprus,abortion,0.12757201646090535,,,-0.6590252
Cyprus,divorce,0.6097777777777779,,,-0.47475854
Cyprus,sex before marriage,0.5981704596162428,,,-0.41006392
Cyprus,suicide,-0.41377777777777774,,,-0.73736095
Cyprus,euthanasia,0.15251202864495916,,,-0.5232172
Cyprus,for a man to beat his wife,-0.9547119547119548,,,-0.9038862
Cyprus,parents beating children,-0.8464606181455633,,,-0.91875803
Cyprus,violence against other people,-0.9341317365269461,,,-0.8004877
Cyprus,"terrorism as a political, ideological or religious mean",-0.9724444444444444,,,-0.87449074
Cyprus,having casual sex,0.04112337011033099,,,-0.601581
Cyprus,political violence,-0.924963924963925,,,-0.72020626
Cyprus,death penalty,-0.4674214674214674,,,-0.66372144
Ecuador,claiming government benefits to which you are not entitled,-0.5433334434424515,,,-0.83106536
Ecuador,avoiding a fare on public transport,-0.5920365248693972,,,-0.77469254
Ecuador,stealing property,-0.893152746425884,,,-0.70873034
Ecuador,cheating on taxes,-0.7684418145956607,,,-0.794861
Ecuador,someone accepting a bribe in the course of their duties,-0.8533762198590871,,,-0.7377993
Ecuador,homosexuality,-0.3518422597465382,,,-0.4984003
Ecuador,prostitution,-0.5650166131666385,,,-0.6770023
Ecuador,abortion,-0.535417982033474,,,-0.62444305
Ecuador,divorce,-0.15182154814962637,,,-0.48091334
Ecuador,sex before marriage,-0.22877668724071637,,,-0.42729148
Ecuador,suicide,-0.7132043640883917,,,-0.695351
Ecuador,euthanasia,-0.42105880421269903,,,-0.52091885
Ecuador,for a man to beat his wife,-0.8888779924378629,,,-0.8541878
Ecuador,parents beating children,-0.5962174012630476,,,-0.85838526
Ecuador,violence against other people,-0.8486574983628029,,,-0.7551117
Ecuador,"terrorism as a political, ideological or religious mean",-0.8727397929717002,,,-0.8325947
Ecuador,having casual sex,-0.4693992773261066,,,-0.5854387
Ecuador,political violence,-0.8443471337579618,,,-0.68521273
Ecuador,death penalty,-0.4101167142825505,,,-0.6623354
Greece,claiming government benefits to which you are not entitled,-0.5373799406552733,,,-0.8824169
Greece,avoiding a fare on public transport,-0.6096090515861955,,,-0.8127373
Greece,stealing property,-0.833462184700704,,,-0.7541836
Greece,cheating on taxes,-0.7566884369744431,,,-0.8206705
Greece,someone accepting a bribe in the course of their duties,-0.7917131178000744,,,-0.77679
Greece,homosexuality,-0.09017217609437032,,,-0.6235811
Greece,prostitution,-0.4686188566632472,,,-0.7749031
Greece,abortion,-0.2728758169934641,,,-0.73597413
Greece,divorce,0.017817855040128904,,,-0.5530392
Greece,sex before marriage,0.07959008154848868,,,-0.52804244
Greece,suicide,-0.5537964859998759,,,-0.7521299
Greece,euthanasia,-0.0965768903817047,,,-0.62992686
Greece,for a man to beat his wife,-0.8637240639283541,,,-0.89357775
Greece,parents beating children,-0.5785390812779171,,,-0.9023945
Greece,violence against other people,-0.7809134793910137,,,-0.8005598
Greece,"terrorism as a political, ideological or religious mean",-0.8556432884347422,,,-0.86182135
Greece,having casual sex,-0.2739662092784467,,,-0.66830367
Greece,political violence,-0.769099643576631,,,-0.7044064
Greece,death penalty,-0.09011633913995827,,,-0.70018214
Indonesia,claiming government benefits to which you are not entitled,,,,-0.88635236
Indonesia,avoiding a fare on public transport,,,,-0.8383595
Indonesia,stealing property,,,,-0.76827586
Indonesia,cheating on taxes,,,,-0.844137
Indonesia,someone accepting a bribe in the course of their duties,,,,-0.7863043
Indonesia,homosexuality,,,,-0.4996071
Indonesia,prostitution,,,,-0.6932066
Indonesia,abortion,,,,-0.65605277
Indonesia,divorce,,,,-0.4740015
Indonesia,sex before marriage,,,,-0.4227833
Indonesia,suicide,,,,-0.7178863
Indonesia,euthanasia,,,,-0.50139886
Indonesia,for a man to beat his wife,,,,-0.92248553
Indonesia,parents beating children,,,,-0.90366936
Indonesia,violence against other people,,,,-0.80979043
Indonesia,"terrorism as a political, ideological or religious mean",,,,-0.88506603
Indonesia,having casual sex,,,,-0.59679395
Indonesia,political violence,,,,-0.72901917
Indonesia,death penalty,,,,-0.6564924
Jordan,claiming government benefits to which you are not entitled,-0.5639284011941497,,,-0.8694841
Jordan,avoiding a fare on public transport,-0.592338833244625,,,-0.8503027
Jordan,stealing property,-0.8052382729874332,,,-0.77019536
Jordan,cheating on taxes,-0.7164412842503987,,,-0.85928214
Jordan,someone accepting a bribe in the course of their duties,-0.7727725900442323,,,-0.8056383
Jordan,homosexuality,-0.36163324667045194,,,-0.6744442
Jordan,prostitution,-0.5505091494291144,,,-0.78323346
Jordan,abortion,-0.4436107084545251,,,-0.7454569
Jordan,divorce,-0.1170469773323519,,,-0.5316626
Jordan,sex before marriage,-0.21369155594777006,,,-0.51869047
Jordan,suicide,-0.6517931022480424,,,-0.78058547
Jordan,euthanasia,-0.38953973017338667,,,-0.62674963
Jordan,for a man to beat his wife,-0.7900560217253,,,-0.90287745
Jordan,parents beating children,-0.5945929104000947,,,-0.9603342
Jordan,violence against other people,-0.776594336611154,,,-0.8406994
Jordan,"terrorism as a political, ideological or religious mean",-0.8110197690350361,,,-0.8658205
Jordan,having casual sex,-0.4444307969456898,,,-0.7061741
Jordan,political violence,-0.7693182563094066,,,-0.7459896
Jordan,death penalty,-0.3226411956185996,,,-0.68847024
Libya,claiming government benefits to which you are not entitled,,,,-0.92127514
Libya,avoiding a fare on public transport,,,,-0.83514196
Libya,stealing property,,,,-0.751557
Libya,cheating on taxes,,,,-0.8268763
Libya,someone accepting a bribe in the course of their duties,,,,-0.7830709
Libya,homosexuality,,,,-0.6662241
Libya,prostitution,,,,-0.74803317
Libya,abortion,,,,-0.7279383
Libya,divorce,,,,-0.5888748
Libya,sex before marriage,,,,-0.5573441
Libya,suicide,,,,-0.7422903
Libya,euthanasia,,,,-0.6205944
Libya,for a man to beat his wife,,,,-0.91577035
Libya,parents beating children,,,,-0.9099903
Libya,violence against other people,,,,-0.7987133
Libya,"terrorism as a political, ideological or religious mean",,,,-0.85099566
Libya,having casual sex,,,,-0.7005211
Libya,political violence,,,,-0.71235293
Libya,death penalty,,,,-0.7104019
Maldives,claiming government benefits to which you are not entitled,,,,-0.87274915
Maldives,avoiding a fare on public transport,,,,-0.7886238
Maldives,stealing property,,,,-0.7377968
Maldives,cheating on taxes,,,,-0.81264305
Maldives,someone accepting a bribe in the course of their duties,,,,-0.75455683
Maldives,homosexuality,,,,-0.6328766
Maldives,prostitution,,,,-0.73596936
Maldives,abortion,,,,-0.7079422
Maldives,divorce,,,,-0.5316702
Maldives,sex before marriage,,,,-0.51816523
Maldives,suicide,,,,-0.7307226
Maldives,euthanasia,,,,-0.59238607
Maldives,for a man to beat his wife,,,,-0.9091566
Maldives,parents beating children,,,,-0.86897314
Maldives,violence against other people,,,,-0.8159014
Maldives,"terrorism as a political, ideological or religious mean",,,,-0.87368834
Maldives,having casual sex,,,,-0.6704868
Maldives,political violence,,,,-0.73091125
Maldives,death penalty,,,,-0.64913446
New Zealand,claiming government benefits to which you are not entitled,,,,-0.98489916
New Zealand,avoiding a fare on public transport,,,,-0.81448823
New Zealand,stealing property,,,,-0.80593646
New Zealand,cheating on taxes,,,,-0.84641075
New Zealand,someone accepting a bribe in the course of their duties,,,,-0.74671537
New Zealand,homosexuality,,,,-0.37058124
New Zealand,prostitution,,,,-0.5860531
New Zealand,abortion,,,,-0.48772717
New Zealand,divorce,,,,-0.36889476
New Zealand,sex before marriage,,,,-0.2907217
New Zealand,suicide,,,,-0.67764205
New Zealand,euthanasia,,,,-0.42978287
New Zealand,for a man to beat his wife,,,,-0.91529405
New Zealand,parents beating children,,,,-0.93214685
New Zealand,violence against other people,,,,-0.7869385
New Zealand,"terrorism as a political, ideological or religious mean",,,,-0.8256769
New Zealand,having casual sex,,,,-0.44565812
New Zealand,political violence,,,,-0.7192852
New Zealand,death penalty,,,,-0.64517957
Nigeria,claiming government benefits to which you are not entitled,,,,-0.9219677
Nigeria,avoiding a fare on public transport,,,,-0.85308516
Nigeria,stealing property,,,,-0.783707
Nigeria,cheating on taxes,,,,-0.8699919
Nigeria,someone accepting a bribe in the course of their duties,,,,-0.80591106
Nigeria,homosexuality,,,,-0.6081171
Nigeria,prostitution,,,,-0.7598356
Nigeria,abortion,,,,-0.743264
Nigeria,divorce,,,,-0.55392015
Nigeria,sex before marriage,,,,-0.5163681
Nigeria,suicide,,,,-0.760396
Nigeria,euthanasia,,,,-0.5986067
Nigeria,for a man to beat his wife,,,,-0.94094276
Nigeria,parents beating children,,,,-0.91788924
Nigeria,violence against other people,,,,-0.83482325
Nigeria,"terrorism as a political, ideological or religious mean",,,,-0.89464056
Nigeria,having casual sex,,,,-0.68131906
Nigeria,political violence,,,,-0.75608367
Nigeria,death penalty,,,,-0.69248736
Philippines,claiming government benefits to which you are not entitled,,,,-0.9099476
Philippines,avoiding a fare on public transport,,,,-0.8245165
Philippines,stealing property,,,,-0.73937434
Philippines,cheating on taxes,,,,-0.83291054
Philippines,someone accepting a bribe in the course of their duties,,,,-0.76787204
Philippines,homosexuality,,,,-0.47229442
Philippines,prostitution,,,,-0.6927908
Philippines,abortion,,,,-0.6459772
Philippines,divorce,,,,-0.47034377
Philippines,sex before marriage,,,,-0.38440496
Philippines,suicide,,,,-0.71054745
Philippines,euthanasia,,,,-0.49473515
Philippines,for a man to beat his wife,,,,-0.9006565
Philippines,parents beating children,,,,-0.89696234
Philippines,violence against other people,,,,-0.7652847
Philippines,"terrorism as a political, ideological or religious mean",,,,-0.84524995
Philippines,having casual sex,,,,-0.58549726
Philippines,political violence,,,,-0.70127374
Philippines,death penalty,,,,-0.658267
Thailand,claiming government benefits to which you are not entitled,,,,-0.8761625
Thailand,avoiding a fare on public transport,,,,-0.83397615
Thailand,stealing property,,,,-0.76936877
Thailand,cheating on taxes,,,,-0.8413235
Thailand,someone accepting a bribe in the course of their duties,,,,-0.78356534
Thailand,homosexuality,,,,-0.490522
Thailand,prostitution,,,,-0.6868704
Thailand,abortion,,,,-0.6578913
Thailand,divorce,,,,-0.4842121
Thailand,sex before marriage,,,,-0.4148798
Thailand,suicide,,,,-0.7279806
Thailand,euthanasia,,,,-0.49909097
Thailand,for a man to beat his wife,,,,-0.9132368
Thailand,parents beating children,,,,-0.924226
Thailand,violence against other people,,,,-0.8076941
Thailand,"terrorism as a political, ideological or religious mean",,,,-0.8687908
Thailand,having casual sex,,,,-0.5906004
Thailand,political violence,,,,-0.73379576
Thailand,death penalty,,,,-0.6616829
Tunisia,claiming government benefits to which you are not entitled,,,,-0.8170164
Tunisia,avoiding a fare on public transport,,,,-0.74916095
Tunisia,stealing property,,,,-0.6741915
Tunisia,cheating on taxes,,,,-0.75063306
Tunisia,someone accepting a bribe in the course of their duties,,,,-0.7077053
Tunisia,homosexuality,,,,-0.55166304
Tunisia,prostitution,,,,-0.6741974
Tunisia,abortion,,,,-0.6484188
Tunisia,divorce,,,,-0.4965931
Tunisia,sex before marriage,,,,-0.46448785
Tunisia,suicide,,,,-0.66905344
Tunisia,euthanasia,,,,-0.5242346
Tunisia,for a man to beat his wife,,,,-0.8357315
Tunisia,parents beating children,,,,-0.80456525
