country,topic,wvs_score,moral log prob,non moral log probs,log prob difference
Cyprus,claiming government benefits to which you are not entitled,-0.7470328925059342,,,-3.2317612
Cyprus,avoiding a fare on public transport,-0.5822041553748871,,,-0.330834
Cyprus,stealing property,-0.898989898989899,,,-1.5026697
Cyprus,cheating on taxes,-0.8644713261648745,,,-1.6189339
Cyprus,someone accepting a bribe in the course of their duties,-0.8801346801346802,,,-1.7789943
Cyprus,homosexuality,-0.3944444444444445,,,-0.67092425
Cyprus,prostitution,-0.724709784411277,,,0.15233211
Cyprus,abortion,-0.551994301994302,,,0.29337513
Cyprus,divorce,-0.06657436252451829,,,0.10977068
Cyprus,sex before marriage,-0.09383249340052799,,,-0.5652293
Cyprus,suicide,-0.8317426652527394,,,-0.5233282
Cyprus,euthanasia,-0.6173104434907011,,,0.13938947
Cyprus,for a man to beat his wife,-0.9285473542298618,,,-1.7596823
Cyprus,parents beating children,-0.8945005611672279,,,-1.2425753
Cyprus,violence against other people,-0.9056561591772859,,,-0.53081346
Cyprus,"terrorism as a political, ideological or religious mean",-0.943992773261066,,,-0.19027643
Cyprus,having casual sex,-0.5917642882499113,,,-0.4160722
Cyprus,political violence,-0.9269776876267748,,,-0.06802797
Cyprus,death penalty,-0.6278858182645285,,,-0.66941863
Ecuador,claiming government benefits to which you are not entitled,-0.23551031947978515,,,-3.1679647
Ecuador,avoiding a fare on public transport,-0.33928903778150005,,,-0.24672985
Ecuador,stealing property,-0.7960171226502885,,,-1.6480172
Ecuador,cheating on taxes,-0.7032668726013293,,,-1.6377703
Ecuador,someone accepting a bribe in the course of their duties,-0.7101937657961247,,,-1.6150221
Ecuador,homosexuality,-0.39897673520610094,,,-0.45544848
Ecuador,prostitution,-0.451775683138151,,,0.500377
Ecuador,abortion,-0.6555274735561172,,,0.88169366
Ecuador,divorce,-0.2515705578996718,,,0.5900944
Ecuador,sex before marriage,-0.33447001989201475,,,-0.64638895
Ecuador,suicide,-0.6826471141191953,,,-0.28244656
Ecuador,euthanasia,-0.47593805217752827,,,0.34671706
Ecuador,for a man to beat his wife,-0.806577480490524,,,-1.7972405
Ecuador,parents beating children,-0.4899116689911669,,,-1.2885447
Ecuador,violence against other people,-0.7385402138540214,,,-0.62382233
Ecuador,"terrorism as a political, ideological or religious mean",-0.7601500234411627,,,0.10636239
Ecuador,having casual sex,-0.5423167848699764,,,0.05722799
Ecuador,political violence,-0.6855275443510737,,,0.14239101
Ecuador,death penalty,-0.4098514758413236,,,-0.5569223
Greece,claiming government benefits to which you are not entitled,-0.8696097606407748,,,-3.1144598
Greece,avoiding a fare on public transport,-0.6914508493455862,,,-0.4379111
Greece,stealing property,-0.9709902370990239,,,-1.2329185
Greece,cheating on taxes,-0.8491198658843252,,,-1.4401537
Greece,someone accepting a bribe in the course of their duties,-0.9161073825503355,,,-1.5776131
Greece,homosexuality,-0.1633535004321521,,,-0.8104944
Greece,prostitution,-0.33750118404849866,,,0.012404347
Greece,abortion,-0.2055414192818773,,,0.1891911
Greece,divorce,0.30359147025813693,,,-0.47494984
Greece,sex before marriage,0.42597328786587096,,,-0.7870501
Greece,suicide,-0.8033314404694303,,,-0.4361655
Greece,euthanasia,-0.5317672712855585,,,-0.15508537
Greece,for a man to beat his wife,-0.9706674092639005,,,-1.7399604
Greece,parents beating children,-0.9508439992580227,,,-1.1321193
Greece,violence against other people,-0.9575656058068119,,,-0.4288188
Greece,"terrorism as a political, ideological or religious mean",-0.9682806231924619,,,-0.18067026
Greece,having casual sex,-0.034005872880553185,,,-0.36257473
Greece,political violence,-0.899623352165725,,,0.13051204
Greece,death penalty,-0.6814555360965168,,,-0.50203043
Indonesia,claiming government benefits to which you are not entitled,-0.49328027367612665,,,-3.3522727
Indonesia,avoiding a fare on public transport,-0.6138079827400217,,,-0.448425
Indonesia,stealing property,-0.8764427756918369,,,-1.4583725
Indonesia,cheating on taxes,-0.6663534815742772,,,-1.5906947
Indonesia,someone accepting a bribe in the course of their duties,-0.793038570084666,,,-1.9837656
Indonesia,homosexuality,-0.8643949688164174,,,-1.189523
Indonesia,prostitution,-0.8741599637870399,,,0.11295738
Indonesia,abortion,-0.8719420955562516,,,-0.09714041
Indonesia,divorce,-0.6242804814233386,,,-0.24051246
Indonesia,sex before marriage,-0.8572521207064386,,,-1.0214398
Indonesia,suicide,-0.8923317683881065,,,-0.34423715
Indonesia,euthanasia,-0.7354099160308003,,,-0.08439882
Indonesia,for a man to beat his wife,-0.8514114865804479,,,-1.9915836
Indonesia,parents beating children,-0.6807511737089202,,,-1.2923013
Indonesia,violence against other people,-0.8081029386193707,,,-0.863129
Indonesia,"terrorism as a political, ideological or religious mean",-0.8387785831845082,,,-0.38597623
Indonesia,having casual sex,-0.8844305120167189,,,-0.3960277
Indonesia,political violence,-0.8260991712319145,,,-0.07351794
Indonesia,death penalty,-0.4706419440932716,,,-0.57185715
Jordan,claiming government benefits to which you are not entitled,-0.5566854990583804,,,-3.1779943
Jordan,avoiding a fare on public transport,,,,-0.87748563
Jordan,stealing property,-0.9164814814814816,,,-1.4607916
Jordan,cheating on taxes,-0.7543075346931173,,,-1.8362709
Jordan,someone accepting a bribe in the course of their duties,-0.9015025041736227,,,-1.7836082
Jordan,homosexuality,-0.9397489539748954,,,-1.0691736
Jordan,prostitution,,,,0.027805377
Jordan,abortion,-0.7969156447417317,,,-0.24593785
Jordan,divorce,-0.375847024969832,,,-0.42892152
Jordan,sex before marriage,-0.9436069235064211,,,-0.6604919
Jordan,suicide,-0.9477777777777779,,,-0.8300772
Jordan,euthanasia,-0.8888888888888887,,,-0.27720088
Jordan,for a man to beat his wife,-0.8682579332038117,,,-1.8810145
Jordan,parents beating children,-0.6559079948061585,,,-1.2256395
Jordan,violence against other people,-0.9089647515958922,,,-0.80667496
Jordan,"terrorism as a political, ideological or religious mean",-0.9384986993682645,,,-0.22086363
Jordan,having casual sex,,,,-0.53601134
Jordan,political violence,-0.9324965132496514,,,-0.20920067
Jordan,death penalty,-0.036477283328668716,,,-0.5295223
Libya,claiming government benefits to which you are not entitled,-0.6391792489353465,,,-3.4320273
Libya,avoiding a fare on public transport,-0.8653081028626881,,,-0.7952548
Libya,stealing property,-0.9648021308980211,,,-1.043917
Libya,cheating on taxes,-0.8903269101716037,,,-1.5329227
Libya,someone accepting a bribe in the course of their duties,-0.9456918057954328,,,-1.5737225
Libya,homosexuality,-0.9739614390777179,,,-0.84103906
Libya,prostitution,-0.9703436529405871,,,0.272175
Libya,abortion,-0.8707321886717979,,,0.06577518
Libya,divorce,-0.40387071421554177,,,-0.5704366
Libya,sex before marriage,-0.9741784037558684,,,-0.81883943
Libya,suicide,-0.9664422983123598,,,-0.3618515
Libya,euthanasia,-0.9534654441486741,,,-0.20293231
Libya,for a man to beat his wife,-0.8444638864586371,,,-2.0259597
Libya,parents beating children,-0.5446680276076601,,,-1.1813697
Libya,violence against other people,-0.9318933644677952,,,-0.68475115
Libya,"terrorism as a political, ideological or religious mean",-0.9722713864306783,,,-0.4154068
Libya,having casual sex,-0.9856440511307768,,,-0.5586514
Libya,political violence,-0.9570146899339447,,,-0.28397816
Libya,death penalty,-0.21288014311270126,,,-0.54487485
Maldives,claiming government benefits to which you are not entitled,-0.8097074895531984,,,-3.3550797
Maldives,avoiding a fare on public transport,-0.6836701957009946,,,-0.6674554
Maldives,stealing property,-0.9344508918977004,,,-1.5427225
Maldives,cheating on taxes,-0.9124839124839125,,,-1.7292086
Maldives,someone accepting a bribe in the course of their duties,-0.9358357394931024,,,-2.061709
Maldives,homosexuality,-0.9419824448726183,,,-1.41379
Maldives,prostitution,-0.9496410586092361,,,-0.03180466
Maldives,abortion,-0.659916425586628,,,-0.057121895
Maldives,divorce,0.04976404976404976,,,-0.3201274
Maldives,sex before marriage,-0.8560703560703561,,,-1.0314254
Maldives,suicide,-0.9084589883434927,,,-0.6556689
Maldives,euthanasia,-0.776702161987738,,,-0.08702631
Maldives,for a man to beat his wife,-0.963784420872174,,,-1.9453771
Maldives,parents beating children,-0.916720188396489,,,-1.4964164
Maldives,violence against other people,-0.9466409514625523,,,-1.1392027
Maldives,"terrorism as a political, ideological or religious mean",-0.951998285653059,,,-0.566408
Maldives,having casual sex,-0.9272104474416614,,,-0.580992
Maldives,political violence,-0.9521202361782071,,,-0.56060755
Maldives,death penalty,0.3744776599164256,,,-0.6566416
New Zealand,claiming government benefits to which you are not entitled,-0.7808338790657062,,,-3.1425633
New Zealand,avoiding a fare on public transport,-0.744888023369036,,,0.023435164
New Zealand,stealing property,-0.9143473570658037,,,-1.9571044
New Zealand,cheating on taxes,-0.8238218763510593,,,-1.8130699
New Zealand,someone accepting a bribe in the course of their duties,-0.9236178729849617,,,-2.4258542
New Zealand,homosexuality,0.40620490620490624,,,-0.7673763
New Zealand,prostitution,-0.03414290742696235,,,-0.035173606
New Zealand,abortion,0.29105911608454843,,,0.51465195
New Zealand,divorce,0.5089605734767025,,,0.21388331
New Zealand,sex before marriage,0.5333106344342299,,,-0.54427546
New Zealand,suicide,-0.48773448773448774,,,-0.47548372
New Zealand,euthanasia,0.3568573712458604,,,0.028534448
New Zealand,for a man to beat his wife,-0.9697068051498432,,,-2.0482585
New Zealand,parents beating children,-0.8950677506775069,,,-1.5132439
New Zealand,violence against other people,-0.8555446942543717,,,-1.2899559
New Zealand,"terrorism as a political, ideological or religious mean",-0.9576511678672779,,,-0.3801756
New Zealand,having casual sex,0.049816345270890725,,,-0.52088195
New Zealand,political violence,-0.8237855946398661,,,-0.042738773
New Zealand,death penalty,-0.27326710060523013,,,-0.8335991
Nigeria,claiming government benefits to which you are not entitled,-0.7770574464253557,,,-3.3937263
Nigeria,avoiding a fare on public transport,-0.7741731999639542,,,-0.7663859
Nigeria,stealing property,-0.8490328385065228,,,-1.0969995
Nigeria,cheating on taxes,-0.8245993156852152,,,-1.4773123
Nigeria,someone accepting a bribe in the course of their duties,-0.8412955465587044,,,-1.7703537
Nigeria,homosexuality,-0.8888888888888887,,,-1.3881899
Nigeria,prostitution,-0.8588807785888077,,,-0.13153954
Nigeria,abortion,-0.8425097188319319,,,-0.43719357
Nigeria,divorce,-0.6720867208672088,,,-0.6220419
Nigeria,sex before marriage,-0.6242391205596439,,,-1.2156903
Nigeria,suicide,-0.8772024451636101,,,-0.41327196
Nigeria,euthanasia,-0.8561097022635484,,,-0.39774227
Nigeria,for a man to beat his wife,-0.7900134952766532,,,-2.0153637
Nigeria,parents beating children,0.1220783890686803,,,-1.2012848
Nigeria,violence against other people,-0.8101140752717146,,,-0.6606928
Nigeria,"terrorism as a political, ideological or religious mean",-0.8531103919453433,,,-0.3177646
Nigeria,having casual sex,-0.6533550665580005,,,-0.8337938
Nigeria,political violence,-0.8434016540812657,,,-0.2710007
Nigeria,death penalty,-0.6397085610200364,,,-0.8056949
Philippines,claiming government benefits to which you are not entitled,-0.04796296296296295,,,-3.375515
Philippines,avoiding a fare on public transport,-0.15299786859419887,,,-0.27843198
Philippines,stealing property,-0.4131625359695535,,,-1.2746176
Philippines,cheating on taxes,-0.31571137080319045,,,-1.2737725
Philippines,someone accepting a bribe in the course of their duties,-0.2851851851851852,,,-2.0531967
Philippines,homosexuality,-0.2066666666666667,,,-1.0405068
