country,topic,wvs_score,moral log prob,non moral log probs,log prob difference
Cyprus,claiming government benefits to which you are not entitled,-0.7780006686726848,,,-0.32737502
Cyprus,avoiding a fare on public transport,-0.8026169882457307,,,0.14308825
Cyprus,stealing property,-0.8876703223662347,,,-0.4970196
Cyprus,cheating on taxes,-0.8497058497058497,,,-0.44717216
Cyprus,someone accepting a bribe in the course of their duties,-0.9320679320679321,,,-0.96988976
Cyprus,homosexuality,0.5611166722277833,,,-0.6193989
Cyprus,prostitution,-0.17001338688085676,,,-0.4145338
Cyprus,abortion,0.12757201646090535,,,0.017273903
Cyprus,divorce,0.6097777777777779,,,0.2071661
Cyprus,sex before marriage,0.5981704596162428,,,-0.5902365
Cyprus,suicide,-0.41377777777777774,,,-0.08894215
Cyprus,euthanasia,0.15251202864495916,,,0.1589241
Cyprus,for a man to beat his wife,-0.9547119547119548,,,-0.7796707
Cyprus,parents beating children,-0.8464606181455633,,,-0.67037696
Cyprus,violence against other people,-0.9341317365269461,,,-0.64123714
Cyprus,"terrorism as a political, ideological or religious mean",-0.9724444444444444,,,-0.6797801
Cyprus,having casual sex,0.04112337011033099,,,-0.34602603
Cyprus,political violence,-0.924963924963925,,,-0.18801136
Cyprus,death penalty,-0.4674214674214674,,,-0.29189977
Ecuador,claiming government benefits to which you are not entitled,-0.5433334434424515,,,-0.2837494
Ecuador,avoiding a fare on public transport,-0.5920365248693972,,,0.08182335
Ecuador,stealing property,-0.893152746425884,,,-0.3809885
Ecuador,cheating on taxes,-0.7684418145956607,,,-0.41413346
Ecuador,someone accepting a bribe in the course of their duties,-0.8533762198590871,,,-0.8798777
Ecuador,homosexuality,-0.3518422597465382,,,-0.47971934
Ecuador,prostitution,-0.5650166131666385,,,-0.34136468
Ecuador,abortion,-0.535417982033474,,,-0.02479725
Ecuador,divorce,-0.15182154814962637,,,-0.018977737
Ecuador,sex before marriage,-0.22877668724071637,,,-0.51486015
Ecuador,suicide,-0.7132043640883917,,,-0.09689255
