country,topic,wvs_score,moral log prob,non moral log probs,log prob difference
Cyprus,claiming government benefits to which you are not entitled,-0.7780006686726848,,,-0.77893275
Cyprus,avoiding a fare on public transport,-0.8026169882457307,,,-0.71207654
Cyprus,stealing property,-0.8876703223662347,,,-0.8419426
Cyprus,cheating on taxes,-0.8497058497058497,,,-0.8655117
Cyprus,someone accepting a bribe in the course of their duties,-0.9320679320679321,,,-0.94033736
Cyprus,homosexuality,0.5611166722277833,,,-0.6109846
Cyprus,prostitution,-0.17001338688085676,,,-0.81031686
Cyprus,abortion,0.12757201646090535,,,-0.7192087
Cyprus,divorce,0.6097777777777779,,,-0.45719472
Cyprus,sex before marriage,0.5981704596162428,,,-0.6078564
Cyprus,suicide,-0.41377777777777774,,,-0.6848652
Cyprus,euthanasia,0.15251202864495916,,,-0.6431559
Cyprus,for a man to beat his wife,-0.9547119547119548,,,-0.9546757
Cyprus,parents beating children,-0.8464606181455633,,,-0.82250464
Cyprus,violence against other people,-0.9341317365269461,,,-0.8771585
Cyprus,"terrorism as a political, ideological or religious mean",-0.9724444444444444,,,-0.9770538
Cyprus,having casual sex,0.04112337011033099,,,-0.6663437
Cyprus,political violence,-0.924963924963925,,,-0.9343933
Cyprus,death penalty,-0.4674214674214674,,,-0.6881933
Ecuador,claiming government benefits to which you are not entitled,-0.5433334434424515,,,-0.7788248
Ecuador,avoiding a fare on public transport,-0.5920365248693972,,,-0.72600174
Ecuador,stealing property,-0.893152746425884,,,-0.8409771
Ecuador,cheating on taxes,-0.7684418145956607,,,-0.8589598
Ecuador,someone accepting a bribe in the course of their duties,-0.8533762198590871,,,-0.94047374
Ecuador,homosexuality,-0.3518422597465382,,,-0.6374218
Ecuador,prostitution,-0.5650166131666385,,,-0.8141991
Ecuador,abortion,-0.535417982033474,,,-0.74107
Ecuador,divorce,-0.15182154814962637,,,-0.4679224
Ecuador,sex before marriage,-0.22877668724071637,,,-0.61330473
Ecuador,suicide,-0.7132043640883917,,,-0.7138689
Ecuador,euthanasia,-0.42105880421269903,,,-0.67254674
Ecuador,for a man to beat his wife,-0.8888779924378629,,,-0.9166916
Ecuador,parents beating children,-0.5962174012630476,,,-0.82979506
Ecuador,violence against other people,-0.8486574983628029,,,-0.86535037
Ecuador,"terrorism as a political, ideological or religious mean",-0.8727397929717002,,,-0.9516535
Ecuador,having casual sex,-0.4693992773261066,,,-0.6586105
Ecuador,political violence,-0.8443471337579618,,,-0.9133396
Ecuador,death penalty,-0.4101167142825505,,,-0.7165146
Greece,claiming government benefits to which you are not entitled,-0.5373799406552733,,,-0.7719456
Greece,avoiding a fare on public transport,-0.6096090515861955,,,-0.7556772
Greece,stealing property,-0.833462184700704,,,-0.87719023
Greece,cheating on taxes,-0.7566884369744431,,,-0.90198725
Greece,someone accepting a bribe in the course of their duties,-0.7917131178000744,,,-0.9611824
Greece,homosexuality,-0.09017217609437032,,,-0.67716044
Greece,prostitution,-0.4686188566632472,,,-0.8769518
Greece,abortion,-0.2728758169934641,,,-0.78303206
Greece,divorce,0.017817855040128904,,,-0.49350262
Greece,sex before marriage,0.07959008154848868,,,-0.6861311
Greece,suicide,-0.5537964859998759,,,-0.7302839
Greece,euthanasia,-0.0965768903817047,,,-0.70204926
Greece,for a man to beat his wife,-0.8637240639283541,,,-0.9633976
Greece,parents beating children,-0.5785390812779171,,,-0.81771487
Greece,violence against other people,-0.7809134793910137,,,-0.90604746
