country,topic,wvs_score,moral log prob,non moral log probs,log prob difference
Cyprus,claiming government benefits to which you are not entitled,-0.7470328925059342,,,-2.3497002
Cyprus,avoiding a fare on public transport,-0.5822041553748871,,,-1.6899221
Cyprus,stealing property,-0.898989898989899,,,-2.3874547
Cyprus,cheating on taxes,-0.8644713261648745,,,-2.7228515
Cyprus,someone accepting a bribe in the course of their duties,-0.8801346801346802,,,-2.5504563
Cyprus,homosexuality,-0.3944444444444445,,,-2.9145825
Cyprus,prostitution,-0.724709784411277,,,-2.7894425
Cyprus,abortion,-0.551994301994302,,,-2.9335227
Cyprus,divorce,-0.06657436252451829,,,-1.4193196
Cyprus,sex before marriage,-0.09383249340052799,,,-2.3922284
Cyprus,suicide,-0.8317426652527394,,,-2.5951378
Cyprus,euthanasia,-0.6173104434907011,,,-2.2706852
Cyprus,for a man to beat his wife,-0.9285473542298618,,,-2.3566394
Cyprus,parents beating children,-0.8945005611672279,,,-2.4831376
Cyprus,violence against other people,-0.9056561591772859,,,-2.3878675
Cyprus,"terrorism as a political, ideological or religious mean",-0.943992773261066,,,-2.727507
Cyprus,having casual sex,-0.5917642882499113,,,-2.8225758
Cyprus,political violence,-0.9269776876267748,,,-2.13983
Cyprus,death penalty,-0.6278858182645285,,,-1.9717274
Ecuador,claiming government benefits to which you are not entitled,-0.23551031947978515,,,-2.3118682
Ecuador,avoiding a fare on public transport,-0.33928903778150005,,,-1.8070488
Ecuador,stealing property,-0.7960171226502885,,,-2.2281737
Ecuador,cheating on taxes,-0.7032668726013293,,,-2.6788507
Ecuador,someone accepting a bribe in the course of their duties,-0.7101937657961247,,,-2.371984
Ecuador,homosexuality,-0.39897673520610094,,,-2.7542017
Ecuador,prostitution,-0.451775683138151,,,-2.7086887
Ecuador,abortion,-0.6555274735561172,,,-2.9564695
Ecuador,divorce,-0.2515705578996718,,,-1.6930416
Ecuador,sex before marriage,-0.33447001989201475,,,-2.2144892
Ecuador,suicide,-0.6826471141191953,,,-2.6158893
Ecuador,euthanasia,-0.47593805217752827,,,-2.2748349
Ecuador,for a man to beat his wife,-0.806577480490524,,,-2.4575548
Ecuador,parents beating children,-0.4899116689911669,,,-2.5579364
Ecuador,violence against other people,-0.7385402138540214,,,-2.2181017
Ecuador,"terrorism as a political, ideological or religious mean",-0.7601500234411627,,,-2.5986338
Ecuador,having casual sex,-0.5423167848699764,,,-2.6077876
Ecuador,political violence,-0.6855275443510737,,,-2.1206944
Ecuador,death penalty,-0.4098514758413236,,,-2.0925167
Greece,claiming government benefits to which you are not entitled,-0.8696097606407748,,,-2.1630943
Greece,avoiding a fare on public transport,-0.6914508493455862,,,-1.4289992
Greece,stealing property,-0.9709902370990239,,,-1.917124
Greece,cheating on taxes,-0.8491198658843252,,,-2.3585932
Greece,someone accepting a bribe in the course of their duties,-0.9161073825503355,,,-2.266409
Greece,homosexuality,-0.1633535004321521,,,-2.3456616
Greece,prostitution,-0.33750118404849866,,,-2.3554723
Greece,abortion,-0.2055414192818773,,,-2.5379345
Greece,divorce,0.30359147025813693,,,-1.2774394
Greece,sex before marriage,0.42597328786587096,,,-1.820318
Greece,suicide,-0.8033314404694303,,,-2.3183587
