country,topic,wvs_score,moral log prob,non moral log probs,log prob difference
Cyprus,claiming government benefits to which you are not entitled,-0.7470328925059342,,,-0.96448517
Cyprus,avoiding a fare on public transport,-0.5822041553748871,,,-0.8639587
Cyprus,stealing property,-0.898989898989899,,,-1.4378326
Cyprus,cheating on taxes,-0.8644713261648745,,,-1.2953873
Cyprus,someone accepting a bribe in the course of their duties,-0.8801346801346802,,,
Cyprus,homosexuality,-0.3944444444444445,,,-0.4384857
Cyprus,prostitution,-0.724709784411277,,,-0.78618014
Cyprus,abortion,-0.551994301994302,,,-0.7059725
Cyprus,divorce,-0.06657436252451829,,,-0.5191868
Cyprus,sex before marriage,-0.09383249340052799,,,-0.467264
Cyprus,suicide,-0.8317426652527394,,,-0.914995
Cyprus,euthanasia,-0.6173104434907011,,,-0.5902405
Cyprus,for a man to beat his wife,-0.9285473542298618,,,-1.4587723
Cyprus,parents beating children,-0.8945005611672279,,,-1.3494095
Cyprus,violence against other people,-0.9056561591772859,,,-1.2399124
Cyprus,"terrorism as a political, ideological or religious mean",-0.943992773261066,,,-1.3842331
Cyprus,having casual sex,-0.5917642882499113,,,-0.5979233
Cyprus,political violence,-0.9269776876267748,,,-1.3272781
Cyprus,death penalty,-0.6278858182645285,,,-0.7654341
Ecuador,claiming government benefits to which you are not entitled,-0.23551031947978515,,,-0.85774213
Ecuador,avoiding a fare on public transport,-0.33928903778150005,,,-0.77586365
Ecuador,stealing property,-0.7960171226502885,,,-1.315657
Ecuador,cheating on taxes,-0.7032668726013293,,,-1.1682755
Ecuador,someone accepting a bribe in the course of their duties,-0.7101937657961247,,,
Ecuador,homosexuality,-0.39897673520610094,,,-0.3755005
Ecuador,prostitution,-0.451775683138151,,,-0.67940044
Ecuador,abortion,-0.6555274735561172,,,-0.6059933
Ecuador,divorce,-0.2515705578996718,,,-0.50753134
Ecuador,sex before marriage,-0.33447001989201475,,,-0.44159088
Ecuador,suicide,-0.6826471141191953,,,-0.8345703
Ecuador,euthanasia,-0.47593805217752827,,,-0.5607542
Ecuador,for a man to beat his wife,-0.806577480490524,,,-1.344046
Ecuador,parents beating children,-0.4899116689911669,,,-1.2622255
Ecuador,violence against other people,-0.7385402138540214,,,-1.1205994
Ecuador,"terrorism as a political, ideological or religious mean",-0.7601500234411627,,,-1.2793516
Ecuador,having casual sex,-0.5423167848699764,,,-0.5221634
Ecuador,political violence,-0.6855275443510737,,,-1.2496172
Ecuador,death penalty,-0.4098514758413236,,,-0.71864337
Greece,claiming government benefits to which you are not entitled,-0.8696097606407748,,,-0.98267823
Greece,avoiding a fare on public transport,-0.6914508493455862,,,-0.85579073
Greece,stealing property,-0.9709902370990239,,,-1.4416138
Greece,cheating on taxes,-0.8491198658843252,,,-1.2670319
Greece,someone accepting a bribe in the course of their duties,-0.9161073825503355,,,
Greece,homosexuality,-0.1633535004321521,,,-0.42486876
Greece,prostitution,-0.33750118404849866,,,-0.7657806
Greece,abortion,-0.2055414192818773,,,-0.6940323
Greece,divorce,0.30359147025813693,,,-0.5392107
Greece,sex before marriage,0.42597328786587096,,,-0.4397646
