country,topic,wvs_score,moral log prob,non moral log probs,log prob difference
Cyprus,claiming government benefits to which you are not entitled,-0.7470328925059342,,,-2.0336382
Cyprus,avoiding a fare on public transport,-0.5822041553748871,,,-1.2913334
Cyprus,stealing property,-0.898989898989899,,,-2.2682006
Cyprus,cheating on taxes,-0.8644713261648745,,,-2.4511888
Cyprus,someone accepting a bribe in the course of their duties,-0.8801346801346802,,,-2.2898068
Cyprus,homosexuality,-0.3944444444444445,,,-2.312303
Cyprus,prostitution,-0.724709784411277,,,-2.4142764
Cyprus,abortion,-0.551994301994302,,,-2.2345238
Cyprus,divorce,-0.06657436252451829,,,-0.44597712
Cyprus,sex before marriage,-0.09383249340052799,,,-1.7176644
Cyprus,suicide,-0.8317426652527394,,,-2.2256706
Cyprus,euthanasia,-0.6173104434907011,,,-1.5453622
Cyprus,for a man to beat his wife,-0.9285473542298618,,,-1.9850041
Cyprus,parents beating children,-0.8945005611672279,,,-2.4590893
Cyprus,violence against other people,-0.9056561591772859,,,-2.1967742
Cyprus,"terrorism as a political, ideological or religious mean",-0.943992773261066,,,-2.5516245
Cyprus,having casual sex,-0.5917642882499113,,,-2.1081834
Cyprus,political violence,-0.9269776876267748,,,-1.87463
Cyprus,death penalty,-0.6278858182645285,,,-1.8076143
Ecuador,claiming government benefits to which you are not entitled,-0.23551031947978515,,,-1.8566052
Ecuador,avoiding a fare on public transport,-0.33928903778150005,,,-1.3783208
Ecuador,stealing property,-0.7960171226502885,,,-1.8516502
Ecuador,cheating on taxes,-0.7032668726013293,,,-2.2991862
Ecuador,someone accepting a bribe in the course of their duties,-0.7101937657961247,,,-2.0524929
Ecuador,homosexuality,-0.39897673520610094,,,-1.819506
Ecuador,prostitution,-0.451775683138151,,,-2.041549
Ecuador,abortion,-0.6555274735561172,,,-2.1984544
Ecuador,divorce,-0.2515705578996718,,,-0.96605015
Ecuador,sex before marriage,-0.33447001989201475,,,-1.6030095
Ecuador,suicide,-0.6826471141191953,,,-2.1918988
Ecuador,euthanasia,-0.47593805217752827,,,-1.6663415
Ecuador,for a man to beat his wife,-0.806577480490524,,,-2.0776763
Ecuador,parents beating children,-0.4899116689911669,,,-2.2491255
Ecuador,violence against other people,-0.7385402138540214,,,-1.9223859
Ecuador,"terrorism as a political, ideological or religious mean",-0.7601500234411627,,,-2.3641639
Ecuador,having casual sex,-0.5423167848699764,,,-1.7051853
Ecuador,political violence,-0.6855275443510737,,,-1.8661373
Ecuador,death penalty,-0.4098514758413236,,,-1.8554745
Greece,claiming government benefits to which you are not entitled,-0.8696097606407748,,,-1.479255
Greece,avoiding a fare on public transport,-0.6914508493455862,,,-1.003179
Greece,stealing property,-0.9709902370990239,,,-1.6674471
Greece,cheating on taxes,-0.8491198658843252,,,-2.0351977
Greece,someone accepting a bribe in the course of their duties,-0.9161073825503355,,,-1.9331315
Greece,homosexuality,-0.1633535004321521,,,-1.3457372
Greece,prostitution,-0.33750118404849866,,,-1.8121475
Greece,abortion,-0.2055414192818773,,,-1.7294934
Greece,divorce,0.30359147025813693,,,-0.49871197
Greece,sex before marriage,0.42597328786587096,,,-1.0456398
Greece,suicide,-0.8033314404694303,,,-1.8805481
Greece,euthanasia,-0.5317672712855585,,,-1.0140536
Greece,for a man to beat his wife,-0.9706674092639005,,,-1.5684748
Greece,parents beating children,-0.9508439992580227,,,-1.8442456
Greece,violence against other people,-0.9575656058068119,,,-1.6820362
Greece,"terrorism as a political, ideological or religious mean",-0.9682806231924619,,,-2.048919
Greece,having casual sex,-0.034005872880553185,,,-1.6939036
Greece,political violence,-0.899623352165725,,,-1.5282234
Greece,death penalty,-0.6814555360965168,,,-1.3822898
Indonesia,claiming government benefits to which you are not entitled,-0.49328027367612665,,,-3.1828759
Indonesia,avoiding a fare on public transport,-0.6138079827400217,,,-2.6655517
Indonesia,stealing property,-0.8764427756918369,,,-3.2464767
Indonesia,cheating on taxes,-0.6663534815742772,,,-3.3296986
Indonesia,someone accepting a bribe in the course of their duties,-0.793038570084666,,,-2.9756343
Indonesia,homosexuality,-0.8643949688164174,,,-3.5976043
Indonesia,prostitution,-0.8741599637870399,,,-3.4440918
Indonesia,abortion,-0.8719420955562516,,,-3.6495903
Indonesia,divorce,-0.6242804814233386,,,-2.5850842
Indonesia,sex before marriage,-0.8572521207064386,,,-3.5270698
Indonesia,suicide,-0.8923317683881065,,,-3.2124124
Indonesia,euthanasia,-0.7354099160308003,,,-3.307228
Indonesia,for a man to beat his wife,-0.8514114865804479,,,-3.0515032
Indonesia,parents beating children,-0.6807511737089202,,,-3.4327316
Indonesia,violence against other people,-0.8081029386193707,,,-3.0600219
Indonesia,"terrorism as a political, ideological or religious mean",-0.8387785831845082,,,-3.3214226
Indonesia,having casual sex,-0.8844305120167189,,,-3.3016117
Indonesia,political violence,-0.8260991712319145,,,-2.8403687
Indonesia,death penalty,-0.4706419440932716,,,-3.0884461
Jordan,claiming government benefits to which you are not entitled,-0.5566854990583804,,,-2.7289777
Jordan,avoiding a fare on public transport,,,,-1.8294262
Jordan,stealing property,-0.9164814814814816,,,-3.1757455
Jordan,cheating on taxes,-0.7543075346931173,,,-3.3040357
Jordan,someone accepting a bribe in the course of their duties,-0.9015025041736227,,,-2.6468308
Jordan,homosexuality,-0.9397489539748954,,,-3.860004
Jordan,prostitution,,,,-3.6271648
Jordan,abortion,-0.7969156447417317,,,-3.2587724
Jordan,divorce,-0.375847024969832,,,-0.93062735
Jordan,sex before marriage,-0.9436069235064211,,,-3.4020813
Jordan,suicide,-0.9477777777777779,,,-2.8154967
Jordan,euthanasia,-0.8888888888888887,,,-2.696626
Jordan,for a man to beat his wife,-0.8682579332038117,,,-2.7397017
Jordan,parents beating children,-0.6559079948061585,,,-3.2950897
Jordan,violence against other people,-0.9089647515958922,,,-2.9340856
Jordan,"terrorism as a political, ideological or religious mean",-0.9384986993682645,,,-3.1586103
Jordan,having casual sex,,,,-3.54665
Jordan,political violence,-0.9324965132496514,,,-2.6234746
Jordan,death penalty,-0.036477283328668716,,,-2.7579842
Libya,claiming government benefits to which you are not entitled,-0.6391792489353465,,,-2.849277
Libya,avoiding a fare on public transport,-0.8653081028626881,,,-2.08583
Libya,stealing property,-0.9648021308980211,,,-2.8881536
Libya,cheating on taxes,-0.8903269101716037,,,-3.0744205
Libya,someone accepting a bribe in the course of their duties,-0.9456918057954328,,,-2.5300572
Libya,homosexuality,-0.9739614390777179,,,-3.9454827
Libya,prostitution,-0.9703436529405871,,,-3.4427133
Libya,abortion,-0.8707321886717979,,,-3.2911358
Libya,divorce,-0.40387071421554177,,,-1.863808
Libya,sex before marriage,-0.9741784037558684,,,-3.687722
Libya,suicide,-0.9664422983123598,,,-2.72076
Libya,euthanasia,-0.9534654441486741,,,-2.750394
Libya,for a man to beat his wife,-0.8444638864586371,,,-2.5459073
Libya,parents beating children,-0.5446680276076601,,,-3.1387475
Libya,violence against other people,-0.9318933644677952,,,-2.802936
Libya,"terrorism as a political, ideological or religious mean",-0.9722713864306783,,,-3.174974
Libya,having casual sex,-0.9856440511307768,,,-3.4172287
Libya,political violence,-0.9570146899339447,,,-2.5289526
Libya,death penalty,-0.21288014311270126,,,-2.64535
Maldives,claiming government benefits to which you are not entitled,-0.8097074895531984,,,-2.5152338
Maldives,avoiding a fare on public transport,-0.6836701957009946,,,-1.9184597
Maldives,stealing property,-0.9344508918977004,,,-2.9147143
Maldives,cheating on taxes,-0.9124839124839125,,,-2.9985707
Maldives,someone accepting a bribe in the course of their duties,-0.9358357394931024,,,-2.5078669
Maldives,homosexuality,-0.9419824448726183,,,-2.9215322
Maldives,prostitution,-0.9496410586092361,,,-3.1335292
Maldives,abortion,-0.659916425586628,,,-3.131277
Maldives,divorce,0.04976404976404976,,,-1.5031992
Maldives,sex before marriage,-0.8560703560703561,,,-2.7088897
Maldives,suicide,-0.9084589883434927,,,-2.8758302
Maldives,euthanasia,-0.776702161987738,,,-2.3916574
Maldives,for a man to beat his wife,-0.963784420872174,,,-2.3857121
Maldives,parents beating children,-0.916720188396489,,,-3.0370052
Maldives,violence against other people,-0.9466409514625523,,,-2.702133
Maldives,"terrorism as a political, ideological or religious mean",-0.951998285653059,,,-2.9330823
Maldives,having casual sex,-0.9272104474416614,,,-2.7774465
Maldives,political violence,-0.9521202361782071,,,-2.4431713
Maldives,death penalty,0.3744776599164256,,,-2.4387996
New Zealand,claiming government benefits to which you are not entitled,-0.7808338790657062,,,-1.4678485
New Zealand,avoiding a fare on public transport,-0.744888023369036,,,-1.147476
New Zealand,stealing property,-0.9143473570658037,,,-1.6180626
New Zealand,cheating on taxes,-0.8238218763510593,,,-1.9055557
New Zealand,someone accepting a bribe in the course of their duties,-0.9236178729849617,,,-1.7884855
New Zealand,homosexuality,0.40620490620490624,,,-1.0601513
New Zealand,prostitution,-0.03414290742696235,,,-1.4894466
New Zealand,abortion,0.29105911608454843,,,-1.4922409
New Zealand,divorce,0.5089605734767025,,,-0.4962759
New Zealand,sex before marriage,0.5333106344342299,,,-0.9291665
New Zealand,suicide,-0.48773448773448774,,,-1.541791
New Zealand,euthanasia,0.3568573712458604,,,-0.98623925
New Zealand,for a man to beat his wife,-0.9697068051498432,,,-1.8205563
New Zealand,parents beating children,-0.8950677506775069,,,-1.6078587
New Zealand,violence against other people,-0.8555446942543717,,,-1.4434893
New Zealand,"terrorism as a political, ideological or religious mean",-0.9576511678672779,,,-1.670537
New Zealand,having casual sex,0.049816345270890725,,,-1.4603529
New Zealand,political violence,-0.8237855946398661,,,-1.48861
New Zealand,death penalty,-0.27326710060523013,,,-1.1931698
Nigeria,claiming government benefits to which you are not entitled,-0.7770574464253557,,,-2.9027193
Nigeria,avoiding a fare on public transport,-0.7741731999639542,,,-2.2570577
Nigeria,stealing property,-0.8490328385065228,,,-3.1023664
Nigeria,cheating on taxes,-0.8245993156852152,,,-3.2015557
Nigeria,someone accepting a bribe in the course of their duties,-0.8412955465587044,,,-2.8915884
Nigeria,homosexuality,-0.8888888888888887,,,-3.415741
Nigeria,prostitution,-0.8588807785888077,,,-3.3407693
Nigeria,abortion,-0.8425097188319319,,,-3.3355987
Nigeria,divorce,-0.6720867208672088,,,-2.1510575
Nigeria,sex before marriage,-0.6242391205596439,,,-3.3270938
Nigeria,suicide,-0.8772024451636101,,,-3.0757
Nigeria,euthanasia,-0.8561097022635484,,,-3.0167155
Nigeria,for a man to beat his wife,-0.7900134952766532,,,-2.8571866
Nigeria,parents beating children,0.1220783890686803,,,-3.4049187
Nigeria,violence against other people,-0.8101140752717146,,,-3.0533755
Nigeria,"terrorism as a political, ideological or religious mean",-0.8531103919453433,,,-3.2602742
Nigeria,having casual sex,-0.6533550665580005,,,-3.465426
Nigeria,political violence,-0.8434016540812657,,,-2.9879222
Nigeria,death penalty,-0.6397085610200364,,,-2.8197703
Philippines,claiming government benefits to which you are not entitled,-0.04796296296296295,,,-1.987921
Philippines,avoiding a fare on public transport,-0.15299786859419887,,,-1.5111248
Philippines,stealing property,-0.4131625359695535,,,-2.1357524
Philippines,cheating on taxes,-0.31571137080319045,,,-2.2791488
Philippines,someone accepting a bribe in the course of their duties,-0.2851851851851852,,,-2.0279508
Philippines,homosexuality,-0.2066666666666667,,,-1.7205124
Philippines,prostitution,-0.38356037438606244,,,-2.1244705
Philippines,abortion,-0.5514814814814816,,,-2.6235948
Philippines,divorce,-0.2877777777777778,,,-1.1527433
Philippines,sex before marriage,-0.26340196624002965,,,-1.6256049
Philippines,suicide,-0.5277546103234176,,,-2.3904414
Philippines,euthanasia,-0.4166666666666667,,,-1.7718998
Philippines,for a man to beat his wife,-0.45825224724307295,,,-1.9606915
Philippines,parents beating children,-0.34129629629629626,,,-2.3356113
Philippines,violence against other people,-0.3935185185185185,,,-1.8395865
Philippines,"terrorism as a political, ideological or religious mean",-0.2940413307385784,,,-2.3559947
Philippines,having casual sex,-0.36208495640882954,,,-1.7814108
Philippines,political violence,-0.3346296296296296,,,-1.8787626
Philippines,death penalty,-0.3055323881011955,,,-1.8984163
Thailand,claiming government benefits to which you are not entitled,-0.729697242881827,,,-2.9681478
Thailand,avoiding a fare on public transport,-0.7297094938604372,,,-2.268119
Thailand,stealing property,-0.8148646627785253,,,-3.0919068
Thailand,cheating on taxes,-0.8337071930611634,,,-3.1252635
Thailand,someone accepting a bribe in the course of their duties,-0.8295199641094662,,,-2.8147452
Thailand,homosexuality,-0.2870931537598205,,,-3.3213646
Thailand,prostitution,-0.6677920324105334,,,-3.129869
Thailand,abortion,-0.6900269541778976,,,-3.4524803
Thailand,divorce,-0.20344182566404787,,,-2.1052833
Thailand,sex before marriage,-0.22702702702702704,,,-2.843964
Thailand,suicide,-0.6691358024691357,,,-3.167787
Thailand,euthanasia,-0.6094230624953109,,,-2.9078116
Thailand,for a man to beat his wife,-0.7782258064516129,,,-2.7697198
Thailand,parents beating children,-0.7067921990585071,,,-3.2243798
Thailand,violence against other people,-0.800941492938803,,,-3.009151
Thailand,"terrorism as a political, ideological or religious mean",-0.8100792582623,,,-3.1366959
Thailand,having casual sex,-0.6744534291704103,,,-2.7285933
Thailand,political violence,-0.7135171486213854,,,-2.682663
Thailand,death penalty,-0.22222222222222218,,,-2.9867177
Tunisia,claiming government benefits to which you are not entitled,-0.6081920118617365,,,-3.193412
Tunisia,avoiding a fare on public transport,-0.7509928881499954,,,-2.596971
Tunisia,stealing property,-0.8821464856377574,,,-3.1185527
Tunisia,cheating on taxes,-0.7953410981697171,,,-3.2249157
Tunisia,someone accepting a bribe in the course of their duties,-0.8359656414519256,,,-2.90873
Tunisia,homosexuality,-0.9084422203688258,,,-3.6301436
Tunisia,prostitution,-0.8507435115913918,,,-3.3296573
Tunisia,abortion,-0.6293829216393746,,,-3.3079956
Tunisia,divorce,-0.302141011443337,,,-2.737558
Tunisia,sex before marriage,-0.880655009714127,,,-3.7705681
Tunisia,suicide,-0.9032853451458104,,,-2.5422862
Tunisia,euthanasia,-0.81145341844759,,,-3.1393197
Tunisia,for a man to beat his wife,-0.7919896640826872,,,-2.9437318
Tunisia,parents beating children,-0.5544481358434846,,,-3.34478
Tunisia,violence against other people,-0.8917473490087598,,,-2.9611382
