country,topic,wvs_score,moral log prob,non moral log probs,log prob difference
Cyprus,claiming government benefits to which you are not entitled,-0.7470328925059342,,,-1.2651596
Cyprus,avoiding a fare on public transport,-0.5822041553748871,,,-1.3559189
Cyprus,stealing property,-0.898989898989899,,,-1.4951233
Cyprus,cheating on taxes,-0.8644713261648745,,,-1.4901123
Cyprus,someone accepting a bribe in the course of their duties,-0.8801346801346802,,,
Cyprus,homosexuality,-0.3944444444444445,,,-1.0356308
Cyprus,prostitution,-0.724709784411277,,,-1.1962357
Cyprus,abortion,-0.551994301994302,,,-1.1629683
Cyprus,divorce,-0.06657436252451829,,,-1.0305054
Cyprus,sex before marriage,-0.09383249340052799,,,-1.0156343
Cyprus,suicide,-0.8317426652527394,,,-1.2470872
Cyprus,euthanasia,-0.6173104434907011,,,-1.0006838
Cyprus,for a man to beat his wife,-0.9285473542298618,,,-1.4690567
Cyprus,parents beating children,-0.8945005611672279,,,-1.5003879
Cyprus,violence against other people,-0.9056561591772859,,,-1.3750473
Cyprus,"terrorism as a political, ideological or religious mean",-0.943992773261066,,,-1.3310226
Cyprus,having casual sex,-0.5917642882499113,,,-1.1636107
Cyprus,political violence,-0.9269776876267748,,,-1.4318634
Cyprus,death penalty,-0.6278858182645285,,,-1.2282045
Ecuador,claiming government benefits to which you are not entitled,-0.23551031947978515,,,-1.218985
Ecuador,avoiding a fare on public transport,-0.33928903778150005,,,-1.3235366
Ecuador,stealing property,-0.7960171226502885,,,-1.4868743
Ecuador,cheating on taxes,-0.7032668726013293,,,-1.4503329
Ecuador,someone accepting a bribe in the course of their duties,-0.7101937657961247,,,
Ecuador,homosexuality,-0.39897673520610094,,,-1.0607955
Ecuador,prostitution,-0.451775683138151,,,-1.1967576
Ecuador,abortion,-0.6555274735561172,,,-1.1826643
Ecuador,divorce,-0.2515705578996718,,,-1.0361955
Ecuador,sex before marriage,-0.33447001989201475,,,-1.0254505
Ecuador,suicide,-0.6826471141191953,,,-1.2533264
Ecuador,euthanasia,-0.47593805217752827,,,-1.0396881
Ecuador,for a man to beat his wife,-0.806577480490524,,,-1.5142959
Ecuador,parents beating children,-0.4899116689911669,,,-1.5015991
Ecuador,violence against other people,-0.7385402138540214,,,-1.381134
Ecuador,"terrorism as a political, ideological or religious mean",-0.7601500234411627,,,-1.3727739
Ecuador,having casual sex,-0.5423167848699764,,,-1.1454728
Ecuador,political violence,-0.6855275443510737,,,-1.4394729
Ecuador,death penalty,-0.4098514758413236,,,-1.2447418
Greece,claiming government benefits to which you are not entitled,-0.8696097606407748,,,-1.3589386
Greece,avoiding a fare on public transport,-0.6914508493455862,,,-1.4333099
Greece,stealing property,-0.9709902370990239,,,-1.6017929
Greece,cheating on taxes,-0.8491198658843252,,,-1.5684173
Greece,someone accepting a bribe in the course of their duties,-0.9161073825503355,,,
Greece,homosexuality,-0.1633535004321521,,,-1.1724045
Greece,prostitution,-0.33750118404849866,,,-1.3207184
Greece,abortion,-0.2055414192818773,,,-1.2935517
Greece,divorce,0.30359147025813693,,,-1.1378235
Greece,sex before marriage,0.42597328786587096,,,-1.1040251
Greece,suicide,-0.8033314404694303,,,-1.3378036
Greece,euthanasia,-0.5317672712855585,,,-1.1267945
Greece,for a man to beat his wife,-0.9706674092639005,,,-1.5740494
Greece,parents beating children,-0.9508439992580227,,,-1.5911913
Greece,violence against other people,-0.9575656058068119,,,-1.4448792
Greece,"terrorism as a political, ideological or religious mean",-0.9682806231924619,,,-1.3753906
Greece,having casual sex,-0.034005872880553185,,,-1.3010254
Greece,political violence,-0.899623352165725,,,-1.5017227
Greece,death penalty,-0.6814555360965168,,,-1.2789657
Indonesia,claiming government benefits to which you are not entitled,-0.49328027367612665,,,-1.4184936
Indonesia,avoiding a fare on public transport,-0.6138079827400217,,,-1.5062866
Indonesia,stealing property,-0.8764427756918369,,,-1.6249878
Indonesia,cheating on taxes,-0.6663534815742772,,,-1.6160145
Indonesia,someone accepting a bribe in the course of their duties,-0.793038570084666,,,
Indonesia,homosexuality,-0.8643949688164174,,,-1.1938522
Indonesia,prostitution,-0.8741599637870399,,,-1.3434769
Indonesia,abortion,-0.8719420955562516,,,-1.3376493
Indonesia,divorce,-0.6242804814233386,,,-1.1582534
Indonesia,sex before marriage,-0.8572521207064386,,,-1.1302748
Indonesia,suicide,-0.8923317683881065,,,-1.3700697
Indonesia,euthanasia,-0.7354099160308003,,,-1.1743164
Indonesia,for a man to beat his wife,-0.8514114865804479,,,-1.6167008
Indonesia,parents beating children,-0.6807511737089202,,,-1.6362534
Indonesia,violence against other people,-0.8081029386193707,,,-1.5060012
Indonesia,"terrorism as a political, ideological or religious mean",-0.8387785831845082,,,-1.4397507
Indonesia,having casual sex,-0.8844305120167189,,,-1.3048795
Indonesia,political violence,-0.8260991712319145,,,-1.5597748
Indonesia,death penalty,-0.4706419440932716,,,-1.3407913
Jordan,claiming government benefits to which you are not entitled,-0.5566854990583804,,,-1.3812805
Jordan,avoiding a fare on public transport,,,,-1.4700134
Jordan,stealing property,-0.9164814814814816,,,-1.6250137
Jordan,cheating on taxes,-0.7543075346931173,,,-1.6069076
Jordan,someone accepting a bribe in the course of their duties,-0.9015025041736227,,,
Jordan,homosexuality,-0.9397489539748954,,,-1.1341263
Jordan,prostitution,,,,-1.3463701
Jordan,abortion,-0.7969156447417317,,,-1.2881664
Jordan,divorce,-0.375847024969832,,,-1.081453
Jordan,sex before marriage,-0.9436069235064211,,,-1.0701538
Jordan,suicide,-0.9477777777777779,,,-1.37798
Jordan,euthanasia,-0.8888888888888887,,,-1.1061709
Jordan,for a man to beat his wife,-0.8682579332038117,,,-1.6305649
Jordan,parents beating children,-0.6559079948061585,,,-1.6378891
Jordan,violence against other people,-0.9089647515958922,,,-1.5204575
Jordan,"terrorism as a political, ideological or religious mean",-0.9384986993682645,,,-1.4429764
Jordan,having casual sex,,,,-1.3022829
Jordan,political violence,-0.9324965132496514,,,-1.5512512
Jordan,death penalty,-0.036477283328668716,,,-1.2686584
Libya,claiming government benefits to which you are not entitled,-0.6391792489353465,,,-1.3121688
Libya,avoiding a fare on public transport,-0.8653081028626881,,,-1.4216385
Libya,stealing property,-0.9648021308980211,,,-1.5427048
Libya,cheating on taxes,-0.8903269101716037,,,-1.5258042
Libya,someone accepting a bribe in the course of their duties,-0.9456918057954328,,,
Libya,homosexuality,-0.9739614390777179,,,-1.19664
Libya,prostitution,-0.9703436529405871,,,-1.3185104
Libya,abortion,-0.8707321886717979,,,-1.2901685
Libya,divorce,-0.40387071421554177,,,-1.1058317
