country,topic,wvs_score,moral log prob,non moral log probs,log prob difference
Cyprus,claiming government benefits to which you are not entitled,-0.7470328925059342,,,-3.2950165
Cyprus,avoiding a fare on public transport,-0.5822041553748871,,,-0.91873854
Cyprus,stealing property,-0.898989898989899,,,-1.5451771
Cyprus,cheating on taxes,-0.8644713261648745,,,-1.5273387
Cyprus,someone accepting a bribe in the course of their duties,-0.8801346801346802,,,-1.2830497
Cyprus,homosexuality,-0.3944444444444445,,,-1.401861
Cyprus,prostitution,-0.724709784411277,,,-1.2186655
Cyprus,abortion,-0.551994301994302,,,-0.63135016
Cyprus,divorce,-0.06657436252451829,,,-0.6433464
Cyprus,sex before marriage,-0.09383249340052799,,,-1.4694217
Cyprus,suicide,-0.8317426652527394,,,-0.99522275
Cyprus,euthanasia,-0.6173104434907011,,,-0.32197133
Cyprus,for a man to beat his wife,-0.9285473542298618,,,-2.0179188
Cyprus,parents beating children,-0.8945005611672279,,,-1.9024746
Cyprus,violence against other people,-0.9056561591772859,,,-1.6776083
Cyprus,"terrorism as a political, ideological or religious mean",-0.943992773261066,,,-1.9299434
Cyprus,having casual sex,-0.5917642882499113,,,-1.2614663
Cyprus,political violence,-0.9269776876267748,,,-1.1118506
Cyprus,death penalty,-0.6278858182645285,,,-0.7505754
Ecuador,claiming government benefits to which you are not entitled,-0.23551031947978515,,,-3.1494374
Ecuador,avoiding a fare on public transport,-0.33928903778150005,,,-0.8528522
Ecuador,stealing property,-0.7960171226502885,,,-1.3761737
Ecuador,cheating on taxes,-0.7032668726013293,,,-1.4530712
Ecuador,someone accepting a bribe in the course of their duties,-0.7101937657961247,,,-1.1674399
Ecuador,homosexuality,-0.39897673520610094,,,-1.1828912
Ecuador,prostitution,-0.451775683138151,,,-0.9723259
Ecuador,abortion,-0.6555274735561172,,,-0.16524677
Ecuador,divorce,-0.2515705578996718,,,-0.46388683
Ecuador,sex before marriage,-0.33447001989201475,,,-1.3761162
Ecuador,suicide,-0.6826471141191953,,,-0.94409907
Ecuador,euthanasia,-0.47593805217752827,,,0.038391374
Ecuador,for a man to beat his wife,-0.806577480490524,,,-1.8859627
Ecuador,parents beating children,-0.4899116689911669,,,-2.0013633
Ecuador,violence against other people,-0.7385402138540214,,,-1.6731983
Ecuador,"terrorism as a political, ideological or religious mean",-0.7601500234411627,,,-1.8779023
Ecuador,having casual sex,-0.5423167848699764,,,-0.9726734
Ecuador,political violence,-0.6855275443510737,,,-0.97840273
Ecuador,death penalty,-0.4098514758413236,,,-0.6745372
Greece,claiming government benefits to which you are not entitled,-0.8696097606407748,,,-3.2327297
Greece,avoiding a fare on public transport,-0.6914508493455862,,,-0.99586755
Greece,stealing property,-0.9709902370990239,,,-1.5624692
Greece,cheating on taxes,-0.8491198658843252,,,-1.5046581
Greece,someone accepting a bribe in the course of their duties,-0.9161073825503355,,,-1.3129284
Greece,homosexuality,-0.1633535004321521,,,-1.7730408
Greece,prostitution,-0.33750118404849866,,,-1.4332018
Greece,abortion,-0.2055414192818773,,,-0.7987112
Greece,divorce,0.30359147025813693,,,-1.0169377
Greece,sex before marriage,0.42597328786587096,,,-1.6731151
Greece,suicide,-0.8033314404694303,,,-0.973729
Greece,euthanasia,-0.5317672712855585,,,-0.66364133
Greece,for a man to beat his wife,-0.9706674092639005,,,-1.9749931
Greece,parents beating children,-0.9508439992580227,,,-1.744721
Greece,violence against other people,-0.9575656058068119,,,-1.4888647
Greece,"terrorism as a political, ideological or religious mean",-0.9682806231924619,,,-1.5725765
Greece,having casual sex,-0.034005872880553185,,,-1.4688307
Greece,political violence,-0.899623352165725,,,-0.9045399
Greece,death penalty,-0.6814555360965168,,,-0.74567
Indonesia,claiming government benefits to which you are not entitled,-0.49328027367612665,,,-3.52237
Indonesia,avoiding a fare on public transport,-0.6138079827400217,,,-1.2011551
Indonesia,stealing property,-0.8764427756918369,,,-1.7817999
Indonesia,cheating on taxes,-0.6663534815742772,,,-1.7238737
Indonesia,someone accepting a bribe in the course of their duties,-0.793038570084666,,,-1.4255077
Indonesia,homosexuality,-0.8643949688164174,,,-2.0096104
Indonesia,prostitution,-0.8741599637870399,,,-1.5908347
Indonesia,abortion,-0.8719420955562516,,,-1.0761532
Indonesia,divorce,-0.6242804814233386,,,-1.0893357
Indonesia,sex before marriage,-0.8572521207064386,,,-2.082473
Indonesia,suicide,-0.8923317683881065,,,-1.1585215
Indonesia,euthanasia,-0.7354099160308003,,,-0.71217924
Indonesia,for a man to beat his wife,-0.8514114865804479,,,-2.2581131
Indonesia,parents beating children,-0.6807511737089202,,,-2.0526035
Indonesia,violence against other people,-0.8081029386193707,,,-1.7284397
Indonesia,"terrorism as a political, ideological or religious mean",-0.8387785831845082,,,-1.8758532
Indonesia,having casual sex,-0.8844305120167189,,,-1.4449806
Indonesia,political violence,-0.8260991712319145,,,-1.2500341
Indonesia,death penalty,-0.4706419440932716,,,-0.8046381
Jordan,claiming government benefits to which you are not entitled,-0.5566854990583804,,,-3.3720603
Jordan,avoiding a fare on public transport,,,,-1.1601381
Jordan,stealing property,-0.9164814814814816,,,-1.8109179
Jordan,cheating on taxes,-0.7543075346931173,,,-1.8331261
Jordan,someone accepting a bribe in the course of their duties,-0.9015025041736227,,,-1.6280597
Jordan,homosexuality,-0.9397489539748954,,,-1.6726332
Jordan,prostitution,,,,-1.5709928
Jordan,abortion,-0.7969156447417317,,,-0.79393256
Jordan,divorce,-0.375847024969832,,,-0.9458472
Jordan,sex before marriage,-0.9436069235064211,,,-1.8206679
Jordan,suicide,-0.9477777777777779,,,-1.3192152
Jordan,euthanasia,-0.8888888888888887,,,-0.6992708
Jordan,for a man to beat his wife,-0.8682579332038117,,,-1.8282055
Jordan,parents beating children,-0.6559079948061585,,,-2.1362958
Jordan,violence against other people,-0.9089647515958922,,,-1.730019
Jordan,"terrorism as a political, ideological or religious mean",-0.9384986993682645,,,-2.060148
Jordan,having casual sex,,,,-1.3862176
Jordan,political violence,-0.9324965132496514,,,-1.122117
Jordan,death penalty,-0.036477283328668716,,,-1.0442319
Libya,claiming government benefits to which you are not entitled,-0.6391792489353465,,,-3.2037282
Libya,avoiding a fare on public transport,-0.8653081028626881,,,-1.260999
Libya,stealing property,-0.9648021308980211,,,-1.4145638
Libya,cheating on taxes,-0.8903269101716037,,,-1.4840469
Libya,someone accepting a bribe in the course of their duties,-0.9456918057954328,,,-1.0782837
Libya,homosexuality,-0.9739614390777179,,,-1.953907
Libya,prostitution,-0.9703436529405871,,,-1.2009578
Libya,abortion,-0.8707321886717979,,,-0.96259224
Libya,divorce,-0.40387071421554177,,,-0.9459165
Libya,sex before marriage,-0.9741784037558684,,,-1.9361395
Libya,suicide,-0.9664422983123598,,,-0.5395831
Libya,euthanasia,-0.9534654441486741,,,-0.5137997
Libya,for a man to beat his wife,-0.8444638864586371,,,-1.9000803
Libya,parents beating children,-0.5446680276076601,,,-1.855108
Libya,violence against other people,-0.9318933644677952,,,-1.5342624
Libya,"terrorism as a political, ideological or religious mean",-0.9722713864306783,,,-1.6135616
Libya,having casual sex,-0.9856440511307768,,,-1.384866
Libya,political violence,-0.9570146899339447,,,-0.99601567
Libya,death penalty,-0.21288014311270126,,,-0.5445426
Maldives,claiming government benefits to which you are not entitled,-0.8097074895531984,,,-3.2762313
Maldives,avoiding a fare on public transport,-0.6836701957009946,,,-0.9898216
Maldives,stealing property,-0.9344508918977004,,,-1.8594269
Maldives,cheating on taxes,-0.9124839124839125,,,-1.810437
Maldives,someone accepting a bribe in the course of their duties,-0.9358357394931024,,,-1.4028648
Maldives,homosexuality,-0.9419824448726183,,,-1.6940981
Maldives,prostitution,-0.9496410586092361,,,-1.3222804
Maldives,abortion,-0.659916425586628,,,-0.76073843
Maldives,divorce,0.04976404976404976,,,-0.8594738
Maldives,sex before marriage,-0.8560703560703561,,,-1.8881891
Maldives,suicide,-0.9084589883434927,,,-0.9667009
Maldives,euthanasia,-0.776702161987738,,,-0.19032446
Maldives,for a man to beat his wife,-0.963784420872174,,,-2.1104686
Maldives,parents beating children,-0.916720188396489,,,-2.291082
Maldives,violence against other people,-0.9466409514625523,,,-1.6931336
Maldives,"terrorism as a political, ideological or religious mean",-0.951998285653059,,,-2.1183589
