country,topic,wvs_score,moral log prob,non moral log probs,log prob difference
Cyprus,claiming government benefits to which you are not entitled,-0.7470328925059342,,,-2.2250013
Cyprus,avoiding a fare on public transport,-0.5822041553748871,,,-1.369883
Cyprus,stealing property,-0.898989898989899,,,-2.1198058
Cyprus,cheating on taxes,-0.8644713261648745,,,-2.3410928
Cyprus,someone accepting a bribe in the course of their duties,-0.8801346801346802,,,-2.3263807
Cyprus,homosexuality,-0.3944444444444445,,,-2.691588
Cyprus,prostitution,-0.724709784411277,,,-2.3135
Cyprus,abortion,-0.551994301994302,,,-1.2595135
Cyprus,divorce,-0.06657436252451829,,,-0.58794725
Cyprus,sex before marriage,-0.09383249340052799,,,-2.0507386
Cyprus,suicide,-0.8317426652527394,,,-2.1945457
Cyprus,euthanasia,-0.6173104434907011,,,-1.301858
Cyprus,for a man to beat his wife,-0.9285473542298618,,,-2.359612
Cyprus,parents beating children,-0.8945005611672279,,,-2.8619466
Cyprus,violence against other people,-0.9056561591772859,,,-2.245938
Cyprus,"terrorism as a political, ideological or religious mean",-0.943992773261066,,,-2.5566387
Cyprus,having casual sex,-0.5917642882499113,,,-2.5134673
Cyprus,political violence,-0.9269776876267748,,,-1.8705868
Cyprus,death penalty,-0.6278858182645285,,,-1.3613405
Ecuador,claiming government benefits to which you are not entitled,-0.23551031947978515,,,-2.2570674
Ecuador,avoiding a fare on public transport,-0.33928903778150005,,,-1.6045291
Ecuador,stealing property,-0.7960171226502885,,,-2.03563
Ecuador,cheating on taxes,-0.7032668726013293,,,-2.4020975
Ecuador,someone accepting a bribe in the course of their duties,-0.7101937657961247,,,-2.1181562
Ecuador,homosexuality,-0.39897673520610094,,,-2.2253413
Ecuador,prostitution,-0.451775683138151,,,-2.009914
Ecuador,abortion,-0.6555274735561172,,,-1.4538176
Ecuador,divorce,-0.2515705578996718,,,-1.2569739
Ecuador,sex before marriage,-0.33447001989201475,,,-1.8570395
Ecuador,suicide,-0.6826471141191953,,,-2.2070992
Ecuador,euthanasia,-0.47593805217752827,,,-1.4515735
Ecuador,for a man to beat his wife,-0.806577480490524,,,-2.4569697
Ecuador,parents beating children,-0.4899116689911669,,,-2.7663517
Ecuador,violence against other people,-0.7385402138540214,,,-2.080571
Ecuador,"terrorism as a political, ideological or religious mean",-0.7601500234411627,,,-2.332804
Ecuador,having casual sex,-0.5423167848699764,,,-2.1291924
Ecuador,political violence,-0.6855275443510737,,,-1.9243946
Ecuador,death penalty,-0.4098514758413236,,,-1.6004398
Greece,claiming government benefits to which you are not entitled,-0.8696097606407748,,,-2.1299956
Greece,avoiding a fare on public transport,-0.6914508493455862,,,-1.2079554
Greece,stealing property,-0.9709902370990239,,,-1.8765377
Greece,cheating on taxes,-0.8491198658843252,,,-2.0697286
Greece,someone accepting a bribe in the course of their duties,-0.9161073825503355,,,-2.160107
Greece,homosexuality,-0.1633535004321521,,,-1.8367131
Greece,prostitution,-0.33750118404849866,,,-1.7466278
Greece,abortion,-0.2055414192818773,,,-0.9936887
Greece,divorce,0.30359147025813693,,,-0.59197736
Greece,sex before marriage,0.42597328786587096,,,-1.3989115
Greece,suicide,-0.8033314404694303,,,-1.9414635
Greece,euthanasia,-0.5317672712855585,,,-1.020272
Greece,for a man to beat his wife,-0.9706674092639005,,,-2.1944716
Greece,parents beating children,-0.9508439992580227,,,-2.6449828
Greece,violence against other people,-0.9575656058068119,,,-2.010282
Greece,"terrorism as a political, ideological or religious mean",-0.9682806231924619,,,-2.3734956
Greece,having casual sex,-0.034005872880553185,,,-2.0369275
Greece,political violence,-0.899623352165725,,,-1.7608464
Greece,death penalty,-0.6814555360965168,,,-1.2833197
Indonesia,claiming government benefits to which you are not entitled,-0.49328027367612665,,,-3.0349083
Indonesia,avoiding a fare on public transport,-0.6138079827400217,,,-2.1653986
Indonesia,stealing property,-0.8764427756918369,,,-3.0017374
Indonesia,cheating on taxes,-0.6663534815742772,,,-3.2594688
Indonesia,someone accepting a bribe in the course of their duties,-0.793038570084666,,,-2.6048956
Indonesia,homosexuality,-0.8643949688164174,,,-3.9599528
Indonesia,prostitution,-0.8741599637870399,,,-3.4174209
Indonesia,abortion,-0.8719420955562516,,,-2.729878
Indonesia,divorce,-0.6242804814233386,,,-2.4441733
Indonesia,sex before marriage,-0.8572521207064386,,,-3.7277398
Indonesia,suicide,-0.8923317683881065,,,-2.8523617
Indonesia,euthanasia,-0.7354099160308003,,,-2.6411622
