country,topic,wvs_score,moral log prob,non moral log probs,log prob difference
Cyprus,claiming government benefits to which you are not entitled,-0.7470328925059342,,,-1.3394976
Cyprus,avoiding a fare on public transport,-0.5822041553748871,,,-1.1726074
Cyprus,stealing property,-0.898989898989899,,,-1.2464936
Cyprus,cheating on taxes,-0.8644713261648745,,,-1.3876175
Cyprus,someone accepting a bribe in the course of their duties,-0.8801346801346802,,,-1.6163574
Cyprus,homosexuality,-0.3944444444444445,,,-0.73043364
Cyprus,prostitution,-0.724709784411277,,,-1.1149765
Cyprus,abortion,-0.551994301994302,,,-0.84287775
Cyprus,divorce,-0.06657436252451829,,,-0.5033506
Cyprus,sex before marriage,-0.09383249340052799,,,-0.94816744
Cyprus,suicide,-0.8317426652527394,,,-1.0075363
Cyprus,euthanasia,-0.6173104434907011,,,-0.63359815
Cyprus,for a man to beat his wife,-0.9285473542298618,,,-1.6792507
Cyprus,parents beating children,-0.8945005611672279,,,-1.3615249
Cyprus,violence against other people,-0.9056561591772859,,,-1.3628906
Cyprus,"terrorism as a political, ideological or religious mean",-0.943992773261066,,,-1.6531693
Cyprus,having casual sex,-0.5917642882499113,,,-1.0023301
Cyprus,political violence,-0.9269776876267748,,,-1.3630493
Cyprus,death penalty,-0.6278858182645285,,,-0.95183736
Ecuador,claiming government benefits to which you are not entitled,-0.23551031947978515,,,-1.3292646
Ecuador,avoiding a fare on public transport,-0.33928903778150005,,,-1.148227
Ecuador,stealing property,-0.7960171226502885,,,-1.2290466
Ecuador,cheating on taxes,-0.7032668726013293,,,-1.3654525
Ecuador,someone accepting a bribe in the course of their duties,-0.7101937657961247,,,-1.5486008
Ecuador,homosexuality,-0.39897673520610094,,,-0.7305843
Ecuador,prostitution,-0.451775683138151,,,-1.1166213
Ecuador,abortion,-0.6555274735561172,,,-0.85439473
Ecuador,divorce,-0.2515705578996718,,,-0.52032167
Ecuador,sex before marriage,-0.33447001989201475,,,-0.915419
Ecuador,suicide,-0.6826471141191953,,,-1.0123733
Ecuador,euthanasia,-0.47593805217752827,,,-0.7067369
Ecuador,for a man to beat his wife,-0.806577480490524,,,-1.655159
Ecuador,parents beating children,-0.4899116689911669,,,-1.3701721
Ecuador,violence against other people,-0.7385402138540214,,,-1.342128
Ecuador,"terrorism as a political, ideological or religious mean",-0.7601500234411627,,,-1.5985168
Ecuador,having casual sex,-0.5423167848699764,,,-0.98325044
Ecuador,political violence,-0.6855275443510737,,,-1.3391373
Ecuador,death penalty,-0.4098514758413236,,,-0.9491701
