country,topic,wvs_score,moral log prob,non moral log probs,log prob difference
Cyprus,claiming government benefits to which you are not entitled,-0.7470328925059342,,,-1.7760665
Cyprus,avoiding a fare on public transport,-0.5822041553748871,,,-1.5633224
Cyprus,stealing property,-0.898989898989899,,,-1.9312437
Cyprus,cheating on taxes,-0.8644713261648745,,,-2.0075898
Cyprus,someone accepting a bribe in the course of their duties,-0.8801346801346802,,,-2.013875
Cyprus,homosexuality,-0.3944444444444445,,,-0.9666748
Cyprus,prostitution,-0.724709784411277,,,-1.5900848
Cyprus,abortion,-0.551994301994302,,,-1.2479845
Cyprus,divorce,-0.06657436252451829,,,-0.56447905
Cyprus,sex before marriage,-0.09383249340052799,,,-0.5890093
Cyprus,suicide,-0.8317426652527394,,,-1.5931427
Cyprus,euthanasia,-0.6173104434907011,,,-1.1419952
Cyprus,for a man to beat his wife,-0.9285473542298618,,,-1.9458631
Cyprus,parents beating children,-0.8945005611672279,,,-1.8423626
Cyprus,violence against other people,-0.9056561591772859,,,-1.8638766
Cyprus,"terrorism as a political, ideological or religious mean",-0.943992773261066,,,-1.8275541
Cyprus,having casual sex,-0.5917642882499113,,,-1.4040006
Cyprus,political violence,-0.9269776876267748,,,-1.7404206
Cyprus,death penalty,-0.6278858182645285,,,-1.198506
Ecuador,claiming government benefits to which you are not entitled,-0.23551031947978515,,,-1.8715502
Ecuador,avoiding a fare on public transport,-0.33928903778150005,,,-1.6582502
Ecuador,stealing property,-0.7960171226502885,,,-1.9756134
Ecuador,cheating on taxes,-0.7032668726013293,,,-2.1383667
Ecuador,someone accepting a bribe in the course of their duties,-0.7101937657961247,,,-2.0890384
Ecuador,homosexuality,-0.39897673520610094,,,-0.7815067
Ecuador,prostitution,-0.451775683138151,,,-1.5480225
Ecuador,abortion,-0.6555274735561172,,,-1.2264376
Ecuador,divorce,-0.2515705578996718,,,-0.58166945
Ecuador,sex before marriage,-0.33447001989201475,,,-0.37906322
Ecuador,suicide,-0.6826471141191953,,,-1.6175553
Ecuador,euthanasia,-0.47593805217752827,,,-1.1752611
Ecuador,for a man to beat his wife,-0.806577480490524,,,-2.0822635
Ecuador,parents beating children,-0.4899116689911669,,,-1.9052597
Ecuador,violence against other people,-0.7385402138540214,,,-1.9519913
Ecuador,"terrorism as a political, ideological or religious mean",-0.7601500234411627,,,-1.9263151
Ecuador,having casual sex,-0.5423167848699764,,,-1.1466202
Ecuador,political violence,-0.6855275443510737,,,-1.824399
Ecuador,death penalty,-0.4098514758413236,,,-1.2876968
Greece,claiming government benefits to which you are not entitled,-0.8696097606407748,,,-1.7449296
Greece,avoiding a fare on public transport,-0.6914508493455862,,,-1.5931244
Greece,stealing property,-0.9709902370990239,,,-1.832161
Greece,cheating on taxes,-0.8491198658843252,,,-1.9084505
Greece,someone accepting a bribe in the course of their duties,-0.9161073825503355,,,-1.9132293
Greece,homosexuality,-0.1633535004321521,,,-1.3006926
Greece,prostitution,-0.33750118404849866,,,-1.6962007
Greece,abortion,-0.2055414192818773,,,-1.3935366
Greece,divorce,0.30359147025813693,,,-0.8428694
Greece,sex before marriage,0.42597328786587096,,,-1.0394318
Greece,suicide,-0.8033314404694303,,,-1.5820725
Greece,euthanasia,-0.5317672712855585,,,-1.3257128
Greece,for a man to beat his wife,-0.9706674092639005,,,-1.8749268
Greece,parents beating children,-0.9508439992580227,,,-1.7046006
Greece,violence against other people,-0.9575656058068119,,,-1.8192673
Greece,"terrorism as a political, ideological or religious mean",-0.9682806231924619,,,-1.7922792
Greece,having casual sex,-0.034005872880553185,,,-1.5873492
Greece,political violence,-0.899623352165725,,,-1.7164538
Greece,death penalty,-0.6814555360965168,,,-1.2379351
Indonesia,claiming government benefits to which you are not entitled,-0.49328027367612665,,,-1.8676727
Indonesia,avoiding a fare on public transport,-0.6138079827400217,,,-1.6847942
Indonesia,stealing property,-0.8764427756918369,,,-1.9884491
Indonesia,cheating on taxes,-0.6663534815742772,,,-2.123958
