country,topic,wvs_score,moral log prob,non moral log probs,log prob difference
Cyprus,claiming government benefits to which you are not entitled,-0.7470328925059342,,,-0.7486434
Cyprus,avoiding a fare on public transport,-0.5822041553748871,,,-0.32460245
Cyprus,stealing property,-0.898989898989899,,,-1.2431414
Cyprus,cheating on taxes,-0.8644713261648745,,,-1.4047867
Cyprus,someone accepting a bribe in the course of their duties,-0.8801346801346802,,,-1.239241
Cyprus,homosexuality,-0.3944444444444445,,,-0.64193165
Cyprus,prostitution,-0.724709784411277,,,-1.2422287
Cyprus,abortion,-0.551994301994302,,,-0.88543
Cyprus,divorce,-0.06657436252451829,,,-0.24013409
Cyprus,sex before marriage,-0.09383249340052799,,,-0.40314978
Cyprus,suicide,-0.8317426652527394,,,-0.79890645
Cyprus,euthanasia,-0.6173104434907011,,,-0.53695476
Cyprus,for a man to beat his wife,-0.9285473542298618,,,-1.1006174
Cyprus,parents beating children,-0.8945005611672279,,,-1.4032236
Cyprus,violence against other people,-0.9056561591772859,,,-1.3553902
Cyprus,"terrorism as a political, ideological or religious mean",-0.943992773261066,,,-1.1713411
Cyprus,having casual sex,-0.5917642882499113,,,-1.5716718
Cyprus,political violence,-0.9269776876267748,,,-1.037249
Cyprus,death penalty,-0.6278858182645285,,,-0.8369161
Ecuador,claiming government benefits to which you are not entitled,-0.23551031947978515,,,-1.1155102
Ecuador,avoiding a fare on public transport,-0.33928903778150005,,,-0.41180468
Ecuador,stealing property,-0.7960171226502885,,,-1.5145524
Ecuador,cheating on taxes,-0.7032668726013293,,,-1.8488591
Ecuador,someone accepting a bribe in the course of their duties,-0.7101937657961247,,,-1.3621598
Ecuador,homosexuality,-0.39897673520610094,,,-0.91419995
Ecuador,prostitution,-0.451775683138151,,,-1.5046556
Ecuador,abortion,-0.6555274735561172,,,-1.1860673
Ecuador,divorce,-0.2515705578996718,,,-0.64872324
Ecuador,sex before marriage,-0.33447001989201475,,,-0.82020223
Ecuador,suicide,-0.6826471141191953,,,-1.0538208
Ecuador,euthanasia,-0.47593805217752827,,,-0.71223235
Ecuador,for a man to beat his wife,-0.806577480490524,,,-1.3901007
Ecuador,parents beating children,-0.4899116689911669,,,-1.726564
Ecuador,violence against other people,-0.7385402138540214,,,-1.6184108
Ecuador,"terrorism as a political, ideological or religious mean",-0.7601500234411627,,,-1.373112
Ecuador,having casual sex,-0.5423167848699764,,,-1.6587588
Ecuador,political violence,-0.6855275443510737,,,-1.4062573
Ecuador,death penalty,-0.4098514758413236,,,-1.1549232
Greece,claiming government benefits to which you are not entitled,-0.8696097606407748,,,-0.30726853
Greece,avoiding a fare on public transport,-0.6914508493455862,,,0.24382162
Greece,stealing property,-0.9709902370990239,,,-0.79149896
Greece,cheating on taxes,-0.8491198658843252,,,-1.1137121
Greece,someone accepting a bribe in the course of their duties,-0.9161073825503355,,,-0.8700468
Greece,homosexuality,-0.1633535004321521,,,0.0710576
Greece,prostitution,-0.33750118404849866,,,-0.7222852
Greece,abortion,-0.2055414192818773,,,-0.22343083
Greece,divorce,0.30359147025813693,,,0.29560113
Greece,sex before marriage,0.42597328786587096,,,0.41076747
Greece,suicide,-0.8033314404694303,,,-0.20714483
Greece,euthanasia,-0.5317672712855585,,,0.08797932
Greece,for a man to beat his wife,-0.9706674092639005,,,-0.6830473
Greece,parents beating children,-0.9508439992580227,,,-1.06088
Greece,violence against other people,-0.9575656058068119,,,-0.9921526
Greece,"terrorism as a political, ideological or religious mean",-0.9682806231924619,,,-0.84023
Greece,having casual sex,-0.034005872880553185,,,-0.8454197
Greece,political violence,-0.899623352165725,,,-0.677416
Greece,death penalty,-0.6814555360965168,,,-0.2883748
Indonesia,claiming government benefits to which you are not entitled,-0.49328027367612665,,,-1.8929055
Indonesia,avoiding a fare on public transport,-0.6138079827400217,,,-1.4083769
Indonesia,stealing property,-0.8764427756918369,,,-2.1490042
Indonesia,cheating on taxes,-0.6663534815742772,,,-2.351819
Indonesia,someone accepting a bribe in the course of their duties,-0.793038570084666,,,-2.1591842
Indonesia,homosexuality,-0.8643949688164174,,,-2.4152255
Indonesia,prostitution,-0.8741599637870399,,,-2.4746444
Indonesia,abortion,-0.8719420955562516,,,-2.3976917
Indonesia,divorce,-0.6242804814233386,,,-1.9787958
Indonesia,sex before marriage,-0.8572521207064386,,,-2.573998
Indonesia,suicide,-0.8923317683881065,,,-1.9003057
