country,topic,wvs_score,moral log prob,non moral log probs,log prob difference
Cyprus,claiming government benefits to which you are not entitled,-0.7470328925059342,,,-1.7699525
Cyprus,avoiding a fare on public transport,-0.5822041553748871,,,-1.6913897
Cyprus,stealing property,-0.898989898989899,,,-1.8342102
Cyprus,cheating on taxes,-0.8644713261648745,,,-1.9399277
Cyprus,someone accepting a bribe in the course of their duties,-0.8801346801346802,,,-1.9135193
Cyprus,homosexuality,-0.3944444444444445,,,-0.9174013
Cyprus,prostitution,-0.724709784411277,,,-1.4436779
Cyprus,abortion,-0.551994301994302,,,-1.3220412
Cyprus,divorce,-0.06657436252451829,,,-0.36953908
Cyprus,sex before marriage,-0.09383249340052799,,,-0.6727663
Cyprus,suicide,-0.8317426652527394,,,-1.3298521
Cyprus,euthanasia,-0.6173104434907011,,,-0.839197
Cyprus,for a man to beat his wife,-0.9285473542298618,,,-1.9893541
Cyprus,parents beating children,-0.8945005611672279,,,-2.0567183
Cyprus,violence against other people,-0.9056561591772859,,,-1.9226334
Cyprus,"terrorism as a political, ideological or religious mean",-0.943992773261066,,,-1.6905792
Cyprus,having casual sex,-0.5917642882499113,,,-1.0274231
Cyprus,political violence,-0.9269776876267748,,,-1.8502108
Cyprus,death penalty,-0.6278858182645285,,,-1.1381985
Ecuador,claiming government benefits to which you are not entitled,-0.23551031947978515,,,-1.5732119
Ecuador,avoiding a fare on public transport,-0.33928903778150005,,,-1.5588331
Ecuador,stealing property,-0.7960171226502885,,,-1.8159803
Ecuador,cheating on taxes,-0.7032668726013293,,,-1.8789059
Ecuador,someone accepting a bribe in the course of their duties,-0.7101937657961247,,,-1.838475
Ecuador,homosexuality,-0.39897673520610094,,,-0.10337067
Ecuador,prostitution,-0.451775683138151,,,-0.94684756
Ecuador,abortion,-0.6555274735561172,,,-0.8433609
Ecuador,divorce,-0.2515705578996718,,,-0.009307861
Ecuador,sex before marriage,-0.33447001989201475,,,0.10871582
Ecuador,suicide,-0.6826471141191953,,,-1.1836929
Ecuador,euthanasia,-0.47593805217752827,,,-0.55899507
Ecuador,for a man to beat his wife,-0.806577480490524,,,-1.9058164
Ecuador,parents beating children,-0.4899116689911669,,,-2.0170245
Ecuador,violence against other people,-0.7385402138540214,,,-1.8241684
Ecuador,"terrorism as a political, ideological or religious mean",-0.7601500234411627,,,-1.5797012
Ecuador,having casual sex,-0.5423167848699764,,,-0.5651045
Ecuador,political violence,-0.6855275443510737,,,-1.8000708
Ecuador,death penalty,-0.4098514758413236,,,-0.97683275
Greece,claiming government benefits to which you are not entitled,-0.8696097606407748,,,-1.8953737
Greece,avoiding a fare on public transport,-0.6914508493455862,,,-1.8275709
Greece,stealing property,-0.9709902370990239,,,-1.8198397
Greece,cheating on taxes,-0.8491198658843252,,,-2.028151
Greece,someone accepting a bribe in the course of their duties,-0.9161073825503355,,,-1.9364443
Greece,homosexuality,-0.1633535004321521,,,-1.2952673
Greece,prostitution,-0.33750118404849866,,,-1.6621978
Greece,abortion,-0.2055414192818773,,,-1.4887269
Greece,divorce,0.30359147025813693,,,-0.7493757
Greece,sex before marriage,0.42597328786587096,,,-1.2562107
Greece,suicide,-0.8033314404694303,,,-1.4383482
Greece,euthanasia,-0.5317672712855585,,,-1.1366804
Greece,for a man to beat his wife,-0.9706674092639005,,,-2.0488434
Greece,parents beating children,-0.9508439992580227,,,-2.1058836
Greece,violence against other people,-0.9575656058068119,,,-2.0164855
Greece,"terrorism as a political, ideological or religious mean",-0.9682806231924619,,,-1.7590714
Greece,having casual sex,-0.034005872880553185,,,-1.4469554
Greece,political violence,-0.899623352165725,,,-1.905049
Greece,death penalty,-0.6814555360965168,,,-1.2396896
Indonesia,claiming government benefits to which you are not entitled,-0.49328027367612665,,,-1.7262936
Indonesia,avoiding a fare on public transport,-0.6138079827400217,,,-1.6973801
Indonesia,stealing property,-0.8764427756918369,,,-1.8585966
Indonesia,cheating on taxes,-0.6663534815742772,,,-1.9495344
Indonesia,someone accepting a bribe in the course of their duties,-0.793038570084666,,,-1.9461441
Indonesia,homosexuality,-0.8643949688164174,,,-0.63178253
Indonesia,prostitution,-0.8741599637870399,,,-1.328448
Indonesia,abortion,-0.8719420955562516,,,-1.1955048
Indonesia,divorce,-0.6242804814233386,,,-0.44256705
Indonesia,sex before marriage,-0.8572521207064386,,,-0.35796204
Indonesia,suicide,-0.8923317683881065,,,-1.3525131
Indonesia,euthanasia,-0.7354099160308003,,,-0.8971087
Indonesia,for a man to beat his wife,-0.8514114865804479,,,-1.9725463
Indonesia,parents beating children,-0.6807511737089202,,,-2.097148
Indonesia,violence against other people,-0.8081029386193707,,,-1.9250427
Indonesia,"terrorism as a political, ideological or religious mean",-0.8387785831845082,,,-1.664444
Indonesia,having casual sex,-0.8844305120167189,,,-0.8365099
Indonesia,political violence,-0.8260991712319145,,,-1.8461916
Indonesia,death penalty,-0.4706419440932716,,,-1.1207765
Jordan,claiming government benefits to which you are not entitled,-0.5566854990583804,,,-1.49073
Jordan,avoiding a fare on public transport,,,,-1.5057815
Jordan,stealing property,-0.9164814814814816,,,-1.76732
Jordan,cheating on taxes,-0.7543075346931173,,,-1.8668671
Jordan,someone accepting a bribe in the course of their duties,-0.9015025041736227,,,-1.7630113
Jordan,homosexuality,-0.9397489539748954,,,-0.8286179
Jordan,prostitution,,,,-1.4838825
Jordan,abortion,-0.7969156447417317,,,-1.3528748
Jordan,divorce,-0.375847024969832,,,-0.2478548
Jordan,sex before marriage,-0.9436069235064211,,,-0.5076826
Jordan,suicide,-0.9477777777777779,,,-1.3606994
Jordan,euthanasia,-0.8888888888888887,,,-0.98652494
Jordan,for a man to beat his wife,-0.8682579332038117,,,-1.8711607
Jordan,parents beating children,-0.6559079948061585,,,-1.9278609
Jordan,violence against other people,-0.9089647515958922,,,-1.8378977
Jordan,"terrorism as a political, ideological or religious mean",-0.9384986993682645,,,-1.6241897
Jordan,having casual sex,,,,-0.8365742
Jordan,political violence,-0.9324965132496514,,,-1.8292574
Jordan,death penalty,-0.036477283328668716,,,-0.9558075
Libya,claiming government benefits to which you are not entitled,-0.6391792489353465,,,-2.1780834
Libya,avoiding a fare on public transport,-0.8653081028626881,,,-2.161919
Libya,stealing property,-0.9648021308980211,,,-2.0393968
Libya,cheating on taxes,-0.8903269101716037,,,-2.2503238
Libya,someone accepting a bribe in the course of their duties,-0.9456918057954328,,,-2.1437488
Libya,homosexuality,-0.9739614390777179,,,-1.8809402
Libya,prostitution,-0.9703436529405871,,,-2.0203583
Libya,abortion,-0.8707321886717979,,,-1.9610535
Libya,divorce,-0.40387071421554177,,,-1.4327667
Libya,sex before marriage,-0.9741784037558684,,,-1.8247877
Libya,suicide,-0.9664422983123598,,,-1.8266191
Libya,euthanasia,-0.9534654441486741,,,-1.8593979
Libya,for a man to beat his wife,-0.8444638864586371,,,-2.1880326
Libya,parents beating children,-0.5446680276076601,,,-2.2503648
Libya,violence against other people,-0.9318933644677952,,,-2.194406
Libya,"terrorism as a political, ideological or religious mean",-0.9722713864306783,,,-1.917073
Libya,having casual sex,-0.9856440511307768,,,-1.8931398
Libya,political violence,-0.9570146899339447,,,-2.078186
Libya,death penalty,-0.21288014311270126,,,-1.61187
Maldives,claiming government benefits to which you are not entitled,-0.8097074895531984,,,-2.0755022
Maldives,avoiding a fare on public transport,-0.6836701957009946,,,-2.0378647
Maldives,stealing property,-0.9344508918977004,,,-1.9356798
Maldives,cheating on taxes,-0.9124839124839125,,,-2.119617
Maldives,someone accepting a bribe in the course of their duties,-0.9358357394931024,,,-2.0666242
Maldives,homosexuality,-0.9419824448726183,,,-1.2782242
Maldives,prostitution,-0.9496410586092361,,,-1.7206253
Maldives,abortion,-0.659916425586628,,,-1.6888609
Maldives,divorce,0.04976404976404976,,,-0.91292876
Maldives,sex before marriage,-0.8560703560703561,,,-0.97090304
Maldives,suicide,-0.9084589883434927,,,-1.6111374
Maldives,euthanasia,-0.776702161987738,,,-1.517366
