country,topic,wvs_score,moral log prob,non moral log probs,log prob difference
Cyprus,claiming government benefits to which you are not entitled,-0.7470328925059342,,,-2.8630028
Cyprus,avoiding a fare on public transport,-0.5822041553748871,,,-0.777727
Cyprus,stealing property,-0.898989898989899,,,-1.7323768
Cyprus,cheating on taxes,-0.8644713261648745,,,-1.8478763
Cyprus,someone accepting a bribe in the course of their duties,-0.8801346801346802,,,-1.1121396
Cyprus,homosexuality,-0.3944444444444445,,,-0.97189367
Cyprus,prostitution,-0.724709784411277,,,-0.9719736
Cyprus,abortion,-0.551994301994302,,,-0.67804354
Cyprus,divorce,-0.06657436252451829,,,-0.3228541
Cyprus,sex before marriage,-0.09383249340052799,,,-0.91843385
Cyprus,suicide,-0.8317426652527394,,,-0.8697716
Cyprus,euthanasia,-0.6173104434907011,,,-0.89430505
Cyprus,for a man to beat his wife,-0.9285473542298618,,,-1.6932003
Cyprus,parents beating children,-0.8945005611672279,,,-1.5665115
Cyprus,violence against other people,-0.9056561591772859,,,-1.2293742
Cyprus,"terrorism as a political, ideological or religious mean",-0.943992773261066,,,-1.4304719
Cyprus,having casual sex,-0.5917642882499113,,,-1.4933357
Cyprus,political violence,-0.9269776876267748,,,-0.036043905
Cyprus,death penalty,-0.6278858182645285,,,-0.82556313
Ecuador,claiming government benefits to which you are not entitled,-0.23551031947978515,,,-2.9936223
Ecuador,avoiding a fare on public transport,-0.33928903778150005,,,-1.0593175
Ecuador,stealing property,-0.7960171226502885,,,-1.8901583
Ecuador,cheating on taxes,-0.7032668726013293,,,-1.9972988
Ecuador,someone accepting a bribe in the course of their duties,-0.7101937657961247,,,-1.2230785
Ecuador,homosexuality,-0.39897673520610094,,,-1.0838234
Ecuador,prostitution,-0.451775683138151,,,-1.0533633
Ecuador,abortion,-0.6555274735561172,,,-0.7461193
Ecuador,divorce,-0.2515705578996718,,,-0.86304855
Ecuador,sex before marriage,-0.33447001989201475,,,-1.1592258
Ecuador,suicide,-0.6826471141191953,,,-1.1525093
Ecuador,euthanasia,-0.47593805217752827,,,-0.93038523
Ecuador,for a man to beat his wife,-0.806577480490524,,,-1.8562307
Ecuador,parents beating children,-0.4899116689911669,,,-1.7784662
Ecuador,violence against other people,-0.7385402138540214,,,-1.4595155
Ecuador,"terrorism as a political, ideological or religious mean",-0.7601500234411627,,,-1.660759
Ecuador,having casual sex,-0.5423167848699764,,,-1.7145908
Ecuador,political violence,-0.6855275443510737,,,-0.3220073
