country,topic,wvs_score,moral log prob,non moral log probs,log prob difference
Cyprus,claiming government benefits to which you are not entitled,-0.7470328925059342,,,-1.7450228
Cyprus,avoiding a fare on public transport,-0.5822041553748871,,,-1.4917557
Cyprus,stealing property,-0.898989898989899,,,-1.6208165
Cyprus,cheating on taxes,-0.8644713261648745,,,-1.907747
Cyprus,someone accepting a bribe in the course of their duties,-0.8801346801346802,,,-1.7942976
Cyprus,homosexuality,-0.3944444444444445,,,-1.1950945
Cyprus,prostitution,-0.724709784411277,,,-1.5524276
Cyprus,abortion,-0.551994301994302,,,-1.394167
Cyprus,divorce,-0.06657436252451829,,,-0.9048767
Cyprus,sex before marriage,-0.09383249340052799,,,-1.3470316
Cyprus,suicide,-0.8317426652527394,,,-1.1035585
Cyprus,euthanasia,-0.6173104434907011,,,-1.2364668
Cyprus,for a man to beat his wife,-0.9285473542298618,,,-1.7763474
Cyprus,parents beating children,-0.8945005611672279,,,-1.6730312
Cyprus,violence against other people,-0.9056561591772859,,,-1.6591307
Cyprus,"terrorism as a political, ideological or religious mean",-0.943992773261066,,,-1.5206633
Cyprus,having casual sex,-0.5917642882499113,,,-1.5283554
Cyprus,political violence,-0.9269776876267748,,,-1.5368255
Cyprus,death penalty,-0.6278858182645285,,,-1.2861664
Ecuador,claiming government benefits to which you are not entitled,-0.23551031947978515,,,-1.7781618
Ecuador,avoiding a fare on public transport,-0.33928903778150005,,,-1.4852861
Ecuador,stealing property,-0.7960171226502885,,,-1.690149
Ecuador,cheating on taxes,-0.7032668726013293,,,-1.9993283
Ecuador,someone accepting a bribe in the course of their duties,-0.7101937657961247,,,-1.8299652
Ecuador,homosexuality,-0.39897673520610094,,,-1.0198958
Ecuador,prostitution,-0.451775683138151,,,-1.4337966
Ecuador,abortion,-0.6555274735561172,,,-1.3613905
Ecuador,divorce,-0.2515705578996718,,,-0.93371296
Ecuador,sex before marriage,-0.33447001989201475,,,-1.1355107
Ecuador,suicide,-0.6826471141191953,,,-1.2245833
Ecuador,euthanasia,-0.47593805217752827,,,-1.2954118
Ecuador,for a man to beat his wife,-0.806577480490524,,,-1.8480774
Ecuador,parents beating children,-0.4899116689911669,,,-1.7171357
Ecuador,violence against other people,-0.7385402138540214,,,-1.7001528
Ecuador,"terrorism as a political, ideological or religious mean",-0.7601500234411627,,,-1.555397
Ecuador,having casual sex,-0.5423167848699764,,,-1.2085507
Ecuador,political violence,-0.6855275443510737,,,-1.5921385
Ecuador,death penalty,-0.4098514758413236,,,-1.3270767
Greece,claiming government benefits to which you are not entitled,-0.8696097606407748,,,-1.7333114
Greece,avoiding a fare on public transport,-0.6914508493455862,,,-1.506534
Greece,stealing property,-0.9709902370990239,,,-1.6375593
Greece,cheating on taxes,-0.8491198658843252,,,-1.8889393
Greece,someone accepting a bribe in the course of their duties,-0.9161073825503355,,,-1.7572773
Greece,homosexuality,-0.1633535004321521,,,-1.2817824
Greece,prostitution,-0.33750118404849866,,,-1.6028492
Greece,abortion,-0.2055414192818773,,,-1.498712
Greece,divorce,0.30359147025813693,,,-1.1039383
Greece,sex before marriage,0.42597328786587096,,,-1.4617646
Greece,suicide,-0.8033314404694303,,,-1.1683136
Greece,euthanasia,-0.5317672712855585,,,-1.3754623
Greece,for a man to beat his wife,-0.9706674092639005,,,-1.7770723
Greece,parents beating children,-0.9508439992580227,,,-1.6664261
Greece,violence against other people,-0.9575656058068119,,,-1.6743683
Greece,"terrorism as a political, ideological or religious mean",-0.9682806231924619,,,-1.5122786
Greece,having casual sex,-0.034005872880553185,,,-1.5958998
Greece,political violence,-0.899623352165725,,,-1.5477098
Greece,death penalty,-0.6814555360965168,,,-1.3414505
Indonesia,claiming government benefits to which you are not entitled,-0.49328027367612665,,,-1.8321626
Indonesia,avoiding a fare on public transport,-0.6138079827400217,,,-1.5878782
Indonesia,stealing property,-0.8764427756918369,,,-1.7562819
