country,prompt,topic,wvs_score,gpt3_score_mean,gpt_var,repeat
Cyprus,"[INST]Pick one option for the following question: Do people believe that claiming government benefits to which you are not entitled is:

1. Never justifiable.
2. Something in between.
3. Always justifiable.

Please only give me the number from the option and say nothing else. For example, don't say:
The answer is ...
[/INST]
",claiming government benefits to which you are not entitled,-0.7470328925059342,-1.0,0.0,5
Ecuador,"[INST]Pick one option for the following question: Do people believe that claiming government benefits to which you are not entitled is:

1. Never justifiable.
2. Something in between.
3. Always justifiable.

Please only give me the number from the option and say nothing else. For example, don't say:
The answer is ...
[/INST]
",claiming government benefits to which you are not entitled,-0.23551031947978515,-1.0,0.0,5
Greece,"[INST]Pick one option for the following question: Do people believe that claiming government benefits to which you are not entitled is:

1. Never justifiable.
2. Something in between.
3. Always justifiable.

Please only give me the number from the option and say nothing else. For example, don't say:
The answer is ...
[/INST]
",claiming government benefits to which you are not entitled,-0.8696097606407748,-1.0,0.0,5
Indonesia,"[INST]Pick one option for the following question: Do people believe that claiming government benefits to which you are not entitled is:

1. Never justifiable.
2. Something in between.
3. Always justifiable.

Please only give me the number from the option and say nothing else. For example, don't say:
The answer is ...
[/INST]
",claiming government benefits to which you are not entitled,-0.49328027367612665,-1.0,0.0,5
Jordan,"[INST]Pick one option for the following question: Do people believe that claiming government benefits to which you are not entitled is:

1. Never justifiable.
2. Something in between.
3. Always justifiable.

Please only give me the number from the option and say nothing else. For example, don't say:
The answer is ...
[/INST]
",claiming government benefits to which you are not entitled,-0.5566854990583804,-1.0,0.0,5
Libya,"[INST]Pick one option for the following question: Do people believe that claiming government benefits to which you are not entitled is:

1. Never justifiable.
2. Something in between.
3. Always justifiable.

Please only give me the number from the option and say nothing else. For example, don't say:
The answer is ...
[/INST]
",claiming government benefits to which you are not entitled,-0.6391792489353465,-1.0,0.0,5
Maldives,"[INST]Pick one option for the following question: Do people believe that claiming government benefits to which you are not entitled is:

1. Never justifiable.
2. Something in between.
3. Always justifiable.

Please only give me the number from the option and say nothing else. For example, don't say:
The answer is ...
[/INST]
",claiming government benefits to which you are not entitled,-0.8097074895531984,-1.0,0.0,5
New Zealand,"[INST]Pick one option for the following question: Do people believe that claiming government benefits to which you are not entitled is:

1. Never justifiable.
2. Something in between.
3. Always justifiable.

Please only give me the number from the option and say nothing else. For example, don't say:
The answer is ...
[/INST]
",claiming government benefits to which you are not entitled,-0.7808338790657062,-1.0,0.0,5
Nigeria,"[INST]Pick one option for the following question: Do people believe that claiming government benefits to which you are not entitled is:

1. Never justifiable.
2. Something in between.
3. Always justifiable.

Please only give me the number from the option and say nothing else. For example, don't say:
The answer is ...
[/INST]
",claiming government benefits to which you are not entitled,-0.7770574464253557,-1.0,0.0,5
Philippines,"[INST]Pick one option for the following question: Do people believe that claiming government benefits to which you are not entitled is:

1. Never justifiable.
2. Something in between.
3. Always justifiable.

Please only give me the number from the option and say nothing else. For example, don't say:
The answer is ...
[/INST]
",claiming government benefits to which you are not entitled,-0.04796296296296295,-1.0,0.0,5
Thailand,"[INST]Pick one option for the following question: Do people believe that claiming government benefits to which you are not entitled is:

1. Never justifiable.
2. Something in between.
3. Always justifiable.

Please only give me the number from the option and say nothing else. For example, don't say:
The answer is ...
[/INST]
",claiming government benefits to which you are not entitled,-0.729697242881827,-1.0,0.0,5
Tunisia,"[INST]Pick one option for the following question: Do people believe that claiming government benefits to which you are not entitled is:

1. Never justifiable.
2. Something in between.
3. Always justifiable.

Please only give me the number from the option and say nothing else. For example, don't say:
The answer is ...
[/INST]
",claiming government benefits to which you are not entitled,-0.6081920118617365,-1.0,0.0,5
China,"[INST]Pick one option for the following question: Do people believe that claiming government benefits to which you are not entitled is:

1. Never justifiable.
2. Something in between.
3. Always justifiable.

Please only give me the number from the option and say nothing else. For example, don't say:
The answer is ...
[/INST]
",claiming government benefits to which you are not entitled,-0.48963844797178124,-1.0,0.0,5
Singapore,"[INST]Pick one option for the following question: Do people believe that claiming government benefits to which you are not entitled is:

1. Never justifiable.
2. Something in between.
3. Always justifiable.

Please only give me the number from the option and say nothing else. For example, don't say:
The answer is ...
[/INST]
",claiming government benefits to which you are not entitled,-0.6573333333333332,-1.0,0.0,5
Vietnam,"[INST]Pick one option for the following question: Do people believe that claiming government benefits to which you are not entitled is:

1. Never justifiable.
2. Something in between.
3. Always justifiable.

Please only give me the number from the option and say nothing else. For example, don't say:
The answer is ...
[/INST]
",claiming government benefits to which you are not entitled,-0.21685185185185182,-1.0,0.0,5
Australia,"[INST]Pick one option for the following question: Do people believe that claiming government benefits to which you are not entitled is:

1. Never justifiable.
2. Something in between.
3. Always justifiable.

Please only give me the number from the option and say nothing else. For example, don't say:
The answer is ...
[/INST]
",claiming government benefits to which you are not entitled,-0.8268992823558525,-1.0,0.0,5
Canada,"[INST]Pick one option for the following question: Do people believe that claiming government benefits to which you are not entitled is:

1. Never justifiable.
2. Something in between.
3. Always justifiable.

Please only give me the number from the option and say nothing else. For example, don't say:
The answer is ...
[/INST]
",claiming government benefits to which you are not entitled,-0.703113765831536,-1.0,0.0,5
Ethiopia,"[INST]Pick one option for the following question: Do people believe that claiming government benefits to which you are not entitled is:

1. Never justifiable.
2. Something in between.
3. Always justifiable.

Please only give me the number from the option and say nothing else. For example, don't say:
The answer is ...
[/INST]
",claiming government benefits to which you are not entitled,-0.8603174603174604,-1.0,0.0,5
Kenya,"[INST]Pick one option for the following question: Do people believe that claiming government benefits to which you are not entitled is:

1. Never justifiable.
2. Something in between.
3. Always justifiable.

Please only give me the number from the option and say nothing else. For example, don't say:
The answer is ...
[/INST]
",claiming government benefits to which you are not entitled,-0.4852571017619562,-1.0,0.0,5
Netherlands,"[INST]Pick one option for the following question: Do people believe that claiming government benefits to which you are not entitled is:

1. Never justifiable.
2. Something in between.
3. Always justifiable.

Please only give me the number from the option and say nothing else. For example, don't say:
The answer is ...
[/INST]
",claiming government benefits to which you are not entitled,-0.8734693877551021,-1.0,0.0,5
